Year,SEX,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,Value
2000,,,,ISCED11_1,85
2001,,,,ISCED11_1,85
2002,,,,ISCED11_1,85
2003,,,,ISCED11_1,85
2004,,,,ISCED11_1,85
2005,,,,ISCED11_1,87
2006,,,,ISCED11_1,85
2007,,,,ISCED11_1,85
2008,,,,ISCED11_1,85
2009,,,,ISCED11_1,86
2010,,,,ISCED11_1,88
2011,,,,ISCED11_1,85
2012,,,,ISCED11_1,84
2013,,,,ISCED11_1,85
2014,,,,ISCED11_1,87
2015,,,,ISCED11_1,88
2016,,,,ISCED11_1,86
2017,,,,ISCED11_1,86
2018,,,,ISCED11_1,86
2019,,,,ISCED11_1,89
2020,,,,ISCED11_1,87
2000,,,,ISCED11_2,64
2001,,,,ISCED11_2,64
2002,,,,ISCED11_2,64
2003,,,,ISCED11_2,64
2004,,,,ISCED11_2,64
2005,,,,ISCED11_2,62
2006,,,,ISCED11_2,64
2007,,,,ISCED11_2,65
2008,,,,ISCED11_2,65
2009,,,,ISCED11_2,70
2010,,,,ISCED11_2,72
2011,,,,ISCED11_2,66
2012,,,,ISCED11_2,70
2013,,,,ISCED11_2,68
2014,,,,ISCED11_2,70
2015,,,,ISCED11_2,73
2016,,,,ISCED11_2,70
2017,,,,ISCED11_2,71
2018,,,,ISCED11_2,72
2019,,,,ISCED11_2,54
2020,,,,ISCED11_2,73
2000,,,,ISCED11_3,10
2001,,,,ISCED11_3,10
2002,,,,ISCED11_3,10
2003,,,,ISCED11_3,10
2004,,,,ISCED11_3,10
2005,,,,ISCED11_3,5
2006,,,,ISCED11_3,10
2007,,,,ISCED11_3,10
2008,,,,ISCED11_3,10
2009,,,,ISCED11_3,13
2010,,,,ISCED11_3,12
2011,,,,ISCED11_3,9
2012,,,,ISCED11_3,11
2013,,,,ISCED11_3,9
2014,,,,ISCED11_3,10
2015,,,,ISCED11_3,13
2016,,,,ISCED11_3,8
2017,,,,ISCED11_3,8
2018,,,,ISCED11_3,8
2019,,,,ISCED11_3,14
2020,,,,ISCED11_3,8
2005,,,Q1,ISCED11_1,70
2009,,,Q1,ISCED11_1,68
2010,,,Q1,ISCED11_1,72
2014,,,Q1,ISCED11_1,76
2015,,,Q1,ISCED11_1,75
2019,,,Q1,ISCED11_1,78
2005,,,Q1,ISCED11_2,27
2009,,,Q1,ISCED11_2,39
2010,,,Q1,ISCED11_2,36
2014,,,Q1,ISCED11_2,45
2015,,,Q1,ISCED11_2,40
2019,,,Q1,ISCED11_2,19
2005,,,Q1,ISCED11_3,0
2009,,,Q1,ISCED11_3,1
2010,,,Q1,ISCED11_3,0
2014,,,Q1,ISCED11_3,0
2015,,,Q1,ISCED11_3,1
2019,,,Q1,ISCED11_3,0
2005,,,Q2,ISCED11_1,82
2009,,,Q2,ISCED11_1,83
2010,,,Q2,ISCED11_1,86
2014,,,Q2,ISCED11_1,83
2015,,,Q2,ISCED11_1,83
2019,,,Q2,ISCED11_1,86
2005,,,Q2,ISCED11_2,41
2009,,,Q2,ISCED11_2,58
2010,,,Q2,ISCED11_2,62
2014,,,Q2,ISCED11_2,58
2015,,,Q2,ISCED11_2,58
2019,,,Q2,ISCED11_2,36
2005,,,Q2,ISCED11_3,0
2009,,,Q2,ISCED11_3,3
2010,,,Q2,ISCED11_3,3
2014,,,Q2,ISCED11_3,2
2015,,,Q2,ISCED11_3,1
2019,,,Q2,ISCED11_3,0
2005,,,Q3,ISCED11_1,89
2009,,,Q3,ISCED11_1,86
2010,,,Q3,ISCED11_1,86
2014,,,Q3,ISCED11_1,88
2015,,,Q3,ISCED11_1,90
2019,,,Q3,ISCED11_1,89
2005,,,Q3,ISCED11_2,61
2009,,,Q3,ISCED11_2,71
2010,,,Q3,ISCED11_2,69
2014,,,Q3,ISCED11_2,68
2015,,,Q3,ISCED11_2,70
2019,,,Q3,ISCED11_2,47
2005,,,Q3,ISCED11_3,1
2009,,,Q3,ISCED11_3,5
2010,,,Q3,ISCED11_3,4
2014,,,Q3,ISCED11_3,3
2015,,,Q3,ISCED11_3,4
2019,,,Q3,ISCED11_3,0
2005,,,Q4,ISCED11_1,92
2009,,,Q4,ISCED11_1,93
2010,,,Q4,ISCED11_1,94
2014,,,Q4,ISCED11_1,90
2015,,,Q4,ISCED11_1,93
2019,,,Q4,ISCED11_1,93
2005,,,Q4,ISCED11_2,69
2009,,,Q4,ISCED11_2,81
2010,,,Q4,ISCED11_2,84
2014,,,Q4,ISCED11_2,76
2015,,,Q4,ISCED11_2,82
2019,,,Q4,ISCED11_2,64
2005,,,Q4,ISCED11_3,4
2009,,,Q4,ISCED11_3,13
2010,,,Q4,ISCED11_3,11
2014,,,Q4,ISCED11_3,6
2015,,,Q4,ISCED11_3,9
2019,,,Q4,ISCED11_3,15
2005,,,Q5,ISCED11_1,98
2009,,,Q5,ISCED11_1,97
2010,,,Q5,ISCED11_1,97
2014,,,Q5,ISCED11_1,96
2015,,,Q5,ISCED11_1,98
2019,,,Q5,ISCED11_1,98
2005,,,Q5,ISCED11_2,88
2009,,,Q5,ISCED11_2,92
2010,,,Q5,ISCED11_2,91
2014,,,Q5,ISCED11_2,92
2015,,,Q5,ISCED11_2,95
2019,,,Q5,ISCED11_2,85
2005,,,Q5,ISCED11_3,14
2009,,,Q5,ISCED11_3,35
2010,,,Q5,ISCED11_3,31
2014,,,Q5,ISCED11_3,29
2015,,,Q5,ISCED11_3,35
2019,,,Q5,ISCED11_3,34
2005,,R,,ISCED11_1,83
2009,,R,,ISCED11_1,81
2010,,R,,ISCED11_1,85
2012,,R,,ISCED11_1,79
2014,,R,,ISCED11_1,84
2015,,R,,ISCED11_1,85
2019,,R,,ISCED11_1,86
2005,,R,,ISCED11_2,48
2009,,R,,ISCED11_2,59
2010,,R,,ISCED11_2,61
2012,,R,,ISCED11_2,61
2014,,R,,ISCED11_2,61
2015,,R,,ISCED11_2,63
2019,,R,,ISCED11_2,40
2005,,R,,ISCED11_3,1
2009,,R,,ISCED11_3,5
2010,,R,,ISCED11_3,5
2012,,R,,ISCED11_3,4
2014,,R,,ISCED11_3,3
2015,,R,,ISCED11_3,4
2019,,R,,ISCED11_3,5
2005,,R,Q1,ISCED11_1,70
2010,,R,Q1,ISCED11_1,72
2014,,R,Q1,ISCED11_1,76
2015,,R,Q1,ISCED11_1,75
2019,,R,Q1,ISCED11_1,78
2005,,R,Q1,ISCED11_2,27
2010,,R,Q1,ISCED11_2,36
2014,,R,Q1,ISCED11_2,45
2015,,R,Q1,ISCED11_2,40
2019,,R,Q1,ISCED11_2,19
2005,,R,Q1,ISCED11_3,0
2010,,R,Q1,ISCED11_3,0
2014,,R,Q1,ISCED11_3,0
2015,,R,Q1,ISCED11_3,1
2019,,R,Q1,ISCED11_3,0
2005,,R,Q2,ISCED11_1,82
2010,,R,Q2,ISCED11_1,86
2014,,R,Q2,ISCED11_1,83
2015,,R,Q2,ISCED11_1,83
2019,,R,Q2,ISCED11_1,86
2005,,R,Q2,ISCED11_2,41
2010,,R,Q2,ISCED11_2,62
2014,,R,Q2,ISCED11_2,58
2015,,R,Q2,ISCED11_2,58
2019,,R,Q2,ISCED11_2,36
2005,,R,Q2,ISCED11_3,0
2010,,R,Q2,ISCED11_3,3
2014,,R,Q2,ISCED11_3,2
2015,,R,Q2,ISCED11_3,1
2019,,R,Q2,ISCED11_3,0
2005,,R,Q3,ISCED11_1,89
2010,,R,Q3,ISCED11_1,88
2014,,R,Q3,ISCED11_1,88
2015,,R,Q3,ISCED11_1,90
2019,,R,Q3,ISCED11_1,89
2005,,R,Q3,ISCED11_2,61
2010,,R,Q3,ISCED11_2,69
2014,,R,Q3,ISCED11_2,68
2015,,R,Q3,ISCED11_2,70
2019,,R,Q3,ISCED11_2,46
2005,,R,Q3,ISCED11_3,1
2010,,R,Q3,ISCED11_3,5
2014,,R,Q3,ISCED11_3,3
2015,,R,Q3,ISCED11_3,4
2019,,R,Q3,ISCED11_3,0
2005,,R,Q4,ISCED11_1,90
2010,,R,Q4,ISCED11_1,90
2014,,R,Q4,ISCED11_1,88
2015,,R,Q4,ISCED11_1,90
