Year,SERIES,PRODUCT,UNIT_MEASURE,Value
2000,EN_MAT_DOMCMPC,,T,5.20171
2001,EN_MAT_DOMCMPC,,T,5.31837
2002,EN_MAT_DOMCMPC,,T,5.15987
2003,EN_MAT_DOMCMPC,,T,4.65885
2004,EN_MAT_DOMCMPC,,T,5.11767
2005,EN_MAT_DOMCMPC,,T,4.52078
2006,EN_MAT_DOMCMPC,,T,4.57574
2007,EN_MAT_DOMCMPC,,T,3.948
2008,EN_MAT_DOMCMPC,,T,3.35196
2009,EN_MAT_DOMCMPC,,T,3.71108
2010,EN_MAT_DOMCMPC,,T,4.43948
2011,EN_MAT_DOMCMPC,,T,5.12884
2012,EN_MAT_DOMCMPC,,T,5.6462
2013,EN_MAT_DOMCMPC,,T,5.38676
2014,EN_MAT_DOMCMPC,,T,5.28491
2015,EN_MAT_DOMCMPC,,T,5.26568
2016,EN_MAT_DOMCMPC,,T,5.29924
2017,EN_MAT_DOMCMPC,,T,5.39747
2018,EN_MAT_DOMCMPC,,T,5.76186
2019,EN_MAT_DOMCMPC,,T,5.7551
2000,EN_MAT_DOMCMPC,MF_AGG3A,T,0.623
2001,EN_MAT_DOMCMPC,MF_AGG3A,T,0.65537
2002,EN_MAT_DOMCMPC,MF_AGG3A,T,0.52699
2003,EN_MAT_DOMCMPC,MF_AGG3A,T,0.2348
2004,EN_MAT_DOMCMPC,MF_AGG3A,T,0.1681
2005,EN_MAT_DOMCMPC,MF_AGG3A,T,0.26716
2006,EN_MAT_DOMCMPC,MF_AGG3A,T,0.15444
2007,EN_MAT_DOMCMPC,MF_AGG3A,T,0.01117
2008,EN_MAT_DOMCMPC,MF_AGG3A,T,0.09986
2009,EN_MAT_DOMCMPC,MF_AGG3A,T,0.26235
2010,EN_MAT_DOMCMPC,MF_AGG3A,T,0.36303
2011,EN_MAT_DOMCMPC,MF_AGG3A,T,0.48234
2012,EN_MAT_DOMCMPC,MF_AGG3A,T,0.73849
2013,EN_MAT_DOMCMPC,MF_AGG3A,T,0.54498
2014,EN_MAT_DOMCMPC,MF_AGG3A,T,0.59405
2015,EN_MAT_DOMCMPC,MF_AGG3A,T,0.73403
2016,EN_MAT_DOMCMPC,MF_AGG3A,T,0.84808
2017,EN_MAT_DOMCMPC,MF_AGG3A,T,0.8363
2018,EN_MAT_DOMCMPC,MF_AGG3A,T,0.84094
2019,EN_MAT_DOMCMPC,MF_AGG3A,T,0.88438
2000,EN_MAT_DOMCMPC,MF_AGG3B,T,0.06581
2001,EN_MAT_DOMCMPC,MF_AGG3B,T,0.0494
2002,EN_MAT_DOMCMPC,MF_AGG3B,T,0.59855
2003,EN_MAT_DOMCMPC,MF_AGG3B,T,0.23398
2004,EN_MAT_DOMCMPC,MF_AGG3B,T,0.02148
2005,EN_MAT_DOMCMPC,MF_AGG3B,T,0.05599
2006,EN_MAT_DOMCMPC,MF_AGG3B,T,0.09064
2007,EN_MAT_DOMCMPC,MF_AGG3B,T,0.06932
2008,EN_MAT_DOMCMPC,MF_AGG3B,T,0.05889
2009,EN_MAT_DOMCMPC,MF_AGG3B,T,0.05096
2010,EN_MAT_DOMCMPC,MF_AGG3B,T,0.31225
2011,EN_MAT_DOMCMPC,MF_AGG3B,T,0.30237
2012,EN_MAT_DOMCMPC,MF_AGG3B,T,0.43801
2013,EN_MAT_DOMCMPC,MF_AGG3B,T,0.35764
