Year,SERIES,UNIT_MEASURE,Value
2010,ER_FFS_CMPT_CD,USD,1.77334
2011,ER_FFS_CMPT_CD,USD,2.46462
2012,ER_FFS_CMPT_CD,USD,2.39935
2013,ER_FFS_CMPT_CD,USD,2.53836
2014,ER_FFS_CMPT_CD,USD,2.52362
2015,ER_FFS_CMPT_CD,USD,0.0
2016,ER_FFS_CMPT_CD,USD,0.0
2017,ER_FFS_CMPT_CD,USD,0.0
2018,ER_FFS_CMPT_CD,USD,0.0
2019,ER_FFS_CMPT_CD,USD,0.0
2020,ER_FFS_CMPT_CD,USD,0.0
2010,ER_FFS_CMPT_GDP,PT,12.57674
2011,ER_FFS_CMPT_GDP,PT,15.30678
2012,ER_FFS_CMPT_GDP,PT,12.77274
2013,ER_FFS_CMPT_GDP,PT,13.24917
2014,ER_FFS_CMPT_GDP,PT,12.86643
2015,ER_FFS_CMPT_GDP,PT,0.0
2016,ER_FFS_CMPT_GDP,PT,0.0
2017,ER_FFS_CMPT_GDP,PT,0.0
2018,ER_FFS_CMPT_GDP,PT,0.0
2019,ER_FFS_CMPT_GDP,PT,0.0
2020,ER_FFS_CMPT_GDP,PT,0.0
2010,ER_FFS_CMPT_PC_CD,USD,138.113
2011,ER_FFS_CMPT_PC_CD,USD,189.2111
2012,ER_FFS_CMPT_PC_CD,USD,180.87354
2013,ER_FFS_CMPT_PC_CD,USD,187.25788
2014,ER_FFS_CMPT_PC_CD,USD,182.13538
2015,ER_FFS_CMPT_PC_CD,USD,0.0
2016,ER_FFS_CMPT_PC_CD,USD,0.0
2017,ER_FFS_CMPT_PC_CD,USD,0.0
2018,ER_FFS_CMPT_PC_CD,USD,0.0
2019,ER_FFS_CMPT_PC_CD,USD,0.0
2020,ER_FFS_CMPT_PC_CD,USD,0.0
