Year,SERIES,SEX,AGE,DATA_LAST_UPDATE,Value
2011,SE_ADT_EDUCTRN,,Y15T24,2023-03-10,31.9
2014,SE_ADT_EDUCTRN,,Y15T24,2023-03-10,31.8
2019,SE_ADT_EDUCTRN,,Y15T24,2023-03-10,35.5
2011,SE_ADT_EDUCTRN,,Y15T64,2023-03-10,12.3
2014,SE_ADT_EDUCTRN,,Y15T64,2023-03-10,11.8
2019,SE_ADT_EDUCTRN,,Y15T64,2023-03-10,13.4
2011,SE_ADT_EDUCTRN,,Y25T54,2023-03-10,0.7
2014,SE_ADT_EDUCTRN,,Y25T54,2023-03-10,0.9
2019,SE_ADT_EDUCTRN,,Y25T54,2023-03-10,1.4
2019,SE_ADT_EDUCTRN,,Y55T64,2023-03-10,0.4
2011,SE_ADT_EDUCTRN,F,Y15T24,2023-03-10,28.2
2014,SE_ADT_EDUCTRN,F,Y15T24,2023-03-10,27.8
2019,SE_ADT_EDUCTRN,F,Y15T24,2023-03-10,32.4
2011,SE_ADT_EDUCTRN,F,Y15T64,2023-03-10,10.7
2014,SE_ADT_EDUCTRN,F,Y15T64,2023-03-10,9.8
2019,SE_ADT_EDUCTRN,F,Y15T64,2023-03-10,11.6
2011,SE_ADT_EDUCTRN,F,Y25T54,2023-03-10,0.7
2014,SE_ADT_EDUCTRN,F,Y25T54,2023-03-10,0.7
2019,SE_ADT_EDUCTRN,F,Y25T54,2023-03-10,1.5
2019,SE_ADT_EDUCTRN,F,Y55T64,2023-03-10,0.5
2011,SE_ADT_EDUCTRN,M,Y15T24,2023-03-10,36.0
2014,SE_ADT_EDUCTRN,M,Y15T24,2023-03-10,35.9
2019,SE_ADT_EDUCTRN,M,Y15T24,2023-03-10,38.6
2011,SE_ADT_EDUCTRN,M,Y15T64,2023-03-10,14.1
2014,SE_ADT_EDUCTRN,M,Y15T64,2023-03-10,14.1
2019,SE_ADT_EDUCTRN,M,Y15T64,2023-03-10,15.6
2011,SE_ADT_EDUCTRN,M,Y25T54,2023-03-10,0.8
2014,SE_ADT_EDUCTRN,M,Y25T54,2023-03-10,1.1
2019,SE_ADT_EDUCTRN,M,Y25T54,2023-03-10,1.2
2012,SE_PRE_PARTN,,,2023-02-28,45.55684
2013,SE_PRE_PARTN,,,2023-02-28,40.698
2014,SE_PRE_PARTN,,,2023-02-28,41.78551
2015,SE_PRE_PARTN,,,2023-02-28,49.5938
2016,SE_PRE_PARTN,,,2023-02-28,54.86186
2017,SE_PRE_PARTN,,,2023-02-28,54.6817
2018,SE_PRE_PARTN,,,2023-02-28,53.92821
2019,SE_PRE_PARTN,,,2023-02-28,54.6672
2020,SE_PRE_PARTN,,,2023-02-28,57.22575
2021,SE_PRE_PARTN,,,2023-02-28,55.53161
2012,SE_PRE_PARTN,F,,2023-02-28,46.35769
2013,SE_PRE_PARTN,F,,2023-02-28,41.50414
2014,SE_PRE_PARTN,F,,2023-02-28,42.3206
2015,SE_PRE_PARTN,F,,2023-02-28,50.49871
2012,SE_PRE_PARTN,M,,2023-02-28,44.75923
2013,SE_PRE_PARTN,M,,2023-02-28,39.89698
2014,SE_PRE_PARTN,M,,2023-02-28,41.25477
2015,SE_PRE_PARTN,M,,2023-02-28,48.69677
