Year,SERIES,URBANISATION,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,Value
2010,DC_ENVTECH_TT,,,USD,2023-05-10,347567042.0
2011,DC_ENVTECH_TT,,,USD,2023-05-10,353349374.0
2012,DC_ENVTECH_TT,,,USD,2023-05-10,400954458.0
2013,DC_ENVTECH_TT,,,USD,2023-05-10,376094925.0
2014,DC_ENVTECH_TT,,,USD,2023-05-10,341842599.0
2015,DC_ENVTECH_TT,,,USD,2023-05-10,336014420.0
2016,DC_ENVTECH_TT,,,USD,2023-05-10,280937923.0
2017,DC_ENVTECH_TT,,,USD,2023-05-10,305075227.0
2018,DC_ENVTECH_TT,,,USD,2023-05-10,331730249.0
2019,DC_ENVTECH_TT,,,USD,2023-05-10,341343170.0
2020,DC_ENVTECH_TT,,,USD,2023-05-10,430833750.0
2000,DC_FTA_TOTAL,,,CON_USD,2023-05-03,73.69146
2001,DC_FTA_TOTAL,,,CON_USD,2023-05-03,76.80038
2002,DC_FTA_TOTAL,,,CON_USD,2023-05-03,16.35839
2003,DC_FTA_TOTAL,,,CON_USD,2023-05-03,23.95531
2004,DC_FTA_TOTAL,,,CON_USD,2023-05-03,32.398
2005,DC_FTA_TOTAL,,,CON_USD,2023-05-03,30.39835
2006,DC_FTA_TOTAL,,,CON_USD,2023-05-03,45.72503
2007,DC_FTA_TOTAL,,,CON_USD,2023-05-03,13.69312
2008,DC_FTA_TOTAL,,,CON_USD,2023-05-03,12.187
2009,DC_FTA_TOTAL,,,CON_USD,2023-05-03,23.61333
2010,DC_FTA_TOTAL,,,CON_USD,2023-05-03,32.02927
2011,DC_FTA_TOTAL,,,CON_USD,2023-05-03,47.77192
2012,DC_FTA_TOTAL,,,CON_USD,2023-05-03,38.2612
2013,DC_FTA_TOTAL,,,CON_USD,2023-05-03,31.24657
2014,DC_FTA_TOTAL,,,CON_USD,2023-05-03,55.26278
2015,DC_FTA_TOTAL,,,CON_USD,2023-05-03,39.36703
2016,DC_FTA_TOTAL,,,CON_USD,2023-05-03,39.89859
2017,DC_FTA_TOTAL,,,CON_USD,2023-05-03,47.41211
2018,DC_FTA_TOTAL,,,CON_USD,2023-05-03,43.1881
2019,DC_FTA_TOTAL,,,CON_USD,2023-05-03,32.38153
2020,DC_FTA_TOTAL,,,CON_USD,2023-05-03,79.53831
2021,DC_FTA_TOTAL,,,CON_USD,2023-05-03,61.86411
2002,DC_ODA_BDVL,,,CON_USD,2023-05-03,2.4395
2003,DC_ODA_BDVL,,,CON_USD,2023-05-03,3.79229
2004,DC_ODA_BDVL,,,CON_USD,2023-05-03,0.19332
2005,DC_ODA_BDVL,,,CON_USD,2023-05-03,0.37707
2006,DC_ODA_BDVL,,,CON_USD,2023-05-03,1.69104
2007,DC_ODA_BDVL,,,CON_USD,2023-05-03,0.32659
2008,DC_ODA_BDVL,,,CON_USD,2023-05-03,0.64328
2009,DC_ODA_BDVL,,,CON_USD,2023-05-03,3.96487
2010,DC_ODA_BDVL,,,CON_USD,2023-05-03,45.75674
2011,DC_ODA_BDVL,,,CON_USD,2023-05-03,20.45786
2012,DC_ODA_BDVL,,,CON_USD,2023-05-03,4.13603
2013,DC_ODA_BDVL,,,CON_USD,2023-05-03,11.48491
2014,DC_ODA_BDVL,,,CON_USD,2023-05-03,18.90088
2015,DC_ODA_BDVL,,,CON_USD,2023-05-03,5.69679
2016,DC_ODA_BDVL,,,CON_USD,2023-05-03,21.23752
2017,DC_ODA_BDVL,,,CON_USD,2023-05-03,5.41363
2018,DC_ODA_BDVL,,,CON_USD,2023-05-03,64.23227
2019,DC_ODA_BDVL,,,CON_USD,2023-05-03,13.1756
2020,DC_ODA_BDVL,,,CON_USD,2023-05-03,5.13636
2021,DC_ODA_BDVL,,,CON_USD,2023-05-03,15.64681
2000,DC_TOF_AGRL,,,CON_USD,2023-05-15,24.99533
2001,DC_TOF_AGRL,,,CON_USD,2023-05-15,6.2894
2002,DC_TOF_AGRL,,,CON_USD,2023-05-15,12.28289
2003,DC_TOF_AGRL,,,CON_USD,2023-05-15,6.56063
2004,DC_TOF_AGRL,,,CON_USD,2023-05-15,13.60647
2005,DC_TOF_AGRL,,,CON_USD,2023-05-15,6.71606
2006,DC_TOF_AGRL,,,CON_USD,2023-05-15,7.27203
2007,DC_TOF_AGRL,,,CON_USD,2023-05-15,18.39718
2008,DC_TOF_AGRL,,,CON_USD,2023-05-15,10.62104
2009,DC_TOF_AGRL,,,CON_USD,2023-05-15,57.35051
2010,DC_TOF_AGRL,,,CON_USD,2023-05-15,60.02768
2011,DC_TOF_AGRL,,,CON_USD,2023-05-15,95.06521
2012,DC_TOF_AGRL,,,CON_USD,2023-05-15,92.46653
2013,DC_TOF_AGRL,,,CON_USD,2023-05-15,74.86652
2014,DC_TOF_AGRL,,,CON_USD,2023-05-15,38.38631
2015,DC_TOF_AGRL,,,CON_USD,2023-05-15,52.00981
2016,DC_TOF_AGRL,,,CON_USD,2023-05-15,53.04692
2017,DC_TOF_AGRL,,,CON_USD,2023-05-15,49.70648
2018,DC_TOF_AGRL,,,CON_USD,2023-05-15,52.11353
2019,DC_TOF_AGRL,,,CON_USD,2023-05-15,59.15801
2020,DC_TOF_AGRL,,,CON_USD,2023-05-15,40.75814
