Year,SEX,COMPOSITE_BREAKDOWN,Value
2000,,NCD_CARDIO,10368
2005,,NCD_CARDIO,12982
2010,,NCD_CARDIO,18139
2015,,NCD_CARDIO,17670
2019,,NCD_CARDIO,17335
2000,,NCD_CNCR,7474
2005,,NCD_CNCR,8243
2010,,NCD_CNCR,9349
2015,,NCD_CNCR,9918
2019,,NCD_CNCR,10876
2000,,NCD_CRESPD,1861
2005,,NCD_CRESPD,2186
2010,,NCD_CRESPD,3129
2015,,NCD_CRESPD,2988
2019,,NCD_CRESPD,2807
2000,,NCD_DIABTS,2039
2005,,NCD_DIABTS,2791
2010,,NCD_DIABTS,3891
2015,,NCD_DIABTS,3947
2019,,NCD_DIABTS,3934
2000,F,NCD_CARDIO,5943
2005,F,NCD_CARDIO,8109
2010,F,NCD_CARDIO,11235
2015,F,NCD_CARDIO,10474
2019,F,NCD_CARDIO,10035
2000,F,NCD_CNCR,3636
2005,F,NCD_CNCR,4772
2010,F,NCD_CNCR,6145
2015,F,NCD_CNCR,6522
2019,F,NCD_CNCR,7002
2000,F,NCD_CRESPD,878
2005,F,NCD_CRESPD,1136
2010,F,NCD_CRESPD,1670
2015,F,NCD_CRESPD,1524
2019,F,NCD_CRESPD,1381
2000,F,NCD_DIABTS,1229
2005,F,NCD_DIABTS,1829
2010,F,NCD_DIABTS,2502
2015,F,NCD_DIABTS,2457
2019,F,NCD_DIABTS,2404
2000,M,NCD_CARDIO,4425
2005,M,NCD_CARDIO,4873
2010,M,NCD_CARDIO,6904
2015,M,NCD_CARDIO,7196
2019,M,NCD_CARDIO,7300
2000,M,NCD_CNCR,3838
2005,M,NCD_CNCR,3471
2010,M,NCD_CNCR,3205
2015,M,NCD_CNCR,3396
2019,M,NCD_CNCR,3875
2000,M,NCD_CRESPD,983
2005,M,NCD_CRESPD,1049
2010,M,NCD_CRESPD,1459
2015,M,NCD_CRESPD,1464
2019,M,NCD_CRESPD,1426
2000,M,NCD_DIABTS,810
2005,M,NCD_DIABTS,962
2010,M,NCD_DIABTS,1389
2015,M,NCD_DIABTS,1490
2019,M,NCD_DIABTS,1530
