Year,SERIES,UNIT_MEASURE,DATA_LAST_UPDATE,Value
2017,ER_H2O_IWRMD,PT,2023-07-01,60.97475
2020,ER_H2O_IWRMD,PT,2023-07-01,63.0
2017,ER_H2O_IWRMD_EE,PT,2023-03-10,72.0
2020,ER_H2O_IWRMD_EE,PT,2023-03-10,74.0
2017,ER_H2O_IWRMD_FI,PT,2023-03-10,52.0
2020,ER_H2O_IWRMD_FI,PT,2023-03-10,53.0
2017,ER_H2O_IWRMD_IP,PT,2023-03-10,65.0
2020,ER_H2O_IWRMD_IP,PT,2023-03-10,67.0
2017,ER_H2O_IWRMD_MI,PT,2023-03-10,54.0
2020,ER_H2O_IWRMD_MI,PT,2023-03-10,56.0
2018,ER_REG_SSFRAR,NUMBER,2023-09-07,4.0
2020,ER_REG_SSFRAR,NUMBER,2023-09-07,
2022,ER_REG_SSFRAR,NUMBER,2023-09-07,
2019,SG_LGL_LNDFEMOD,SCORE,2023-09-07,
2020,SG_LGL_LNDFEMOD,SCORE,2023-09-07,3.0
2021,SG_LGL_LNDFEMOD,SCORE,2023-09-07,
2022,SG_LGL_LNDFEMOD,SCORE,2023-09-07,
