Year,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2001,IT_NET_BBND,,PER_100_POP,0.00647
2002,IT_NET_BBND,,PER_100_POP,0.02376
2003,IT_NET_BBND,,PER_100_POP,0.05288
2004,IT_NET_BBND,,PER_100_POP,0.07374
2005,IT_NET_BBND,,PER_100_POP,0.08331
2006,IT_NET_BBND,,PER_100_POP,0.08272
2007,IT_NET_BBND,,PER_100_POP,0.12216
2008,IT_NET_BBND,,PER_100_POP,0.14342
2009,IT_NET_BBND,,PER_100_POP,0.37169
2010,IT_NET_BBND,,PER_100_POP,0.25701
2011,IT_NET_BBND,,PER_100_POP,0.26102
2012,IT_NET_BBND,,PER_100_POP,0.54205
2013,IT_NET_BBND,,PER_100_POP,0.7666
2014,IT_NET_BBND,,PER_100_POP,1.09871
2015,IT_NET_BBND,,PER_100_POP,1.15851
2016,IT_NET_BBND,,PER_100_POP,1.18205
2017,IT_NET_BBND,,PER_100_POP,1.2698
2018,IT_NET_BBND,,PER_100_POP,1.34901
2019,IT_NET_BBND,,PER_100_POP,1.33135
2020,IT_NET_BBND,,PER_100_POP,1.29844
2021,IT_NET_BBND,,PER_100_POP,1.28385
2012,IT_NET_BBND,IS_256KT2M,PER_100_POP,0.51675
2013,IT_NET_BBND,IS_256KT2M,PER_100_POP,0.7145
2014,IT_NET_BBND,IS_256KT2M,PER_100_POP,1.00222
2015,IT_NET_BBND,IS_256KT2M,PER_100_POP,1.05351
2016,IT_NET_BBND,IS_256KT2M,PER_100_POP,1.07116
2017,IT_NET_BBND,IS_256KT2M,PER_100_POP,0.99272
2018,IT_NET_BBND,IS_256KT2M,PER_100_POP,0.93006
2019,IT_NET_BBND,IS_256KT2M,PER_100_POP,0.86306
2020,IT_NET_BBND,IS_256KT2M,PER_100_POP,0.79831
2021,IT_NET_BBND,IS_256KT2M,PER_100_POP,0.62709
2012,IT_NET_BBND,IS_2MT10M,PER_100_POP,0.02184
2013,IT_NET_BBND,IS_2MT10M,PER_100_POP,0.04186
2014,IT_NET_BBND,IS_2MT10M,PER_100_POP,0.08837
2015,IT_NET_BBND,IS_2MT10M,PER_100_POP,0.09243
2016,IT_NET_BBND,IS_2MT10M,PER_100_POP,0.09791
2017,IT_NET_BBND,IS_2MT10M,PER_100_POP,0.23013
2018,IT_NET_BBND,IS_2MT10M,PER_100_POP,0.35
2019,IT_NET_BBND,IS_2MT10M,PER_100_POP,0.38443
2020,IT_NET_BBND,IS_2MT10M,PER_100_POP,0.39499
2021,IT_NET_BBND,IS_2MT10M,PER_100_POP,0.51556
2013,IT_NET_BBND,IS_GE10M,PER_100_POP,0.00699
2014,IT_NET_BBND,IS_GE10M,PER_100_POP,0.00811
2015,IT_NET_BBND,IS_GE10M,PER_100_POP,0.01258
2016,IT_NET_BBND,IS_GE10M,PER_100_POP,0.01298
2017,IT_NET_BBND,IS_GE10M,PER_100_POP,0.04695
2018,IT_NET_BBND,IS_GE10M,PER_100_POP,0.06895
2019,IT_NET_BBND,IS_GE10M,PER_100_POP,0.08386
2020,IT_NET_BBND,IS_GE10M,PER_100_POP,0.10515
2021,IT_NET_BBND,IS_GE10M,PER_100_POP,0.1412
2001,IT_NET_BBNDN,,NUMBER,771.0
2002,IT_NET_BBNDN,,NUMBER,2847.0
2003,IT_NET_BBNDN,,NUMBER,6386.0
2004,IT_NET_BBNDN,,NUMBER,8967.0
2005,IT_NET_BBNDN,,NUMBER,10185.0
2006,IT_NET_BBNDN,,NUMBER,10200.0
2007,IT_NET_BBNDN,,NUMBER,15210.0
2008,IT_NET_BBNDN,,NUMBER,18000.0
2009,IT_NET_BBNDN,,NUMBER,47130.0
2010,IT_NET_BBNDN,,NUMBER,33000.0
2011,IT_NET_BBNDN,,NUMBER,34000.0
2012,IT_NET_BBNDN,,NUMBER,71905.0
2013,IT_NET_BBNDN,,NUMBER,103916.0
2014,IT_NET_BBNDN,,NUMBER,152234.0
2015,IT_NET_BBNDN,,NUMBER,163987.0
2016,IT_NET_BBNDN,,NUMBER,170838.0
2017,IT_NET_BBNDN,,NUMBER,187310.0
2018,IT_NET_BBNDN,,NUMBER,203056.0
2019,IT_NET_BBNDN,,NUMBER,204424.0
2020,IT_NET_BBNDN,,NUMBER,203461.0
2021,IT_NET_BBNDN,,NUMBER,205333.0
2012,IT_NET_BBNDN,IS_256KT2M,NUMBER,68548.0
2013,IT_NET_BBNDN,IS_256KT2M,NUMBER,96853.0
2014,IT_NET_BBNDN,IS_256KT2M,NUMBER,138865.0
2015,IT_NET_BBNDN,IS_256KT2M,NUMBER,149123.0
2016,IT_NET_BBNDN,IS_256KT2M,NUMBER,154811.0
