Year,SERIES,SEX,UNIT_MEASURE,Value
2000,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,52.2
2001,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,51.8
2002,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,51.8
2003,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,51.8
2004,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,53.0
2005,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,53.9
2006,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,55.9
2007,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,56.9
2008,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,56.4
2009,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,55.3
2010,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,52.9
2011,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,51.4
2012,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,47.0
2013,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,45.2
2014,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,43.2
2015,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,42.1
2016,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,40.6
2017,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,39.5
2018,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,38.0
2019,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,37.1
2020,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,36.6
2021,SH_DYN_IMRT,,PER_1000_LIVE_BIRTHS,35.7
2000,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,46.3
2001,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,46.0
2002,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,45.9
2003,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,46.0
2004,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,47.1
2005,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,48.0
2006,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,49.8
2007,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,50.9
2008,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,50.4
2009,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,49.5
2010,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,47.3
2011,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,46.0
2012,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,42.0
2013,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,40.3
2014,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,38.5
2015,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,37.5
2016,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,36.0
2017,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,35.0
2018,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,33.7
2019,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,32.8
2020,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,32.4
2021,SH_DYN_IMRT,F,PER_1000_LIVE_BIRTHS,31.6
2000,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,57.9
2001,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,57.4
2002,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,57.4
2003,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,57.4
2004,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,58.6
2005,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,59.5
2006,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,61.6
2007,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,62.7
2008,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,62.1
2009,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,60.9
2010,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,58.2
2011,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,56.5
2012,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,51.8
2013,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,49.8
2014,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,47.7
2015,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,46.6
2016,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,44.9
2017,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,43.6
2018,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,42.1
2019,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,41.1
2020,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,40.5
2021,SH_DYN_IMRT,M,PER_1000_LIVE_BIRTHS,39.6
2000,SH_DYN_IMRTN,,NUMBER,21719.0
