Year,SERIES,COMPOSITE_BREAKDOWN,Value
2017,EN_LKW_QLTRB,DL_EXTREME,49.78057
2018,EN_LKW_QLTRB,DL_EXTREME,38.97479
2019,EN_LKW_QLTRB,DL_EXTREME,34.57918
2020,EN_LKW_QLTRB,DL_EXTREME,37.75969
2021,EN_LKW_QLTRB,DL_EXTREME,39.86295
2017,EN_LKW_QLTRB,DL_HIGH,11.0557
2018,EN_LKW_QLTRB,DL_HIGH,15.26931
2019,EN_LKW_QLTRB,DL_HIGH,13.92214
2020,EN_LKW_QLTRB,DL_HIGH,14.35542
2021,EN_LKW_QLTRB,DL_HIGH,13.98524
2017,EN_LKW_QLTRB,DL_LOW,30.16057
2018,EN_LKW_QLTRB,DL_LOW,35.16615
2019,EN_LKW_QLTRB,DL_LOW,41.62344
2020,EN_LKW_QLTRB,DL_LOW,39.0003
2021,EN_LKW_QLTRB,DL_LOW,35.46435
2017,EN_LKW_QLTRB,DL_MEDIUM,9.00316
2018,EN_LKW_QLTRB,DL_MEDIUM,10.58976
2019,EN_LKW_QLTRB,DL_MEDIUM,9.87523
2020,EN_LKW_QLTRB,DL_MEDIUM,8.88459
2021,EN_LKW_QLTRB,DL_MEDIUM,10.68745
2017,EN_LKW_QLTRST,DL_EXTREME,2.47796
2018,EN_LKW_QLTRST,DL_EXTREME,1.62631
2019,EN_LKW_QLTRST,DL_EXTREME,1.27184
2020,EN_LKW_QLTRST,DL_EXTREME,1.91446
2021,EN_LKW_QLTRST,DL_EXTREME,1.13614
2017,EN_LKW_QLTRST,DL_HIGH,10.51263
2018,EN_LKW_QLTRST,DL_HIGH,8.84327
2019,EN_LKW_QLTRST,DL_HIGH,6.95931
2020,EN_LKW_QLTRST,DL_HIGH,7.39717
2021,EN_LKW_QLTRST,DL_HIGH,5.72333
2017,EN_LKW_QLTRST,DL_LOW,64.02435
2018,EN_LKW_QLTRST,DL_LOW,66.4121
2019,EN_LKW_QLTRST,DL_LOW,74.74556
2020,EN_LKW_QLTRST,DL_LOW,72.92953
2021,EN_LKW_QLTRST,DL_LOW,76.15133
2017,EN_LKW_QLTRST,DL_MEDIUM,22.98506
2018,EN_LKW_QLTRST,DL_MEDIUM,23.11832
2019,EN_LKW_QLTRST,DL_MEDIUM,17.02329
2020,EN_LKW_QLTRST,DL_MEDIUM,17.75884
2021,EN_LKW_QLTRST,DL_MEDIUM,16.98921
