Year,SERIES,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,Value
2000,SH_DTH_NCOM,,Y30T70,PT,2021-05-26,21.4
2005,SH_DTH_NCOM,,Y30T70,PT,2021-05-26,25.8
2010,SH_DTH_NCOM,,Y30T70,PT,2021-05-26,33.3
2015,SH_DTH_NCOM,,Y30T70,PT,2021-05-26,31.1
2019,SH_DTH_NCOM,,Y30T70,PT,2021-05-26,28.4
2000,SH_DTH_NCOM,F,Y30T70,PT,2021-05-26,19.8
2005,SH_DTH_NCOM,F,Y30T70,PT,2021-05-26,25.4
2010,SH_DTH_NCOM,F,Y30T70,PT,2021-05-26,32.7
2015,SH_DTH_NCOM,F,Y30T70,PT,2021-05-26,30.2
2019,SH_DTH_NCOM,F,Y30T70,PT,2021-05-26,27.1
2000,SH_DTH_NCOM,M,Y30T70,PT,2021-05-26,23.3
2005,SH_DTH_NCOM,M,Y30T70,PT,2021-05-26,26.3
2010,SH_DTH_NCOM,M,Y30T70,PT,2021-05-26,34.2
2015,SH_DTH_NCOM,M,Y30T70,PT,2021-05-26,32.5
2019,SH_DTH_NCOM,M,Y30T70,PT,2021-05-26,30.3
2000,SH_STA_POISN,,,PER_100000_POP,2021-03-25,2.6
2005,SH_STA_POISN,,,PER_100000_POP,2021-03-25,2.9
2010,SH_STA_POISN,,,PER_100000_POP,2021-03-25,4.6
2015,SH_STA_POISN,,,PER_100000_POP,2021-03-25,4.3
2019,SH_STA_POISN,,,PER_100000_POP,2021-03-25,3.5
2000,SH_STA_POISN,F,,PER_100000_POP,2021-03-25,2.4
2005,SH_STA_POISN,F,,PER_100000_POP,2021-03-25,2.5
2010,SH_STA_POISN,F,,PER_100000_POP,2021-03-25,3.8
2015,SH_STA_POISN,F,,PER_100000_POP,2021-03-25,3.5
2019,SH_STA_POISN,F,,PER_100000_POP,2021-03-25,2.8
2000,SH_STA_POISN,M,,PER_100000_POP,2021-03-25,2.8
2005,SH_STA_POISN,M,,PER_100000_POP,2021-03-25,3.3
2010,SH_STA_POISN,M,,PER_100000_POP,2021-03-25,5.5
2015,SH_STA_POISN,M,,PER_100000_POP,2021-03-25,5.1
2019,SH_STA_POISN,M,,PER_100000_POP,2021-03-25,4.3
2019,SH_STA_WASHARI,,,PER_100000_POP,2022-06-24,36.19527
