Year,Value,UNIT_MEASURE,SERIES
2001,,PT,AG_PRD_AGVAS
2002,,PT,AG_PRD_AGVAS
2003,,PT,AG_PRD_AGVAS
2004,,PT,AG_PRD_AGVAS
2005,,PT,AG_PRD_AGVAS
2006,,PT,AG_PRD_AGVAS
2007,,PT,AG_PRD_AGVAS
2008,,PT,AG_PRD_AGVAS
2009,10.74,PT,AG_PRD_AGVAS
2010,9.61,PT,AG_PRD_AGVAS
2011,8.67,PT,AG_PRD_AGVAS
2012,8.04,PT,AG_PRD_AGVAS
2013,,PT,AG_PRD_AGVAS
2014,,PT,AG_PRD_AGVAS
2015,,PT,AG_PRD_AGVAS
2016,,PT,AG_PRD_AGVAS
2017,,PT,AG_PRD_AGVAS
2018,,PT,AG_PRD_AGVAS
2019,,PT,AG_PRD_AGVAS
2020,8.77,PT,AG_PRD_AGVAS
2021,,PT,AG_PRD_AGVAS
2001,,IX,AG_PRD_ORTIND
2002,,IX,AG_PRD_ORTIND
2003,,IX,AG_PRD_ORTIND
2004,,IX,AG_PRD_ORTIND
2005,,IX,AG_PRD_ORTIND
2006,,IX,AG_PRD_ORTIND
2007,,IX,AG_PRD_ORTIND
2008,,IX,AG_PRD_ORTIND
2009,0.21,IX,AG_PRD_ORTIND
2010,1.17,IX,AG_PRD_ORTIND
2011,0.41,IX,AG_PRD_ORTIND
2012,0.7,IX,AG_PRD_ORTIND
2013,,IX,AG_PRD_ORTIND
2014,,IX,AG_PRD_ORTIND
2015,,IX,AG_PRD_ORTIND
2016,,IX,AG_PRD_ORTIND
2017,,IX,AG_PRD_ORTIND
2018,,IX,AG_PRD_ORTIND
2019,,IX,AG_PRD_ORTIND
2020,1.39,IX,AG_PRD_ORTIND
2021,,IX,AG_PRD_ORTIND
2001,,PT,AG_XPD_AGSGB
2002,,PT,AG_XPD_AGSGB
2003,,PT,AG_XPD_AGSGB
2004,,PT,AG_XPD_AGSGB
2005,,PT,AG_XPD_AGSGB
2006,,PT,AG_XPD_AGSGB
2007,,PT,AG_XPD_AGSGB
2008,,PT,AG_XPD_AGSGB
2009,2.28,PT,AG_XPD_AGSGB
2010,11.2,PT,AG_XPD_AGSGB
2011,3.52,PT,AG_XPD_AGSGB
2012,5.67,PT,AG_XPD_AGSGB
2013,,PT,AG_XPD_AGSGB
2014,,PT,AG_XPD_AGSGB
2015,,PT,AG_XPD_AGSGB
2016,,PT,AG_XPD_AGSGB
2017,,PT,AG_XPD_AGSGB
2018,,PT,AG_XPD_AGSGB
2019,,PT,AG_XPD_AGSGB
2020,12.24,PT,AG_XPD_AGSGB
2021,,PT,AG_XPD_AGSGB
