Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
2010,16643477.0,USD,DC_ENVTECH_EXP,2022-03-23
2011,14011143.0,USD,DC_ENVTECH_EXP,2022-03-23
2012,17787927.0,USD,DC_ENVTECH_EXP,2022-03-23
2013,23073921.0,USD,DC_ENVTECH_EXP,2022-03-23
2014,21791178.0,USD,DC_ENVTECH_EXP,2022-03-23
2015,14754388.0,USD,DC_ENVTECH_EXP,2022-03-23
2016,12555064.0,USD,DC_ENVTECH_EXP,2022-03-23
2017,12192162.0,USD,DC_ENVTECH_EXP,2022-03-23
2018,11533002.0,USD,DC_ENVTECH_EXP,2022-03-23
2019,26126429.0,USD,DC_ENVTECH_EXP,2022-03-23
2020,9680873.0,USD,DC_ENVTECH_EXP,2022-03-23
2010,330021847.0,USD,DC_ENVTECH_IMP,2022-03-23
2011,339113883.0,USD,DC_ENVTECH_IMP,2022-03-23
2012,382748020.0,USD,DC_ENVTECH_IMP,2022-03-23
2013,352423236.0,USD,DC_ENVTECH_IMP,2022-03-23
2014,319713377.0,USD,DC_ENVTECH_IMP,2022-03-23
2015,320126308.0,USD,DC_ENVTECH_IMP,2022-03-23
2016,267627886.0,USD,DC_ENVTECH_IMP,2022-03-23
2017,292883065.0,USD,DC_ENVTECH_IMP,2022-03-23
2018,320197247.0,USD,DC_ENVTECH_IMP,2022-03-23
2019,315216741.0,USD,DC_ENVTECH_IMP,2022-03-23
2020,421093443.0,USD,DC_ENVTECH_IMP,2022-03-23
2010,901718.0,USD,DC_ENVTECH_REXP,2022-03-23
2011,224348.0,USD,DC_ENVTECH_REXP,2022-03-23
2012,418511.0,USD,DC_ENVTECH_REXP,2022-03-23
2013,597768.0,USD,DC_ENVTECH_REXP,2022-03-23
2014,338044.0,USD,DC_ENVTECH_REXP,2022-03-23
2015,1133724.0,USD,DC_ENVTECH_REXP,2022-03-23
2016,754973.0,USD,DC_ENVTECH_REXP,2022-03-23
2020,59434.0,USD,DC_ENVTECH_REXP,2022-03-23
2000,0.0,USD,GF_COM_PPPI,2022-09-19
2001,0.0,USD,GF_COM_PPPI,2022-09-19
2002,0.0,USD,GF_COM_PPPI,2022-09-19
2003,0.0,USD,GF_COM_PPPI,2022-09-19
2004,0.0,USD,GF_COM_PPPI,2022-09-19
2005,0.0,USD,GF_COM_PPPI,2022-09-19
2006,0.0,USD,GF_COM_PPPI,2022-09-19
2007,0.0,USD,GF_COM_PPPI,2022-09-19
2008,0.0,USD,GF_COM_PPPI,2022-09-19
2009,0.0,USD,GF_COM_PPPI,2022-09-19
2010,0.0,USD,GF_COM_PPPI,2022-09-19
2011,48.5,USD,GF_COM_PPPI,2022-09-19
2012,0.0,USD,GF_COM_PPPI,2022-09-19
2013,0.0,USD,GF_COM_PPPI,2022-09-19
2014,0.0,USD,GF_COM_PPPI,2022-09-19
2015,0.0,USD,GF_COM_PPPI,2022-09-19
2016,0.0,USD,GF_COM_PPPI,2022-09-19
2017,65.7,USD,GF_COM_PPPI,2022-09-19
2018,0.0,USD,GF_COM_PPPI,2022-09-19
2019,0.0,USD,GF_COM_PPPI,2022-09-19
2020,0.0,USD,GF_COM_PPPI,2022-09-19
2000,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
2001,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
2002,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
2003,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
2004,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
2005,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
2006,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
2007,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
2008,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
2009,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
2010,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
2011,55.1233,CON_USD,GF_COM_PPPI_KD,2022-09-19
2012,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
2013,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
2014,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
2015,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
2016,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
2017,68.5245,CON_USD,GF_COM_PPPI_KD,2022-09-19
2018,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
2019,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
2020,0.0,CON_USD,GF_COM_PPPI_KD,2022-09-19
