Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
2000,13.18,T,EN_ATM_CO2,2023-02-23
2001,13.22,T,EN_ATM_CO2,2023-02-23
2002,12.05,T,EN_ATM_CO2,2023-02-23
2003,9.94,T,EN_ATM_CO2,2023-02-23
2004,9.47,T,EN_ATM_CO2,2023-02-23
2005,10.22,T,EN_ATM_CO2,2023-02-23
2006,9.52,T,EN_ATM_CO2,2023-02-23
2007,9.6,T,EN_ATM_CO2,2023-02-23
2008,7.56,T,EN_ATM_CO2,2023-02-23
2009,7.3,T,EN_ATM_CO2,2023-02-23
2010,9.21,T,EN_ATM_CO2,2023-02-23
2011,10.98,T,EN_ATM_CO2,2023-02-23
2012,11.39,T,EN_ATM_CO2,2023-02-23
2013,11.75,T,EN_ATM_CO2,2023-02-23
2014,11.52,T,EN_ATM_CO2,2023-02-23
2015,11.4,T,EN_ATM_CO2,2023-02-23
2016,9.99,T,EN_ATM_CO2,2023-02-23
2017,9.31,T,EN_ATM_CO2,2023-02-23
2018,10.51,T,EN_ATM_CO2,2023-02-23
2019,9.71,T,EN_ATM_CO2,2023-02-23
2020,7.82,T,EN_ATM_CO2,2023-02-23
2000,0.4,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2001,0.396,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2002,0.396,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2003,0.394,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2004,0.398,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2005,0.456,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2006,0.439,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2007,0.46,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2008,0.44,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2009,0.38,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2010,0.4,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2011,0.417,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2012,0.371,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2013,0.376,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2014,0.359,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2015,0.35,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2016,0.304,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2017,0.271,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2018,0.292,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2019,0.287,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
2020,0.246,KG_PER_CON_USD,EN_ATM_CO2GDP,2023-02-23
