Year,Value,SERIES
2000,588.5,SH_STA_STNTN
2001,612.0,SH_STA_STNTN
2002,635.7,SH_STA_STNTN
2003,656.7,SH_STA_STNTN
2004,672.0,SH_STA_STNTN
2005,681.0,SH_STA_STNTN
2006,685.2,SH_STA_STNTN
2007,683.7,SH_STA_STNTN
2008,681.5,SH_STA_STNTN
2009,680.1,SH_STA_STNTN
2010,678.9,SH_STA_STNTN
2011,675.4,SH_STA_STNTN
2012,667.4,SH_STA_STNTN
2013,654.7,SH_STA_STNTN
2014,635.1,SH_STA_STNTN
2015,611.8,SH_STA_STNTN
2016,586.5,SH_STA_STNTN
2017,563.2,SH_STA_STNTN
2018,543.2,SH_STA_STNTN
2019,528.1,SH_STA_STNTN
2020,514.7,SH_STA_STNTN
2021,505.9,SH_STA_STNTN
2022,500.5,SH_STA_STNTN
2005,141.4,SH_STA_WASTN
2009,48.4,SH_STA_WASTN
2010,64.0,SH_STA_WASTN
2014,73.2,SH_STA_WASTN
2015,75.1,SH_STA_WASTN
2019,65.6,SH_STA_WASTN
2000,149.8,SN_STA_OVWGTN
2001,150.0,SN_STA_OVWGTN
2002,148.2,SN_STA_OVWGTN
2003,144.8,SN_STA_OVWGTN
2004,139.8,SN_STA_OVWGTN
2005,133.5,SN_STA_OVWGTN
2006,127.1,SN_STA_OVWGTN
2007,120.8,SN_STA_OVWGTN
2008,114.7,SN_STA_OVWGTN
2009,109.2,SN_STA_OVWGTN
2010,104.5,SN_STA_OVWGTN
2011,100.8,SN_STA_OVWGTN
2012,98.0,SN_STA_OVWGTN
2013,95.5,SN_STA_OVWGTN
2014,92.8,SN_STA_OVWGTN
2015,89.1,SN_STA_OVWGTN
2016,84.9,SN_STA_OVWGTN
2017,80.2,SN_STA_OVWGTN
2018,75.5,SN_STA_OVWGTN
2019,71.1,SN_STA_OVWGTN
2020,67.6,SN_STA_OVWGTN
2021,64.6,SN_STA_OVWGTN
2022,62.1,SN_STA_OVWGTN
