Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
2017,60.97475,PT,ER_H2O_IWRMD,2023-07-01
2020,63.0,PT,ER_H2O_IWRMD,2023-07-01
2017,72.0,PT,ER_H2O_IWRMD_EE,2023-03-10
2020,74.0,PT,ER_H2O_IWRMD_EE,2023-03-10
2017,52.0,PT,ER_H2O_IWRMD_FI,2023-03-10
2020,53.0,PT,ER_H2O_IWRMD_FI,2023-03-10
2017,65.0,PT,ER_H2O_IWRMD_IP,2023-03-10
2020,67.0,PT,ER_H2O_IWRMD_IP,2023-03-10
2017,54.0,PT,ER_H2O_IWRMD_MI,2023-03-10
2020,56.0,PT,ER_H2O_IWRMD_MI,2023-03-10
2018,4.0,NUMBER,ER_REG_SSFRAR,2023-09-07
2020,,NUMBER,ER_REG_SSFRAR,2023-09-07
2022,,NUMBER,ER_REG_SSFRAR,2023-09-07
2019,,SCORE,SG_LGL_LNDFEMOD,2023-09-07
2020,3.0,SCORE,SG_LGL_LNDFEMOD,2023-09-07
2021,,SCORE,SG_LGL_LNDFEMOD,2023-09-07
2022,,SCORE,SG_LGL_LNDFEMOD,2023-09-07
