Year,Value,UNIT_MEASURE,SERIES
2001,0.00647,PER_100_POP,IT_NET_BBND
2002,0.02376,PER_100_POP,IT_NET_BBND
2003,0.05288,PER_100_POP,IT_NET_BBND
2004,0.07374,PER_100_POP,IT_NET_BBND
2005,0.08331,PER_100_POP,IT_NET_BBND
2006,0.08272,PER_100_POP,IT_NET_BBND
2007,0.12216,PER_100_POP,IT_NET_BBND
2008,0.14342,PER_100_POP,IT_NET_BBND
2009,0.37169,PER_100_POP,IT_NET_BBND
2010,0.25701,PER_100_POP,IT_NET_BBND
2011,0.26102,PER_100_POP,IT_NET_BBND
2012,0.54205,PER_100_POP,IT_NET_BBND
2013,0.7666,PER_100_POP,IT_NET_BBND
2014,1.09871,PER_100_POP,IT_NET_BBND
2015,1.15851,PER_100_POP,IT_NET_BBND
2016,1.18205,PER_100_POP,IT_NET_BBND
2017,1.2698,PER_100_POP,IT_NET_BBND
2018,1.34901,PER_100_POP,IT_NET_BBND
2019,1.33135,PER_100_POP,IT_NET_BBND
2020,1.29844,PER_100_POP,IT_NET_BBND
2021,1.28385,PER_100_POP,IT_NET_BBND
2001,771.0,NUMBER,IT_NET_BBNDN
2002,2847.0,NUMBER,IT_NET_BBNDN
2003,6386.0,NUMBER,IT_NET_BBNDN
2004,8967.0,NUMBER,IT_NET_BBNDN
2005,10185.0,NUMBER,IT_NET_BBNDN
2006,10200.0,NUMBER,IT_NET_BBNDN
2007,15210.0,NUMBER,IT_NET_BBNDN
2008,18000.0,NUMBER,IT_NET_BBNDN
2009,47130.0,NUMBER,IT_NET_BBNDN
2010,33000.0,NUMBER,IT_NET_BBNDN
2011,34000.0,NUMBER,IT_NET_BBNDN
2012,71905.0,NUMBER,IT_NET_BBNDN
2013,103916.0,NUMBER,IT_NET_BBNDN
2014,152234.0,NUMBER,IT_NET_BBNDN
2015,163987.0,NUMBER,IT_NET_BBNDN
2016,170838.0,NUMBER,IT_NET_BBNDN
2017,187310.0,NUMBER,IT_NET_BBNDN
2018,203056.0,NUMBER,IT_NET_BBNDN
2019,204424.0,NUMBER,IT_NET_BBNDN
2020,203461.0,NUMBER,IT_NET_BBNDN
2021,205333.0,NUMBER,IT_NET_BBNDN
