Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
1970,0.99087,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1971,1.00243,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1972,0.87724,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1973,0.92133,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1974,0.83748,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1975,0.66044,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1976,0.67363,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1977,-0.08742,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1978,0.05789,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1979,0.00284,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1980,0.0232,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1981,0.04426,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1982,-0.00985,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1983,-0.02672,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1984,-0.03917,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1985,0.05053,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1986,0.11974,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1987,-0.45254,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1988,-0.23076,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1989,-0.12286,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1990,-0.13896,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1991,0.03229,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1992,0.22143,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1993,0.4259,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1994,0.50284,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
1995,1.65512,PT,BX_KLT_DINV_WD_GD_ZS,2023-03-10
