Year,Value,UNIT_MEASURE,SERIES
2010,1.77334,USD,ER_FFS_CMPT_CD
2011,2.46462,USD,ER_FFS_CMPT_CD
2012,2.39935,USD,ER_FFS_CMPT_CD
2013,2.53836,USD,ER_FFS_CMPT_CD
2014,2.52362,USD,ER_FFS_CMPT_CD
2015,0.0,USD,ER_FFS_CMPT_CD
2016,0.0,USD,ER_FFS_CMPT_CD
2017,0.0,USD,ER_FFS_CMPT_CD
2018,0.0,USD,ER_FFS_CMPT_CD
2019,0.0,USD,ER_FFS_CMPT_CD
2020,0.0,USD,ER_FFS_CMPT_CD
2010,12.57674,PT,ER_FFS_CMPT_GDP
2011,15.30678,PT,ER_FFS_CMPT_GDP
2012,12.77274,PT,ER_FFS_CMPT_GDP
2013,13.24917,PT,ER_FFS_CMPT_GDP
2014,12.86643,PT,ER_FFS_CMPT_GDP
2015,0.0,PT,ER_FFS_CMPT_GDP
2016,0.0,PT,ER_FFS_CMPT_GDP
2017,0.0,PT,ER_FFS_CMPT_GDP
2018,0.0,PT,ER_FFS_CMPT_GDP
2019,0.0,PT,ER_FFS_CMPT_GDP
2020,0.0,PT,ER_FFS_CMPT_GDP
2010,138.113,USD,ER_FFS_CMPT_PC_CD
2011,189.2111,USD,ER_FFS_CMPT_PC_CD
2012,180.87354,USD,ER_FFS_CMPT_PC_CD
2013,187.25788,USD,ER_FFS_CMPT_PC_CD
2014,182.13538,USD,ER_FFS_CMPT_PC_CD
2015,0.0,USD,ER_FFS_CMPT_PC_CD
2016,0.0,USD,ER_FFS_CMPT_PC_CD
2017,0.0,USD,ER_FFS_CMPT_PC_CD
2018,0.0,USD,ER_FFS_CMPT_PC_CD
2019,0.0,USD,ER_FFS_CMPT_PC_CD
2020,0.0,USD,ER_FFS_CMPT_PC_CD
