Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
2000,35.74,PT,ER_H2O_STRESS,2023-09-07
2001,37.61,PT,ER_H2O_STRESS,2023-09-07
2002,39.48,PT,ER_H2O_STRESS,2023-09-07
2003,38.28,PT,ER_H2O_STRESS,2023-09-07
2004,37.09,PT,ER_H2O_STRESS,2023-09-07
2005,35.9,PT,ER_H2O_STRESS,2023-09-07
2006,34.71,PT,ER_H2O_STRESS,2023-09-07
2007,33.51,PT,ER_H2O_STRESS,2023-09-07
2008,33.31,PT,ER_H2O_STRESS,2023-09-07
2009,33.1,PT,ER_H2O_STRESS,2023-09-07
2010,32.9,PT,ER_H2O_STRESS,2023-09-07
2011,32.7,PT,ER_H2O_STRESS,2023-09-07
2012,32.49,PT,ER_H2O_STRESS,2023-09-07
2013,32.28,PT,ER_H2O_STRESS,2023-09-07
2014,32.08,PT,ER_H2O_STRESS,2023-09-07
2015,31.87,PT,ER_H2O_STRESS,2023-09-07
2016,31.94,PT,ER_H2O_STRESS,2023-09-07
2017,31.35,PT,ER_H2O_STRESS,2023-09-07
2018,35.41,PT,ER_H2O_STRESS,2023-09-07
2019,35.41,PT,ER_H2O_STRESS,2023-09-07
2020,35.41,PT,ER_H2O_STRESS,2023-09-07
2015,5.79,SCORE,SL_LBR_NTLCPL,2023-05-11
2016,4.95,SCORE,SL_LBR_NTLCPL,2023-05-11
2017,4.96,SCORE,SL_LBR_NTLCPL,2023-05-11
2018,5.92,SCORE,SL_LBR_NTLCPL,2023-05-11
2019,4.42,SCORE,SL_LBR_NTLCPL,2023-05-11
2020,5.45,SCORE,SL_LBR_NTLCPL,2023-05-11
2021,6.0,SCORE,SL_LBR_NTLCPL,2023-05-11
