Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
2016,1.0,NUMBER,EN_SCP_FRMN,2023-05-15
2017,1.0,NUMBER,EN_SCP_FRMN,2023-05-15
2018,1.0,NUMBER,EN_SCP_FRMN,2023-05-15
2019,1.0,NUMBER,EN_SCP_FRMN,2023-05-15
2020,1.0,NUMBER,EN_SCP_FRMN,2023-05-15
2021,1.0,NUMBER,EN_SCP_FRMN,2023-05-15
2000,2.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2001,2.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2002,2.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2003,2.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2004,2.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2005,2.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2006,7.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2007,7.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2008,7.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2009,7.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2010,7.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2011,7.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2012,7.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2013,7.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2014,7.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2015,7.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2016,7.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2017,7.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2018,7.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2019,7.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2020,7.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2021,7.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2022,7.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2023,7.0,NUMBER,ER_GRF_ANIMKPT,2023-09-28
2000,6.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2001,6.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2002,6.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2003,6.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2004,6.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2005,6.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2006,51.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2007,51.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2008,51.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2009,51.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2010,51.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2011,51.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2012,51.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2013,51.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2014,51.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2015,51.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2016,51.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2017,51.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2018,51.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2019,51.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2020,51.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2021,51.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2022,51.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2023,51.0,NUMBER,ER_GRF_ANIMKPT_TRB,2023-09-28
2000,,NUMBER,ER_GRF_ANIMRCNTN_TRB,2023-09-28
2001,,NUMBER,ER_GRF_ANIMRCNTN_TRB,2023-09-28
2002,,NUMBER,ER_GRF_ANIMRCNTN_TRB,2023-09-28
2003,,NUMBER,ER_GRF_ANIMRCNTN_TRB,2023-09-28
2004,,NUMBER,ER_GRF_ANIMRCNTN_TRB,2023-09-28
2005,,NUMBER,ER_GRF_ANIMRCNTN_TRB,2023-09-28
2006,,NUMBER,ER_GRF_ANIMRCNTN_TRB,2023-09-28
2007,,NUMBER,ER_GRF_ANIMRCNTN_TRB,2023-09-28
2008,,NUMBER,ER_GRF_ANIMRCNTN_TRB,2023-09-28
2009,,NUMBER,ER_GRF_ANIMRCNTN_TRB,2023-09-28
2010,,NUMBER,ER_GRF_ANIMRCNTN_TRB,2023-09-28
2011,,NUMBER,ER_GRF_ANIMRCNTN_TRB,2023-09-28
2012,,NUMBER,ER_GRF_ANIMRCNTN_TRB,2023-09-28
2013,,NUMBER,ER_GRF_ANIMRCNTN_TRB,2023-09-28
2014,,NUMBER,ER_GRF_ANIMRCNTN_TRB,2023-09-28
