Year,Value,SERIES,DATA_LAST_UPDATE
2015,64.7,AG_PRD_FIESMS,2023-09-08
2016,66.7,AG_PRD_FIESMS,2023-09-08
2017,67.0,AG_PRD_FIESMS,2023-09-08
2018,66.7,AG_PRD_FIESMS,2023-09-08
2019,69.8,AG_PRD_FIESMS,2023-09-08
2020,73.0,AG_PRD_FIESMS,2023-09-08
2021,73.6,AG_PRD_FIESMS,2023-09-08
2022,,AG_PRD_FIESMS,2023-09-08
2015,35.5,AG_PRD_FIESS,2023-09-08
2016,36.7,AG_PRD_FIESS,2023-09-08
2017,35.9,AG_PRD_FIESS,2023-09-08
2018,34.2,AG_PRD_FIESS,2023-09-08
2019,32.1,AG_PRD_FIESS,2023-09-08
2020,31.3,AG_PRD_FIESS,2023-09-08
2021,28.6,AG_PRD_FIESS,2023-09-08
2022,,AG_PRD_FIESS,2023-09-08
2014,22.0,IU_COR_BRIB,2023-07-27
2017,25.0,IU_COR_BRIB,2023-07-27
2001,33.0,SN_ITK_DEFC,2023-09-08
2002,32.1,SN_ITK_DEFC,2023-09-08
2003,31.6,SN_ITK_DEFC,2023-09-08
2004,31.6,SN_ITK_DEFC,2023-09-08
2005,30.0,SN_ITK_DEFC,2023-09-08
2006,29.3,SN_ITK_DEFC,2023-09-08
2007,28.7,SN_ITK_DEFC,2023-09-08
2008,28.7,SN_ITK_DEFC,2023-09-08
2009,27.8,SN_ITK_DEFC,2023-09-08
2010,26.3,SN_ITK_DEFC,2023-09-08
2011,25.1,SN_ITK_DEFC,2023-09-08
2012,25.1,SN_ITK_DEFC,2023-09-08
2013,27.0,SN_ITK_DEFC,2023-09-08
2014,30.0,SN_ITK_DEFC,2023-09-08
2015,32.6,SN_ITK_DEFC,2023-09-08
2016,35.1,SN_ITK_DEFC,2023-09-08
2017,36.3,SN_ITK_DEFC,2023-09-08
2018,38.2,SN_ITK_DEFC,2023-09-08
2019,38.9,SN_ITK_DEFC,2023-09-08
2020,39.1,SN_ITK_DEFC,2023-09-08
2021,38.4,SN_ITK_DEFC,2023-09-08
2022,,SN_ITK_DEFC,2023-09-08
