Year,SERIES,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,Value
2010,AG_LND_FRSTCHG,,PT,2023-09-07,-0.25
2020,AG_LND_FRSTCHG,,PT,2023-09-07,-0.26
2010,EN_ATM_PM25,,GPERM3,2023-02-27,13.27519
2011,EN_ATM_PM25,,GPERM3,2023-02-27,13.26777
2012,EN_ATM_PM25,,GPERM3,2023-02-27,13.20859
2013,EN_ATM_PM25,,GPERM3,2023-02-27,13.09511
2014,EN_ATM_PM25,,GPERM3,2023-02-27,13.12364
2015,EN_ATM_PM25,,GPERM3,2023-02-27,13.26748
2016,EN_ATM_PM25,,GPERM3,2023-02-27,13.09256
2017,EN_ATM_PM25,,GPERM3,2023-02-27,13.15097
2018,EN_ATM_PM25,,GPERM3,2023-02-27,13.11527
2019,EN_ATM_PM25,,GPERM3,2023-02-27,13.07553
2010,EN_ATM_PM25,CITY,GPERM3,2023-02-27,15.13823
2011,EN_ATM_PM25,CITY,GPERM3,2023-02-27,15.16855
2012,EN_ATM_PM25,CITY,GPERM3,2023-02-27,15.1875
2013,EN_ATM_PM25,CITY,GPERM3,2023-02-27,15.00083
2014,EN_ATM_PM25,CITY,GPERM3,2023-02-27,14.97612
2015,EN_ATM_PM25,CITY,GPERM3,2023-02-27,15.12702
2016,EN_ATM_PM25,CITY,GPERM3,2023-02-27,14.9893
2017,EN_ATM_PM25,CITY,GPERM3,2023-02-27,15.08634
2018,EN_ATM_PM25,CITY,GPERM3,2023-02-27,14.98122
2019,EN_ATM_PM25,CITY,GPERM3,2023-02-27,15.00578
2010,EN_ATM_PM25,R,GPERM3,2023-02-27,12.54661
2011,EN_ATM_PM25,R,GPERM3,2023-02-27,12.52806
2012,EN_ATM_PM25,R,GPERM3,2023-02-27,12.44261
2013,EN_ATM_PM25,R,GPERM3,2023-02-27,12.3612
2014,EN_ATM_PM25,R,GPERM3,2023-02-27,12.40491
2015,EN_ATM_PM25,R,GPERM3,2023-02-27,12.54693
2016,EN_ATM_PM25,R,GPERM3,2023-02-27,12.36133
2017,EN_ATM_PM25,R,GPERM3,2023-02-27,12.41494
2018,EN_ATM_PM25,R,GPERM3,2023-02-27,12.39824
2019,EN_ATM_PM25,R,GPERM3,2023-02-27,12.343
2010,EN_ATM_PM25,TSUB,GPERM3,2023-02-27,13.31831
2011,EN_ATM_PM25,TSUB,GPERM3,2023-02-27,13.29851
2012,EN_ATM_PM25,TSUB,GPERM3,2023-02-27,13.22408
2013,EN_ATM_PM25,TSUB,GPERM3,2023-02-27,13.0958
2014,EN_ATM_PM25,TSUB,GPERM3,2023-02-27,13.17163
2015,EN_ATM_PM25,TSUB,GPERM3,2023-02-27,13.32036
2016,EN_ATM_PM25,TSUB,GPERM3,2023-02-27,13.13219
2017,EN_ATM_PM25,TSUB,GPERM3,2023-02-27,13.13356
2018,EN_ATM_PM25,TSUB,GPERM3,2023-02-27,13.16041
2019,EN_ATM_PM25,TSUB,GPERM3,2023-02-27,13.0697
2010,EN_ATM_PM25,U,GPERM3,2023-02-27,14.63783
2011,EN_ATM_PM25,U,GPERM3,2023-02-27,14.65413
2012,EN_ATM_PM25,U,GPERM3,2023-02-27,14.64714
2013,EN_ATM_PM25,U,GPERM3,2023-02-27,14.4763
2014,EN_ATM_PM25,U,GPERM3,2023-02-27,14.47904
2015,EN_ATM_PM25,U,GPERM3,2023-02-27,14.62912
2016,EN_ATM_PM25,U,GPERM3,2023-02-27,14.47727
2017,EN_ATM_PM25,U,GPERM3,2023-02-27,14.54769
2018,EN_ATM_PM25,U,GPERM3,2023-02-27,14.47875
2019,EN_ATM_PM25,U,GPERM3,2023-02-27,14.47127
1980,FM_LBL_BMNY_ZG,,PT,2023-03-10,81.48815
1981,FM_LBL_BMNY_ZG,,PT,2023-03-10,15.67201
1982,FM_LBL_BMNY_ZG,,PT,2023-03-10,24.79634
1983,FM_LBL_BMNY_ZG,,PT,2023-03-10,-3.94196
1984,FM_LBL_BMNY_ZG,,PT,2023-03-10,9.99325
1985,FM_LBL_BMNY_ZG,,PT,2023-03-10,17.74875
1986,FM_LBL_BMNY_ZG,,PT,2023-03-10,4.22516
