Year,SERIES,SEX,OCCUPATION,CUST_BREAKDOWN,PRODUCT,UNIT_MEASURE,CUST_BREAKDOWN_LB,DATA_LAST_UPDATE,Value
2020,EN_URB_OPENSP,,,C02,,PT,Bulawayo,2023-07-07,21.8
2000,ER_MRN_MPA,,,,,PT,,2023-02-27,
2001,ER_MRN_MPA,,,,,PT,,2023-02-27,
2002,ER_MRN_MPA,,,,,PT,,2023-02-27,
2003,ER_MRN_MPA,,,,,PT,,2023-02-27,
2004,ER_MRN_MPA,,,,,PT,,2023-02-27,
2005,ER_MRN_MPA,,,,,PT,,2023-02-27,
2006,ER_MRN_MPA,,,,,PT,,2023-02-27,
2007,ER_MRN_MPA,,,,,PT,,2023-02-27,
2008,ER_MRN_MPA,,,,,PT,,2023-02-27,
2009,ER_MRN_MPA,,,,,PT,,2023-02-27,
2010,ER_MRN_MPA,,,,,PT,,2023-02-27,
2011,ER_MRN_MPA,,,,,PT,,2023-02-27,
2012,ER_MRN_MPA,,,,,PT,,2023-02-27,
2013,ER_MRN_MPA,,,,,PT,,2023-02-27,
2014,ER_MRN_MPA,,,,,PT,,2023-02-27,
2015,ER_MRN_MPA,,,,,PT,,2023-02-27,
2016,ER_MRN_MPA,,,,,PT,,2023-02-27,
2017,ER_MRN_MPA,,,,,PT,,2023-02-27,
2018,ER_MRN_MPA,,,,,PT,,2023-02-27,
2019,ER_MRN_MPA,,,,,PT,,2023-02-27,
2020,ER_MRN_MPA,,,,,PT,,2023-02-27,
2021,ER_MRN_MPA,,,,,PT,,2023-02-27,
2022,ER_MRN_MPA,,,,,PT,,2023-02-27,
2000,ER_PTD_FRHWTR,,,,,PT,,2023-02-27,65.75313
2001,ER_PTD_FRHWTR,,,,,PT,,2023-02-27,65.75313
2002,ER_PTD_FRHWTR,,,,,PT,,2023-02-27,65.84282
2003,ER_PTD_FRHWTR,,,,,PT,,2023-02-27,65.84282
2004,ER_PTD_FRHWTR,,,,,PT,,2023-02-27,65.84282
2005,ER_PTD_FRHWTR,,,,,PT,,2023-02-27,65.84282
2006,ER_PTD_FRHWTR,,,,,PT,,2023-02-27,65.84282
2007,ER_PTD_FRHWTR,,,,,PT,,2023-02-27,65.84282
2008,ER_PTD_FRHWTR,,,,,PT,,2023-02-27,65.84282
2009,ER_PTD_FRHWTR,,,,,PT,,2023-02-27,65.84282
2010,ER_PTD_FRHWTR,,,,,PT,,2023-02-27,65.84282
2011,ER_PTD_FRHWTR,,,,,PT,,2023-02-27,65.84282
2012,ER_PTD_FRHWTR,,,,,PT,,2023-02-27,65.84282
2013,ER_PTD_FRHWTR,,,,,PT,,2023-02-27,82.01165
2014,ER_PTD_FRHWTR,,,,,PT,,2023-02-27,82.01165
2015,ER_PTD_FRHWTR,,,,,PT,,2023-02-27,82.01165
