Year,SERIES,URBANISATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,Value
2022,ER_BDY_ABT2NP,,,NUMBER,2023-10-24,1.0
2022,ER_BDY_ABT2NP,,ABT2_ACHIEVE,NUMBER,2023-10-24,1.0
2019,ER_CBD_ABSCLRHS,,,NUMBER,2023-02-14,1.0
2021,ER_CBD_ABSCLRHS,,,NUMBER,2023-02-14,1.0
2022,ER_CBD_ABSCLRHS,,,NUMBER,2023-02-14,1.0
2021,ER_CBD_NAGOYA,,,NUMBER,2023-02-14,1.0
2022,ER_CBD_NAGOYA,,,NUMBER,2023-02-14,1.0
2016,ER_CBD_ORSPGRFA,,,NUMBER,2023-03-03,0.0
2017,ER_CBD_ORSPGRFA,,,NUMBER,2023-03-03,0.0
2018,ER_CBD_ORSPGRFA,,,NUMBER,2023-03-03,0.0
2019,ER_CBD_ORSPGRFA,,,NUMBER,2023-03-03,0.0
2020,ER_CBD_ORSPGRFA,,,NUMBER,2023-03-03,0.0
2021,ER_CBD_ORSPGRFA,,,NUMBER,2023-03-03,1.0
2022,ER_CBD_ORSPGRFA,,,NUMBER,2023-03-03,1.0
2012,ER_CBD_PTYPGRFA,,,NUMBER,2023-05-03,1.0
2013,ER_CBD_PTYPGRFA,,,NUMBER,2023-05-03,1.0
2014,ER_CBD_PTYPGRFA,,,NUMBER,2023-05-03,1.0
2015,ER_CBD_PTYPGRFA,,,NUMBER,2023-05-03,1.0
2016,ER_CBD_PTYPGRFA,,,NUMBER,2023-05-03,1.0
2017,ER_CBD_PTYPGRFA,,,NUMBER,2023-05-03,1.0
2018,ER_CBD_PTYPGRFA,,,NUMBER,2023-05-03,1.0
2019,ER_CBD_PTYPGRFA,,,NUMBER,2023-05-03,1.0
2020,ER_CBD_PTYPGRFA,,,NUMBER,2023-05-03,1.0
2021,ER_CBD_PTYPGRFA,,,NUMBER,2023-05-03,1.0
2022,ER_CBD_PTYPGRFA,,,NUMBER,2023-05-03,1.0
2010,ER_H2O_PRDU,R,,NUMBER,2023-12-12,10.0
2012,ER_H2O_PRDU,R,,NUMBER,2023-12-12,10.0
2014,ER_H2O_PRDU,R,,NUMBER,2023-12-12,10.0
2017,ER_H2O_PRDU,R,,NUMBER,2023-12-12,10.0
2019,ER_H2O_PRDU,R,,NUMBER,2023-12-12,10.0
2022,ER_H2O_PRDU,R,,NUMBER,2023-12-12,10.0
2014,ER_H2O_RURP,R,,NUMBER,2023-12-12,3.0
2017,ER_H2O_RURP,R,,NUMBER,2023-12-12,2.0
2019,ER_H2O_RURP,R,,NUMBER,2023-12-12,2.0
2022,ER_H2O_RURP,R,,NUMBER,2023-12-12,3.0
2016,ER_IAS_NATBUD,,,BOOL,2023-03-21,1.0
2017,ER_WAT_PART,,,NUMBER,2023-12-12,2.0
2019,ER_WAT_PART,,,NUMBER,2023-12-12,3.0
2022,ER_WAT_PART,,,NUMBER,2023-12-12,2.0
2017,ER_WAT_PRDU,,,NUMBER,2023-12-12,10.0
2019,ER_WAT_PRDU,,,NUMBER,2023-12-12,10.0
2022,ER_WAT_PRDU,,,NUMBER,2023-12-12,10.0
2020,SD_CPA_UPRDP,,,NUMBER,2020-10-09,1.0
2021,SG_CPA_MIGRS,,,NUMBER,2022-03-05,3.0
2021,SG_CPA_MIGRS,,PD_1,NUMBER,2022-03-05,3.0
2021,SG_CPA_MIGRS,,PD_2,NUMBER,2022-03-05,4.0
2021,SG_CPA_MIGRS,,PD_3,NUMBER,2022-03-05,4.0
2021,SG_CPA_MIGRS,,PD_4,NUMBER,2022-03-05,4.0
2021,SG_CPA_MIGRS,,PD_5,NUMBER,2022-03-05,4.0
2021,SG_CPA_MIGRS,,PD_6,NUMBER,2022-03-05,4.0
2022,SG_INF_ACCSS,,,NUMBER,2023-09-27,1.0
2016,SG_NHR_IMPLN,,,NUMBER,2022-04-27,1.0
2017,SG_NHR_IMPLN,,,NUMBER,2022-04-27,1.0
2018,SG_NHR_IMPLN,,,NUMBER,2022-04-27,1.0
2019,SG_NHR_IMPLN,,,NUMBER,2022-04-27,1.0
2020,SG_NHR_IMPLN,,,NUMBER,2022-04-27,1.0
2021,SG_NHR_IMPLN,,,NUMBER,2022-04-27,1.0
2000,SG_NHR_NOAPPLN,,,NUMBER,2022-04-27,1.0
2005,SG_NHR_NOAPPLN,,,NUMBER,2022-04-27,1.0
2010,SG_NHR_NOAPPLN,,,NUMBER,2022-04-27,1.0
2015,SG_NHR_NOAPPLN,,,NUMBER,2022-04-27,1.0
2015,SG_REG_BRTH90N,,,NUMBER,2023-09-06,0.0
2019,SG_REG_BRTH90N,,,NUMBER,2023-09-06,0.0
2020,SG_REG_BRTH90N,,,NUMBER,2023-09-06,0.0
2022,SG_REG_CENSUSN,,,NUMBER,2022-09-06,1.0
2016,SG_REG_DETH75N,,,NUMBER,2023-09-06,0.0
2017,SG_REG_DETH75N,,,NUMBER,2023-09-06,0.0
2018,SG_REG_DETH75N,,,NUMBER,2023-09-06,0.0
2019,SG_REG_DETH75N,,,NUMBER,2023-09-06,0.0
2020,SG_REG_DETH75N,,,NUMBER,2023-09-06,0.0
2019,SG_STT_FPOS,,,NUMBER,2023-06-13,1.0
2020,SG_STT_FPOS,,,NUMBER,2023-06-13,1.0
2021,SG_STT_FPOS,,,NUMBER,2023-06-13,1.0
2022,SG_STT_FPOS,,,NUMBER,2023-06-13,0.0
2019,SG_STT_NSDSFDDNR,,,NUMBER,2023-06-13,1.0
2020,SG_STT_NSDSFDDNR,,,NUMBER,2023-06-13,
2021,SG_STT_NSDSFDDNR,,,NUMBER,2023-06-13,
2022,SG_STT_NSDSFDDNR,,,NUMBER,2023-06-13,0.0
2019,SG_STT_NSDSFDGVT,,,NUMBER,2023-06-13,1.0
2020,SG_STT_NSDSFDGVT,,,NUMBER,2023-06-13,1.0
2021,SG_STT_NSDSFDGVT,,,NUMBER,2023-06-13,1.0
2022,SG_STT_NSDSFDGVT,,,NUMBER,2023-06-13,0.0
2019,SG_STT_NSDSFDOTHR,,,NUMBER,2023-06-13,
2020,SG_STT_NSDSFDOTHR,,,NUMBER,2023-06-13,
2021,SG_STT_NSDSFDOTHR,,,NUMBER,2023-06-13,
2022,SG_STT_NSDSFDOTHR,,,NUMBER,2023-06-13,0.0
2019,SG_STT_NSDSFND,,,NUMBER,2023-06-13,0.0
2020,SG_STT_NSDSFND,,,NUMBER,2023-06-13,0.0
2021,SG_STT_NSDSFND,,,NUMBER,2023-06-13,0.0
2022,SG_STT_NSDSFND,,,NUMBER,2023-06-13,0.0
2019,SG_STT_NSDSIMPL,,,NUMBER,2023-06-13,1.0
2020,SG_STT_NSDSIMPL,,,NUMBER,2023-06-13,1.0
2021,SG_STT_NSDSIMPL,,,NUMBER,2023-06-13,1.0
2022,SG_STT_NSDSIMPL,,,NUMBER,2023-06-13,1.0
