Year,SEX,AGE,Value
2000,,Y_GE15,8.44
2001,,Y_GE15,8.18
2002,,Y_GE15,10.92
2003,,Y_GE15,16.99
2004,,Y_GE15,19.32
2005,,Y_GE15,21.72
2006,,Y_GE15,23.35
2007,,Y_GE15,25.41
2008,,Y_GE15,35.22
2009,,Y_GE15,30.35
2010,,Y_GE15,23.05
2011,,Y_GE15,18.37
2012,,Y_GE15,16.56
2013,,Y_GE15,19.34
2014,,Y_GE15,21.98
2015,,Y_GE15,24.84
2016,,Y_GE15,28.2
2017,,Y_GE15,29.55
2018,,Y_GE15,29.42
2019,,Y_GE15,34.88
2020,,Y_GE15,37.9
2021,,Y_GE15,36.21
2022,,Y_GE15,35.45
2000,,Y_GE25,6.92
2001,,Y_GE25,6.69
2002,,Y_GE25,9.04
2003,,Y_GE25,14.48
2004,,Y_GE25,16.65
2005,,Y_GE25,18.97
2006,,Y_GE25,20.61
2007,,Y_GE25,22.68
2008,,Y_GE25,32.7
2009,,Y_GE25,27.72
2010,,Y_GE25,20.45
2011,,Y_GE25,15.98
2012,,Y_GE25,14.25
2013,,Y_GE25,16.81
2014,,Y_GE25,19.26
2015,,Y_GE25,22.04
2016,,Y_GE25,25.36
2017,,Y_GE25,26.74
2018,,Y_GE25,26.63
2019,,Y_GE25,32.26
2000,,Y15T24,11.89
2001,,Y15T24,11.55
2002,,Y15T24,15.18
2003,,Y15T24,22.72
2004,,Y15T24,25.49
2005,,Y15T24,28.27
2006,,Y15T24,30.14
2007,,Y15T24,32.44
2008,,Y15T24,41.97
2009,,Y15T24,37.63
2010,,Y15T24,30.42
2011,,Y15T24,25.32
2012,,Y15T24,23.29
2013,,Y15T24,26.66
2014,,Y15T24,29.68
2015,,Y15T24,32.76
2016,,Y15T24,36.17
2017,,Y15T24,37.48
2018,,Y15T24,37.39
2019,,Y15T24,42.45
2000,F,Y_GE15,8.23
2001,F,Y_GE15,7.93
2002,F,Y_GE15,10.67
2003,F,Y_GE15,16.9
2004,F,Y_GE15,19.33
2005,F,Y_GE15,21.97
2006,F,Y_GE15,23.82
2007,F,Y_GE15,26.15
2008,F,Y_GE15,36.81
2009,F,Y_GE15,31.72
2010,F,Y_GE15,23.91
2011,F,Y_GE15,18.93
2012,F,Y_GE15,17.0
2013,F,Y_GE15,19.97
2014,F,Y_GE15,22.78
2015,F,Y_GE15,25.92
2016,F,Y_GE15,29.61
2017,F,Y_GE15,31.13
2018,F,Y_GE15,31.1
2019,F,Y_GE15,37.13
2000,F,Y_GE25,7.21
2001,F,Y_GE25,6.95
2002,F,Y_GE25,9.46
2003,F,Y_GE25,15.37
2004,F,Y_GE25,17.76
2005,F,Y_GE25,20.4
2006,F,Y_GE25,22.31
