Year,SERIES,Value
2019,DC_OSSD_GRT,910.32523
2020,DC_OSSD_GRT,998.53363
2021,DC_OSSD_GRT,1111.66085
2016,DC_OSSD_MPF,4.32826
2018,DC_OSSD_MPF,77.09451
2019,DC_OSSD_MPF,0.6821
2020,DC_OSSD_MPF,34.93646
2021,DC_OSSD_MPF,10.20014
2019,DC_OSSD_OFFCL,0.0
2020,DC_OSSD_OFFCL,5.65745
2021,DC_OSSD_OFFCL,8.37868
2019,DC_OSSD_OFFNL,0.0
2020,DC_OSSD_OFFNL,0.0
2021,DC_OSSD_OFFNL,32.82257
2016,DC_OSSD_PRVGRT,10.48399
2017,DC_OSSD_PRVGRT,21.19383
2018,DC_OSSD_PRVGRT,19.75925
2019,DC_OSSD_PRVGRT,15.65442
2020,DC_OSSD_PRVGRT,18.57818
2021,DC_OSSD_PRVGRT,17.0849
