Year,SERIES,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,Value
2000,ER_H2O_STRESS,,PT,2023-09-07,35.74
2001,ER_H2O_STRESS,,PT,2023-09-07,37.61
2002,ER_H2O_STRESS,,PT,2023-09-07,39.48
2003,ER_H2O_STRESS,,PT,2023-09-07,38.28
2004,ER_H2O_STRESS,,PT,2023-09-07,37.09
2005,ER_H2O_STRESS,,PT,2023-09-07,35.9
2006,ER_H2O_STRESS,,PT,2023-09-07,34.71
2007,ER_H2O_STRESS,,PT,2023-09-07,33.51
2008,ER_H2O_STRESS,,PT,2023-09-07,33.31
2009,ER_H2O_STRESS,,PT,2023-09-07,33.1
2010,ER_H2O_STRESS,,PT,2023-09-07,32.9
2011,ER_H2O_STRESS,,PT,2023-09-07,32.7
2012,ER_H2O_STRESS,,PT,2023-09-07,32.49
2013,ER_H2O_STRESS,,PT,2023-09-07,32.28
2014,ER_H2O_STRESS,,PT,2023-09-07,32.08
2015,ER_H2O_STRESS,,PT,2023-09-07,31.87
2016,ER_H2O_STRESS,,PT,2023-09-07,31.94
2017,ER_H2O_STRESS,,PT,2023-09-07,31.35
2018,ER_H2O_STRESS,,PT,2023-09-07,35.41
2019,ER_H2O_STRESS,,PT,2023-09-07,35.41
2020,ER_H2O_STRESS,,PT,2023-09-07,35.41
2000,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,28.2
2001,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,29.68
2002,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,31.15
2003,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,30.42
2004,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,29.69
2005,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,28.96
2006,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,28.24
2007,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,27.51
2008,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,27.22
2009,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,26.93
2010,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,26.64
2011,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,26.35
2012,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,26.05
2013,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,25.76
2014,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,25.47
2015,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,25.18
2016,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,25.55
2017,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,26.0
2018,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,28.55
2019,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,28.55
2020,ER_H2O_STRESS,ISIC4_A01_A0210_A0322,PT,2023-09-07,28.55
2000,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,2.53
2001,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,2.66
2002,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,2.8
2003,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,2.64
2004,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,2.49
2005,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,2.33
2006,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,2.17
2007,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,2.02
2008,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,1.86
2009,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,1.7
2010,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,1.55
2011,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,1.39
2012,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,1.23
2013,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,1.08
2014,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,0.92
2015,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,0.76
2016,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,0.76
2017,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,0.76
2018,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,0.76
2019,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,0.76
2020,ER_H2O_STRESS,ISIC4_BTFXE,PT,2023-09-07,0.76
2000,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,5.01
2001,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,5.27
2002,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,5.53
2003,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,5.22
2004,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,4.91
2005,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,4.61
2006,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,4.3
2007,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,3.99
2008,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,4.23
2009,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,4.47
2010,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,4.72
2011,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,4.96
2012,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,5.2
2013,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,5.44
2014,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,5.68
2015,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,5.93
2016,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,5.63
2017,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,4.58
2018,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,6.09
2019,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,6.09
2020,ER_H2O_STRESS,ISIC4_GTT,PT,2023-09-07,6.09
2015,SL_LBR_NTLCPL,,SCORE,2023-05-11,5.79
2016,SL_LBR_NTLCPL,,SCORE,2023-05-11,4.95
2017,SL_LBR_NTLCPL,,SCORE,2023-05-11,4.96
2018,SL_LBR_NTLCPL,,SCORE,2023-05-11,5.92
2019,SL_LBR_NTLCPL,,SCORE,2023-05-11,4.42
2020,SL_LBR_NTLCPL,,SCORE,2023-05-11,5.45
2021,SL_LBR_NTLCPL,,SCORE,2023-05-11,6.0
