Year,SERIES,UNIT_MEASURE,Value
2000,EN_RSRV_MNWAN,KM2,2933.20585
2001,EN_RSRV_MNWAN,KM2,3039.40393
2002,EN_RSRV_MNWAN,KM2,3146.87804
2003,EN_RSRV_MNWAN,KM2,3190.39908
2004,EN_RSRV_MNWAN,KM2,3208.41279
2005,EN_RSRV_MNWAN,KM2,3211.40092
2006,EN_RSRV_MNWAN,KM2,3161.78303
2007,EN_RSRV_MNWAN,KM2,3115.18367
2008,EN_RSRV_MNWAN,KM2,3070.63378
2009,EN_RSRV_MNWAN,KM2,3072.13417
2010,EN_RSRV_MNWAN,KM2,3065.9292
2011,EN_RSRV_MNWAN,KM2,3105.14882
2012,EN_RSRV_MNWAN,KM2,3141.51351
2013,EN_RSRV_MNWAN,KM2,3173.88139
2014,EN_RSRV_MNWAN,KM2,3164.96573
2015,EN_RSRV_MNWAN,KM2,3164.6179
2016,EN_RSRV_MNWAN,KM2,3118.33789
2017,EN_RSRV_MNWAN,KM2,3046.18741
2018,EN_RSRV_MNWAN,KM2,3026.37785
2019,EN_RSRV_MNWAN,KM2,3031.87604
2020,EN_RSRV_MNWAN,KM2,2983.74316
2021,EN_RSRV_MNWAN,KM2,2966.99501
2022,EN_RSRV_MNWAN,KM2,3021.11824
2000,EN_RSRV_MNWAP,PT,0.00758
2001,EN_RSRV_MNWAP,PT,0.00786
2002,EN_RSRV_MNWAP,PT,0.00813
2003,EN_RSRV_MNWAP,PT,0.00825
2004,EN_RSRV_MNWAP,PT,0.00829
2005,EN_RSRV_MNWAP,PT,0.0083
2006,EN_RSRV_MNWAP,PT,0.00817
2007,EN_RSRV_MNWAP,PT,0.00805
2008,EN_RSRV_MNWAP,PT,0.00794
2009,EN_RSRV_MNWAP,PT,0.00794
2010,EN_RSRV_MNWAP,PT,0.00793
2011,EN_RSRV_MNWAP,PT,0.00803
2012,EN_RSRV_MNWAP,PT,0.00812
2013,EN_RSRV_MNWAP,PT,0.0082
2014,EN_RSRV_MNWAP,PT,0.00818
2015,EN_RSRV_MNWAP,PT,0.00818
2016,EN_RSRV_MNWAP,PT,0.00806
2017,EN_RSRV_MNWAP,PT,0.00787
2018,EN_RSRV_MNWAP,PT,0.00782
2019,EN_RSRV_MNWAP,PT,0.00784
2020,EN_RSRV_MNWAP,PT,0.00771
2021,EN_RSRV_MNWAP,PT,0.00767
2022,EN_RSRV_MNWAP,PT,0.00781
2000,EN_RSRV_MXWAN,KM2,3106.78158
2001,EN_RSRV_MXWAN,KM2,3224.90857
2002,EN_RSRV_MXWAN,KM2,3365.99096
2003,EN_RSRV_MXWAN,KM2,3380.33921
2004,EN_RSRV_MXWAN,KM2,3387.4518
2005,EN_RSRV_MXWAN,KM2,3396.66803
2006,EN_RSRV_MXWAN,KM2,3357.66406
2007,EN_RSRV_MXWAN,KM2,3314.80952
2008,EN_RSRV_MXWAN,KM2,3284.58928
2009,EN_RSRV_MXWAN,KM2,3294.46375
2010,EN_RSRV_MXWAN,KM2,3293.80511
2011,EN_RSRV_MXWAN,KM2,3322.9056
2012,EN_RSRV_MXWAN,KM2,3355.83538
2013,EN_RSRV_MXWAN,KM2,3377.36704
2014,EN_RSRV_MXWAN,KM2,3367.48567
2015,EN_RSRV_MXWAN,KM2,3372.43564
2016,EN_RSRV_MXWAN,KM2,3346.05358
2017,EN_RSRV_MXWAN,KM2,3279.23577
2018,EN_RSRV_MXWAN,KM2,3287.95567
2019,EN_RSRV_MXWAN,KM2,3323.49858
2020,EN_RSRV_MXWAN,KM2,3291.90888
2021,EN_RSRV_MXWAN,KM2,3279.2429
2022,EN_RSRV_MXWAN,KM2,3340.23095
2000,EN_RSRV_MXWAP,PT,0.00803
2001,EN_RSRV_MXWAP,PT,0.00834
2002,EN_RSRV_MXWAP,PT,0.0087
2003,EN_RSRV_MXWAP,PT,0.00874
2004,EN_RSRV_MXWAP,PT,0.00876
2005,EN_RSRV_MXWAP,PT,0.00878
2006,EN_RSRV_MXWAP,PT,0.00868
2007,EN_RSRV_MXWAP,PT,0.00857
2008,EN_RSRV_MXWAP,PT,0.00849
2009,EN_RSRV_MXWAP,PT,0.00852
2010,EN_RSRV_MXWAP,PT,0.00851
2011,EN_RSRV_MXWAP,PT,0.00859
2012,EN_RSRV_MXWAP,PT,0.00867
2013,EN_RSRV_MXWAP,PT,0.00873
2014,EN_RSRV_MXWAP,PT,0.0087
2015,EN_RSRV_MXWAP,PT,0.00872
2016,EN_RSRV_MXWAP,PT,0.00865
2017,EN_RSRV_MXWAP,PT,0.00848
2018,EN_RSRV_MXWAP,PT,0.0085
2019,EN_RSRV_MXWAP,PT,0.00859
2020,EN_RSRV_MXWAP,PT,0.00851
2021,EN_RSRV_MXWAP,PT,0.00848
2022,EN_RSRV_MXWAP,PT,0.00863
