Year,SERIES,UNIT_MEASURE,DATA_LAST_UPDATE,Value
2010,DC_ENVTECH_EXP,USD,2022-03-23,16643477.0
2011,DC_ENVTECH_EXP,USD,2022-03-23,14011143.0
2012,DC_ENVTECH_EXP,USD,2022-03-23,17787927.0
2013,DC_ENVTECH_EXP,USD,2022-03-23,23073921.0
2014,DC_ENVTECH_EXP,USD,2022-03-23,21791178.0
2015,DC_ENVTECH_EXP,USD,2022-03-23,14754388.0
2016,DC_ENVTECH_EXP,USD,2022-03-23,12555064.0
2017,DC_ENVTECH_EXP,USD,2022-03-23,12192162.0
2018,DC_ENVTECH_EXP,USD,2022-03-23,11533002.0
2019,DC_ENVTECH_EXP,USD,2022-03-23,26126429.0
2020,DC_ENVTECH_EXP,USD,2022-03-23,9680873.0
2010,DC_ENVTECH_IMP,USD,2022-03-23,330021847.0
2011,DC_ENVTECH_IMP,USD,2022-03-23,339113883.0
2012,DC_ENVTECH_IMP,USD,2022-03-23,382748020.0
2013,DC_ENVTECH_IMP,USD,2022-03-23,352423236.0
2014,DC_ENVTECH_IMP,USD,2022-03-23,319713377.0
2015,DC_ENVTECH_IMP,USD,2022-03-23,320126308.0
2016,DC_ENVTECH_IMP,USD,2022-03-23,267627886.0
2017,DC_ENVTECH_IMP,USD,2022-03-23,292883065.0
2018,DC_ENVTECH_IMP,USD,2022-03-23,320197247.0
2019,DC_ENVTECH_IMP,USD,2022-03-23,315216741.0
2020,DC_ENVTECH_IMP,USD,2022-03-23,421093443.0
2010,DC_ENVTECH_REXP,USD,2022-03-23,901718.0
2011,DC_ENVTECH_REXP,USD,2022-03-23,224348.0
2012,DC_ENVTECH_REXP,USD,2022-03-23,418511.0
2013,DC_ENVTECH_REXP,USD,2022-03-23,597768.0
2014,DC_ENVTECH_REXP,USD,2022-03-23,338044.0
2015,DC_ENVTECH_REXP,USD,2022-03-23,1133724.0
2016,DC_ENVTECH_REXP,USD,2022-03-23,754973.0
2020,DC_ENVTECH_REXP,USD,2022-03-23,59434.0
2000,GF_COM_PPPI,USD,2022-09-19,0.0
2001,GF_COM_PPPI,USD,2022-09-19,0.0
2002,GF_COM_PPPI,USD,2022-09-19,0.0
2003,GF_COM_PPPI,USD,2022-09-19,0.0
2004,GF_COM_PPPI,USD,2022-09-19,0.0
2005,GF_COM_PPPI,USD,2022-09-19,0.0
2006,GF_COM_PPPI,USD,2022-09-19,0.0
2007,GF_COM_PPPI,USD,2022-09-19,0.0
2008,GF_COM_PPPI,USD,2022-09-19,0.0
2009,GF_COM_PPPI,USD,2022-09-19,0.0
2010,GF_COM_PPPI,USD,2022-09-19,0.0
2011,GF_COM_PPPI,USD,2022-09-19,48.5
2012,GF_COM_PPPI,USD,2022-09-19,0.0
2013,GF_COM_PPPI,USD,2022-09-19,0.0
2014,GF_COM_PPPI,USD,2022-09-19,0.0
2015,GF_COM_PPPI,USD,2022-09-19,0.0
2016,GF_COM_PPPI,USD,2022-09-19,0.0
2017,GF_COM_PPPI,USD,2022-09-19,65.7
2018,GF_COM_PPPI,USD,2022-09-19,0.0
2019,GF_COM_PPPI,USD,2022-09-19,0.0
2020,GF_COM_PPPI,USD,2022-09-19,0.0
2000,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
2001,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
2002,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
2003,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
2004,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
2005,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
2006,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
2007,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
2008,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
2009,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
2010,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
2011,GF_COM_PPPI_KD,CON_USD,2022-09-19,55.1233
2012,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
2013,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
2014,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
2015,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
2016,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
2017,GF_COM_PPPI_KD,CON_USD,2022-09-19,68.5245
2018,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
2019,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
2020,GF_COM_PPPI_KD,CON_USD,2022-09-19,0.0
