Year,SERIES,SEX,AGE,DATA_LAST_UPDATE,Value
2015,AG_PRD_FIESMS,,,2023-09-08,64.7
2016,AG_PRD_FIESMS,,,2023-09-08,66.7
2017,AG_PRD_FIESMS,,,2023-09-08,67.0
2018,AG_PRD_FIESMS,,,2023-09-08,66.7
2019,AG_PRD_FIESMS,,,2023-09-08,69.8
2020,AG_PRD_FIESMS,,,2023-09-08,73.0
2021,AG_PRD_FIESMS,,,2023-09-08,73.6
2022,AG_PRD_FIESMS,,,2023-09-08,
2015,AG_PRD_FIESMS,F,Y_GE15,2023-09-08,65.4
2016,AG_PRD_FIESMS,F,Y_GE15,2023-09-08,67.8
2017,AG_PRD_FIESMS,F,Y_GE15,2023-09-08,68.6
2018,AG_PRD_FIESMS,F,Y_GE15,2023-09-08,68.1
2019,AG_PRD_FIESMS,F,Y_GE15,2023-09-08,71.3
2020,AG_PRD_FIESMS,F,Y_GE15,2023-09-08,74.8
2021,AG_PRD_FIESMS,F,Y_GE15,2023-09-08,75.0
2022,AG_PRD_FIESMS,F,Y_GE15,2023-09-08,
2015,AG_PRD_FIESMS,M,Y_GE15,2023-09-08,64.0
2016,AG_PRD_FIESMS,M,Y_GE15,2023-09-08,65.7
2017,AG_PRD_FIESMS,M,Y_GE15,2023-09-08,65.4
2018,AG_PRD_FIESMS,M,Y_GE15,2023-09-08,65.3
2019,AG_PRD_FIESMS,M,Y_GE15,2023-09-08,68.3
2020,AG_PRD_FIESMS,M,Y_GE15,2023-09-08,71.3
2021,AG_PRD_FIESMS,M,Y_GE15,2023-09-08,72.2
2022,AG_PRD_FIESMS,M,Y_GE15,2023-09-08,
2015,AG_PRD_FIESS,,,2023-09-08,35.5
2016,AG_PRD_FIESS,,,2023-09-08,36.7
2017,AG_PRD_FIESS,,,2023-09-08,35.9
2018,AG_PRD_FIESS,,,2023-09-08,34.2
2019,AG_PRD_FIESS,,,2023-09-08,32.1
2020,AG_PRD_FIESS,,,2023-09-08,31.3
2021,AG_PRD_FIESS,,,2023-09-08,28.6
2022,AG_PRD_FIESS,,,2023-09-08,
2015,AG_PRD_FIESS,F,Y_GE15,2023-09-08,36.1
2016,AG_PRD_FIESS,F,Y_GE15,2023-09-08,37.6
2017,AG_PRD_FIESS,F,Y_GE15,2023-09-08,37.1
2018,AG_PRD_FIESS,F,Y_GE15,2023-09-08,35.8
2019,AG_PRD_FIESS,F,Y_GE15,2023-09-08,33.7
2020,AG_PRD_FIESS,F,Y_GE15,2023-09-08,33.1
2021,AG_PRD_FIESS,F,Y_GE15,2023-09-08,30.2
2022,AG_PRD_FIESS,F,Y_GE15,2023-09-08,
2015,AG_PRD_FIESS,M,Y_GE15,2023-09-08,34.9
2016,AG_PRD_FIESS,M,Y_GE15,2023-09-08,35.9
2017,AG_PRD_FIESS,M,Y_GE15,2023-09-08,34.6
2018,AG_PRD_FIESS,M,Y_GE15,2023-09-08,32.5
2019,AG_PRD_FIESS,M,Y_GE15,2023-09-08,30.6
2020,AG_PRD_FIESS,M,Y_GE15,2023-09-08,29.6
2021,AG_PRD_FIESS,M,Y_GE15,2023-09-08,27.0
2022,AG_PRD_FIESS,M,Y_GE15,2023-09-08,
2014,IU_COR_BRIB,,,2023-07-27,22.0
2017,IU_COR_BRIB,,,2023-07-27,25.0
2015,SH_HAP_HBSAG,,Y0T4,2021-05-20,4.38
2018,SH_HAP_HBSAG,,Y0T4,2021-05-20,2.27
2020,SH_HAP_HBSAG,,Y0T4,2021-05-20,2.74
2001,SN_ITK_DEFC,,,2023-09-08,33.0
2002,SN_ITK_DEFC,,,2023-09-08,32.1
2003,SN_ITK_DEFC,,,2023-09-08,31.6
2004,SN_ITK_DEFC,,,2023-09-08,31.6
2005,SN_ITK_DEFC,,,2023-09-08,30.0
2006,SN_ITK_DEFC,,,2023-09-08,29.3
2007,SN_ITK_DEFC,,,2023-09-08,28.7
2008,SN_ITK_DEFC,,,2023-09-08,28.7
2009,SN_ITK_DEFC,,,2023-09-08,27.8
2010,SN_ITK_DEFC,,,2023-09-08,26.3
2011,SN_ITK_DEFC,,,2023-09-08,25.1
2012,SN_ITK_DEFC,,,2023-09-08,25.1
2013,SN_ITK_DEFC,,,2023-09-08,27.0
2014,SN_ITK_DEFC,,,2023-09-08,30.0
2015,SN_ITK_DEFC,,,2023-09-08,32.6
2016,SN_ITK_DEFC,,,2023-09-08,35.1
2017,SN_ITK_DEFC,,,2023-09-08,36.3
2018,SN_ITK_DEFC,,,2023-09-08,38.2
2019,SN_ITK_DEFC,,,2023-09-08,38.9
2020,SN_ITK_DEFC,,,2023-09-08,39.1
2021,SN_ITK_DEFC,,,2023-09-08,38.4
2022,SN_ITK_DEFC,,,2023-09-08,
