Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
2022,1.0,NUMBER,ER_BDY_ABT2NP,2023-10-24
2019,1.0,NUMBER,ER_CBD_ABSCLRHS,2023-02-14
2021,1.0,NUMBER,ER_CBD_ABSCLRHS,2023-02-14
2022,1.0,NUMBER,ER_CBD_ABSCLRHS,2023-02-14
2021,1.0,NUMBER,ER_CBD_NAGOYA,2023-02-14
2022,1.0,NUMBER,ER_CBD_NAGOYA,2023-02-14
2016,0.0,NUMBER,ER_CBD_ORSPGRFA,2023-03-03
2017,0.0,NUMBER,ER_CBD_ORSPGRFA,2023-03-03
2018,0.0,NUMBER,ER_CBD_ORSPGRFA,2023-03-03
2019,0.0,NUMBER,ER_CBD_ORSPGRFA,2023-03-03
2020,0.0,NUMBER,ER_CBD_ORSPGRFA,2023-03-03
2021,1.0,NUMBER,ER_CBD_ORSPGRFA,2023-03-03
2022,1.0,NUMBER,ER_CBD_ORSPGRFA,2023-03-03
2012,1.0,NUMBER,ER_CBD_PTYPGRFA,2023-05-03
2013,1.0,NUMBER,ER_CBD_PTYPGRFA,2023-05-03
2014,1.0,NUMBER,ER_CBD_PTYPGRFA,2023-05-03
2015,1.0,NUMBER,ER_CBD_PTYPGRFA,2023-05-03
2016,1.0,NUMBER,ER_CBD_PTYPGRFA,2023-05-03
2017,1.0,NUMBER,ER_CBD_PTYPGRFA,2023-05-03
2018,1.0,NUMBER,ER_CBD_PTYPGRFA,2023-05-03
2019,1.0,NUMBER,ER_CBD_PTYPGRFA,2023-05-03
2020,1.0,NUMBER,ER_CBD_PTYPGRFA,2023-05-03
2021,1.0,NUMBER,ER_CBD_PTYPGRFA,2023-05-03
2022,1.0,NUMBER,ER_CBD_PTYPGRFA,2023-05-03
2016,1.0,BOOL,ER_IAS_NATBUD,2023-03-21
2017,2.0,NUMBER,ER_WAT_PART,2023-12-12
2019,3.0,NUMBER,ER_WAT_PART,2023-12-12
2022,2.0,NUMBER,ER_WAT_PART,2023-12-12
2017,10.0,NUMBER,ER_WAT_PRDU,2023-12-12
2019,10.0,NUMBER,ER_WAT_PRDU,2023-12-12
2022,10.0,NUMBER,ER_WAT_PRDU,2023-12-12
2020,1.0,NUMBER,SD_CPA_UPRDP,2020-10-09
2021,3.0,NUMBER,SG_CPA_MIGRS,2022-03-05
2022,1.0,NUMBER,SG_INF_ACCSS,2023-09-27
2016,1.0,NUMBER,SG_NHR_IMPLN,2022-04-27
2017,1.0,NUMBER,SG_NHR_IMPLN,2022-04-27
2018,1.0,NUMBER,SG_NHR_IMPLN,2022-04-27
2019,1.0,NUMBER,SG_NHR_IMPLN,2022-04-27
2020,1.0,NUMBER,SG_NHR_IMPLN,2022-04-27
2021,1.0,NUMBER,SG_NHR_IMPLN,2022-04-27
2000,1.0,NUMBER,SG_NHR_NOAPPLN,2022-04-27
2005,1.0,NUMBER,SG_NHR_NOAPPLN,2022-04-27
2010,1.0,NUMBER,SG_NHR_NOAPPLN,2022-04-27
2015,1.0,NUMBER,SG_NHR_NOAPPLN,2022-04-27
2015,0.0,NUMBER,SG_REG_BRTH90N,2023-09-06
2019,0.0,NUMBER,SG_REG_BRTH90N,2023-09-06
2020,0.0,NUMBER,SG_REG_BRTH90N,2023-09-06
2022,1.0,NUMBER,SG_REG_CENSUSN,2022-09-06
2016,0.0,NUMBER,SG_REG_DETH75N,2023-09-06
2017,0.0,NUMBER,SG_REG_DETH75N,2023-09-06
2018,0.0,NUMBER,SG_REG_DETH75N,2023-09-06
2019,0.0,NUMBER,SG_REG_DETH75N,2023-09-06
2020,0.0,NUMBER,SG_REG_DETH75N,2023-09-06
2019,1.0,NUMBER,SG_STT_FPOS,2023-06-13
2020,1.0,NUMBER,SG_STT_FPOS,2023-06-13
2021,1.0,NUMBER,SG_STT_FPOS,2023-06-13
2022,0.0,NUMBER,SG_STT_FPOS,2023-06-13
2019,1.0,NUMBER,SG_STT_NSDSFDDNR,2023-06-13
2020,,NUMBER,SG_STT_NSDSFDDNR,2023-06-13
2021,,NUMBER,SG_STT_NSDSFDDNR,2023-06-13
2022,0.0,NUMBER,SG_STT_NSDSFDDNR,2023-06-13
2019,1.0,NUMBER,SG_STT_NSDSFDGVT,2023-06-13
2020,1.0,NUMBER,SG_STT_NSDSFDGVT,2023-06-13
2021,1.0,NUMBER,SG_STT_NSDSFDGVT,2023-06-13
2022,0.0,NUMBER,SG_STT_NSDSFDGVT,2023-06-13
2019,,NUMBER,SG_STT_NSDSFDOTHR,2023-06-13
2020,,NUMBER,SG_STT_NSDSFDOTHR,2023-06-13
2021,,NUMBER,SG_STT_NSDSFDOTHR,2023-06-13
2022,0.0,NUMBER,SG_STT_NSDSFDOTHR,2023-06-13
2019,0.0,NUMBER,SG_STT_NSDSFND,2023-06-13
2020,0.0,NUMBER,SG_STT_NSDSFND,2023-06-13
2021,0.0,NUMBER,SG_STT_NSDSFND,2023-06-13
2022,0.0,NUMBER,SG_STT_NSDSFND,2023-06-13
2019,1.0,NUMBER,SG_STT_NSDSIMPL,2023-06-13
2020,1.0,NUMBER,SG_STT_NSDSIMPL,2023-06-13
2021,1.0,NUMBER,SG_STT_NSDSIMPL,2023-06-13
2022,1.0,NUMBER,SG_STT_NSDSIMPL,2023-06-13
