Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
2017,,NUMBER,VC_HTF_DETV,2023-03-21
2018,,NUMBER,VC_HTF_DETV,2023-03-21
2019,,NUMBER,VC_HTF_DETV,2023-03-21
2020,,NUMBER,VC_HTF_DETV,2023-03-21
2019,,NUMBER,VC_HTF_DETVFL,2023-03-20
2020,,NUMBER,VC_HTF_DETVFL,2023-03-20
2019,,PER_100000_POP,VC_HTF_DETVFLR,2023-03-20
2020,,PER_100000_POP,VC_HTF_DETVFLR,2023-03-20
2018,,NUMBER,VC_HTF_DETVOG,2023-03-27
2020,,NUMBER,VC_HTF_DETVOG,2023-03-27
2018,,PER_100000_POP,VC_HTF_DETVOGR,2023-03-20
2020,,PER_100000_POP,VC_HTF_DETVOGR,2023-03-20
2020,,NUMBER,VC_HTF_DETVOP,2023-03-20
2020,,PER_100000_POP,VC_HTF_DETVOPR,2023-03-20
2017,,PER_100000_POP,VC_HTF_DETVR,2023-03-21
2018,,PER_100000_POP,VC_HTF_DETVR,2023-03-21
2019,,PER_100000_POP,VC_HTF_DETVR,2023-03-21
2020,,PER_100000_POP,VC_HTF_DETVR,2023-03-21
2020,,NUMBER,VC_HTF_DETVSX,2023-03-20
2020,,PER_100000_POP,VC_HTF_DETVSXR,2023-03-20
