Year,Value,SERIES
2000,0.02983,TX_EXP_GBMRCH
2001,0.01948,TX_EXP_GBMRCH
2002,0.03095,TX_EXP_GBMRCH
2003,0.022,TX_EXP_GBMRCH
2004,0.02046,TX_EXP_GBMRCH
2005,0.01761,TX_EXP_GBMRCH
2006,0.01649,TX_EXP_GBMRCH
2007,0.01712,TX_EXP_GBMRCH
2008,0.01362,TX_EXP_GBMRCH
2009,0.01807,TX_EXP_GBMRCH
2010,0.02091,TX_EXP_GBMRCH
2011,0.01916,TX_EXP_GBMRCH
2012,0.02098,TX_EXP_GBMRCH
2013,0.02063,TX_EXP_GBMRCH
2014,0.02035,TX_EXP_GBMRCH
2015,0.01962,TX_EXP_GBMRCH
2016,0.0208,TX_EXP_GBMRCH
2017,0.01962,TX_EXP_GBMRCH
2018,0.02075,TX_EXP_GBMRCH
2019,0.02245,TX_EXP_GBMRCH
2020,0.02491,TX_EXP_GBMRCH
2021,0.02703,TX_EXP_GBMRCH
2005,0.01347,TX_EXP_GBSVR
2006,0.01054,TX_EXP_GBSVR
2007,0.00755,TX_EXP_GBSVR
2008,0.00566,TX_EXP_GBSVR
2009,0.00671,TX_EXP_GBSVR
2010,0.00725,TX_EXP_GBSVR
2011,0.00766,TX_EXP_GBSVR
2012,0.0074,TX_EXP_GBSVR
2013,0.00723,TX_EXP_GBSVR
2014,0.00692,TX_EXP_GBSVR
2015,0.00772,TX_EXP_GBSVR
2016,0.00779,TX_EXP_GBSVR
2017,0.0086,TX_EXP_GBSVR
2018,0.0082,TX_EXP_GBSVR
2019,0.00959,TX_EXP_GBSVR
2020,0.0064,TX_EXP_GBSVR
2021,0.00396,TX_EXP_GBSVR
2000,0.028,TX_IMP_GBMRCH
2001,0.02675,TX_IMP_GBMRCH
2002,0.02628,TX_IMP_GBMRCH
2003,0.02198,TX_IMP_GBMRCH
2004,0.02325,TX_IMP_GBMRCH
2005,0.02177,TX_IMP_GBMRCH
2006,0.01721,TX_IMP_GBMRCH
2007,0.02236,TX_IMP_GBMRCH
2008,0.01166,TX_IMP_GBMRCH
2009,0.04505,TX_IMP_GBMRCH
2010,0.0346,TX_IMP_GBMRCH
2011,0.04328,TX_IMP_GBMRCH
2012,0.03718,TX_IMP_GBMRCH
2013,0.03804,TX_IMP_GBMRCH
2014,0.03184,TX_IMP_GBMRCH
2015,0.03616,TX_IMP_GBMRCH
2016,0.03292,TX_IMP_GBMRCH
2017,0.02817,TX_IMP_GBMRCH
2018,0.03224,TX_IMP_GBMRCH
2019,0.02491,TX_IMP_GBMRCH
2020,0.02798,TX_IMP_GBMRCH
2021,0.03182,TX_IMP_GBMRCH
2005,0.0242,TX_IMP_GBSVR
2006,0.01825,TX_IMP_GBSVR
2007,0.016,TX_IMP_GBSVR
2008,0.01388,TX_IMP_GBSVR
2009,0.02618,TX_IMP_GBSVR
2010,0.03506,TX_IMP_GBSVR
2011,0.04201,TX_IMP_GBSVR
2012,0.03963,TX_IMP_GBSVR
2013,0.04006,TX_IMP_GBSVR
2014,0.03792,TX_IMP_GBSVR
2015,0.03109,TX_IMP_GBSVR
2016,0.02563,TX_IMP_GBSVR
2017,0.02118,TX_IMP_GBSVR
2018,0.01763,TX_IMP_GBSVR
2019,0.01507,TX_IMP_GBSVR
2020,0.01568,TX_IMP_GBSVR
2021,0.01681,TX_IMP_GBSVR
