Year,Value,UNIT_MEASURE,SERIES
2000,5.20171,T,EN_MAT_DOMCMPC
2001,5.31837,T,EN_MAT_DOMCMPC
2002,5.15987,T,EN_MAT_DOMCMPC
2003,4.65885,T,EN_MAT_DOMCMPC
2004,5.11767,T,EN_MAT_DOMCMPC
2005,4.52078,T,EN_MAT_DOMCMPC
2006,4.57574,T,EN_MAT_DOMCMPC
2007,3.948,T,EN_MAT_DOMCMPC
2008,3.35196,T,EN_MAT_DOMCMPC
2009,3.71108,T,EN_MAT_DOMCMPC
2010,4.43948,T,EN_MAT_DOMCMPC
2011,5.12884,T,EN_MAT_DOMCMPC
2012,5.6462,T,EN_MAT_DOMCMPC
2013,5.38676,T,EN_MAT_DOMCMPC
2014,5.28491,T,EN_MAT_DOMCMPC
2015,5.26568,T,EN_MAT_DOMCMPC
2016,5.29924,T,EN_MAT_DOMCMPC
2017,5.39747,T,EN_MAT_DOMCMPC
2018,5.76186,T,EN_MAT_DOMCMPC
2019,5.7551,T,EN_MAT_DOMCMPC
2000,5.96832,KG_PER_CON_USD,EN_MAT_DOMCMPG
2001,6.13584,KG_PER_CON_USD,EN_MAT_DOMCMPG
2002,6.34498,KG_PER_CON_USD,EN_MAT_DOMCMPG
2003,6.2053,KG_PER_CON_USD,EN_MAT_DOMCMPG
2004,7.09635,KG_PER_CON_USD,EN_MAT_DOMCMPG
2005,6.56503,KG_PER_CON_USD,EN_MAT_DOMCMPG
2006,6.9397,KG_PER_CON_USD,EN_MAT_DOMCMPG
2007,6.24104,KG_PER_CON_USD,EN_MAT_DOMCMPG
2008,5.61867,KG_PER_CON_USD,EN_MAT_DOMCMPG
2009,3.94572,KG_PER_CON_USD,EN_MAT_DOMCMPG
2010,3.99792,KG_PER_CON_USD,EN_MAT_DOMCMPG
2011,4.10725,KG_PER_CON_USD,EN_MAT_DOMCMPG
2012,3.94203,KG_PER_CON_USD,EN_MAT_DOMCMPG
2013,3.75368,KG_PER_CON_USD,EN_MAT_DOMCMPG
2014,3.66088,KG_PER_CON_USD,EN_MAT_DOMCMPG
2015,3.64389,KG_PER_CON_USD,EN_MAT_DOMCMPG
2016,3.69643,KG_PER_CON_USD,EN_MAT_DOMCMPG
2017,3.64867,KG_PER_CON_USD,EN_MAT_DOMCMPG
2018,3.76832,KG_PER_CON_USD,EN_MAT_DOMCMPG
2019,4.15427,KG_PER_CON_USD,EN_MAT_DOMCMPG
2000,61803969.47468,T,EN_MAT_DOMCMPT
2001,63415730.98425,T,EN_MAT_DOMCMPT
2002,61682542.53734,T,EN_MAT_DOMCMPT
2003,55823334.4678,T,EN_MAT_DOMCMPT
2004,61513908.84728,T,EN_MAT_DOMCMPT
2005,54596049.15041,T,EN_MAT_DOMCMPT
2006,55620332.32121,T,EN_MAT_DOMCMPT
2007,48386420.77525,T,EN_MAT_DOMCMPT
2008,41495754.13634,T,EN_MAT_DOMCMPT
2009,46488545.90333,T,EN_MAT_DOMCMPT
2010,56371267.71768,T,EN_MAT_DOMCMPT
2011,66132886.90696,T,EN_MAT_DOMCMPT
2012,74050706.46381,T,EN_MAT_DOMCMPT
2013,71915267.93258,T,EN_MAT_DOMCMPT
2014,71804579.17298,T,EN_MAT_DOMCMPT
2015,72743447.22532,T,EN_MAT_DOMCMPT
2016,74350140.88358,T,EN_MAT_DOMCMPT
2017,76841586.54233,T,EN_MAT_DOMCMPT
2018,83194372.15067,T,EN_MAT_DOMCMPT
2019,84286171.7571,T,EN_MAT_DOMCMPT
