Year,Value,SERIES
2019,910.32523,DC_OSSD_GRT
2020,998.53363,DC_OSSD_GRT
2021,1111.66085,DC_OSSD_GRT
2016,4.32826,DC_OSSD_MPF
2018,77.09451,DC_OSSD_MPF
2019,0.6821,DC_OSSD_MPF
2020,34.93646,DC_OSSD_MPF
2021,10.20014,DC_OSSD_MPF
2019,0.0,DC_OSSD_OFFCL
2020,5.65745,DC_OSSD_OFFCL
2021,8.37868,DC_OSSD_OFFCL
2019,0.0,DC_OSSD_OFFNL
2020,0.0,DC_OSSD_OFFNL
2021,32.82257,DC_OSSD_OFFNL
2016,10.48399,DC_OSSD_PRVGRT
2017,21.19383,DC_OSSD_PRVGRT
2018,19.75925,DC_OSSD_PRVGRT
2019,15.65442,DC_OSSD_PRVGRT
2020,18.57818,DC_OSSD_PRVGRT
2021,17.0849,DC_OSSD_PRVGRT
