Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
2000,0.04,CON_USD,EG_IFF_RANDN,2023-05-15
2001,0.29,CON_USD,EG_IFF_RANDN,2023-05-15
2002,0.0,CON_USD,EG_IFF_RANDN,2023-05-15
2003,0.01,CON_USD,EG_IFF_RANDN,2023-05-15
2004,0.0,CON_USD,EG_IFF_RANDN,2023-05-15
2005,0.52,CON_USD,EG_IFF_RANDN,2023-05-15
2006,0.0,CON_USD,EG_IFF_RANDN,2023-05-15
2007,0.0,CON_USD,EG_IFF_RANDN,2023-05-15
2008,0.0,CON_USD,EG_IFF_RANDN,2023-05-15
2009,0.02,CON_USD,EG_IFF_RANDN,2023-05-15
2010,0.0,CON_USD,EG_IFF_RANDN,2023-05-15
2011,1.08,CON_USD,EG_IFF_RANDN,2023-05-15
2012,0.0,CON_USD,EG_IFF_RANDN,2023-05-15
2013,315.41,CON_USD,EG_IFF_RANDN,2023-05-15
2014,18.62,CON_USD,EG_IFF_RANDN,2023-05-15
2015,0.0,CON_USD,EG_IFF_RANDN,2023-05-15
2016,0.03,CON_USD,EG_IFF_RANDN,2023-05-15
2017,5.8,CON_USD,EG_IFF_RANDN,2023-05-15
2018,0.01,CON_USD,EG_IFF_RANDN,2023-05-15
2019,0.26,CON_USD,EG_IFF_RANDN,2023-05-15
2020,0.06,CON_USD,EG_IFF_RANDN,2023-05-15
2021,0.01,CON_USD,EG_IFF_RANDN,2023-05-15
