Year,Value,UNIT_MEASURE,SERIES
2006,-4.8268,PT,EN_LKRV_PWAC
2007,-5.87491,PT,EN_LKRV_PWAC
2008,-6.5012,PT,EN_LKRV_PWAC
2009,-4.53908,PT,EN_LKRV_PWAC
2010,-4.30496,PT,EN_LKRV_PWAC
2011,-1.82635,PT,EN_LKRV_PWAC
2012,-1.36656,PT,EN_LKRV_PWAC
2013,-1.0886,PT,EN_LKRV_PWAC
2014,-1.95859,PT,EN_LKRV_PWAC
2015,-1.40099,PT,EN_LKRV_PWAC
2016,-0.5573,PT,EN_LKRV_PWAC
2017,-3.15319,PT,EN_LKRV_PWAC
2018,0.48525,PT,EN_LKRV_PWAC
2019,1.78614,PT,EN_LKRV_PWAC
2020,-1.33909,PT,EN_LKRV_PWAC
2021,-5.68534,PT,EN_LKRV_PWAC
2022,-2.8381,PT,EN_LKRV_PWAC
2000,322.65104,KM2,EN_LKRV_PWAN
2001,369.81386,KM2,EN_LKRV_PWAN
2002,416.48283,KM2,EN_LKRV_PWAN
2003,419.28518,KM2,EN_LKRV_PWAN
2004,419.82847,KM2,EN_LKRV_PWAN
2005,418.15673,KM2,EN_LKRV_PWAN
2006,397.97315,KM2,EN_LKRV_PWAN
2007,393.59042,KM2,EN_LKRV_PWAN
2008,390.97153,KM2,EN_LKRV_PWAN
2009,399.17625,KM2,EN_LKRV_PWAN
2010,400.15527,KM2,EN_LKRV_PWAN
2011,410.51973,KM2,EN_LKRV_PWAN
2012,412.44238,KM2,EN_LKRV_PWAN
2013,413.60468,KM2,EN_LKRV_PWAN
2014,409.96677,KM2,EN_LKRV_PWAN
2015,412.29841,KM2,EN_LKRV_PWAN
2016,415.82635,KM2,EN_LKRV_PWAN
2017,404.97148,KM2,EN_LKRV_PWAN
2018,420.18584,KM2,EN_LKRV_PWAN
2019,425.62558,KM2,EN_LKRV_PWAN
2020,412.55722,KM2,EN_LKRV_PWAN
2021,394.38311,KM2,EN_LKRV_PWAN
2022,406.28901,KM2,EN_LKRV_PWAN
2000,0.00083,PT,EN_LKRV_PWAP
2001,0.00096,PT,EN_LKRV_PWAP
2002,0.00108,PT,EN_LKRV_PWAP
2003,0.00108,PT,EN_LKRV_PWAP
2004,0.00109,PT,EN_LKRV_PWAP
2005,0.00108,PT,EN_LKRV_PWAP
2006,0.00103,PT,EN_LKRV_PWAP
2007,0.00102,PT,EN_LKRV_PWAP
2008,0.00101,PT,EN_LKRV_PWAP
2009,0.00103,PT,EN_LKRV_PWAP
2010,0.00103,PT,EN_LKRV_PWAP
2011,0.00106,PT,EN_LKRV_PWAP
2012,0.00107,PT,EN_LKRV_PWAP
2013,0.00107,PT,EN_LKRV_PWAP
2014,0.00106,PT,EN_LKRV_PWAP
