Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
2000,14.83,PT,NV_IND_MANF,2023-05-22
2001,13.9,PT,NV_IND_MANF,2023-05-22
2002,13.26,PT,NV_IND_MANF,2023-05-22
2003,13.2,PT,NV_IND_MANF,2023-05-22
2004,12.49,PT,NV_IND_MANF,2023-05-22
2005,13.41,PT,NV_IND_MANF,2023-05-22
2006,13.48,PT,NV_IND_MANF,2023-05-22
2007,13.23,PT,NV_IND_MANF,2023-05-22
2008,12.95,PT,NV_IND_MANF,2023-05-22
2009,10.26,PT,NV_IND_MANF,2023-05-22
2010,14.85,PT,NV_IND_MANF,2023-05-22
2011,14.8,PT,NV_IND_MANF,2023-05-22
2012,13.37,PT,NV_IND_MANF,2023-05-22
2013,13.03,PT,NV_IND_MANF,2023-05-22
2014,12.08,PT,NV_IND_MANF,2023-05-22
2015,11.89,PT,NV_IND_MANF,2023-05-22
2016,11.86,PT,NV_IND_MANF,2023-05-22
2017,11.48,PT,NV_IND_MANF,2023-05-22
2018,11.12,PT,NV_IND_MANF,2023-05-22
2019,10.56,PT,NV_IND_MANF,2023-05-22
2020,9.09,PT,NV_IND_MANF,2023-05-22
2021,8.65,PT,NV_IND_MANF,2023-05-22
2022,8.32,PT,NV_IND_MANF,2023-05-22
2000,11.37,PT,NV_IND_MANF_CD,2023-05-22
2001,10.83,PT,NV_IND_MANF_CD,2023-05-22
2002,9.04,PT,NV_IND_MANF_CD,2023-05-22
2003,11.14,PT,NV_IND_MANF_CD,2023-05-22
2004,10.86,PT,NV_IND_MANF_CD,2023-05-22
2005,5.03,PT,NV_IND_MANF_CD,2023-05-22
2006,22.9,PT,NV_IND_MANF_CD,2023-05-22
2007,6.45,PT,NV_IND_MANF_CD,2023-05-22
2008,10.03,PT,NV_IND_MANF_CD,2023-05-22
2009,11.03,PT,NV_IND_MANF_CD,2023-05-22
2010,9.21,PT,NV_IND_MANF_CD,2023-05-22
2011,9.17,PT,NV_IND_MANF_CD,2023-05-22
2012,14.04,PT,NV_IND_MANF_CD,2023-05-22
2013,12.92,PT,NV_IND_MANF_CD,2023-05-22
2014,12.59,PT,NV_IND_MANF_CD,2023-05-22
2015,11.89,PT,NV_IND_MANF_CD,2023-05-22
2016,11.6,PT,NV_IND_MANF_CD,2023-05-22
2017,14.03,PT,NV_IND_MANF_CD,2023-05-22
2018,13.68,PT,NV_IND_MANF_CD,2023-05-22
2019,14.22,PT,NV_IND_MANF_CD,2023-05-22
2020,15.7,PT,NV_IND_MANF_CD,2023-05-22
2021,12.44,PT,NV_IND_MANF_CD,2023-05-22
2000,129.73,CON_USD,NV_IND_MANFPC,2023-05-22
2001,120.61,CON_USD,NV_IND_MANFPC,2023-05-22
2002,107.57,CON_USD,NV_IND_MANFPC,2023-05-22
2003,98.3,CON_USD,NV_IND_MANFPC,2023-05-22
2004,89.04,CON_USD,NV_IND_MANFPC,2023-05-22
2005,91.22,CON_USD,NV_IND_MANFPC,2023-05-22
2006,87.6,CON_USD,NV_IND_MANFPC,2023-05-22
2007,82.36,CON_USD,NV_IND_MANFPC,2023-05-22
2008,76.21,CON_USD,NV_IND_MANFPC,2023-05-22
2009,95.33,CON_USD,NV_IND_MANFPC,2023-05-22
2010,163.04,CON_USD,NV_IND_MANFPC,2023-05-22
2011,182.97,CON_USD,NV_IND_MANFPC,2023-05-22
2012,189.27,CON_USD,NV_IND_MANFPC,2023-05-22
2013,184.11,CON_USD,NV_IND_MANFPC,2023-05-22
2014,170.95,CON_USD,NV_IND_MANFPC,2023-05-22
2015,167.67,CON_USD,NV_IND_MANFPC,2023-05-22
2016,165.13,CON_USD,NV_IND_MANFPC,2023-05-22
2017,163.89,CON_USD,NV_IND_MANFPC,2023-05-22
2018,162.84,CON_USD,NV_IND_MANFPC,2023-05-22
2019,142.39,CON_USD,NV_IND_MANFPC,2023-05-22
2020,113.72,CON_USD,NV_IND_MANFPC,2023-05-22
2021,112.75,CON_USD,NV_IND_MANFPC,2023-05-22
2022,109.53,CON_USD,NV_IND_MANFPC,2023-05-22
2004,5.9,PT,SL_TLF_MANF,2023-03-13
2011,5.0,PT,SL_TLF_MANF,2023-03-13
2014,4.03,PT,SL_TLF_MANF,2023-03-13
2019,4.41,PT,SL_TLF_MANF,2023-03-13
2019,7.55,PT,SL_TLF_MANF_19ICLS,2023-03-13
