Year,Value,UNIT_MEASURE,SERIES
2000,96.2,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2001,94.5,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2002,93.4,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2003,92.6,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2004,92.9,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2005,93.7,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2006,95.6,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2007,96.2,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2008,94.7,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2009,91.3,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2010,86.1,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2011,80.6,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2012,72.1,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2013,66.2,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2014,62.6,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2015,60.5,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2016,57.9,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2017,56.2,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2018,53.7,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2019,52.7,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2020,51.8,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2021,49.5,PER_1000_LIVE_BIRTHS,SH_DYN_MORT
2000,38609.0,NUMBER,SH_DYN_MORTN
2001,38957.0,NUMBER,SH_DYN_MORTN
2002,39267.0,NUMBER,SH_DYN_MORTN
2003,39471.0,NUMBER,SH_DYN_MORTN
2004,39904.0,NUMBER,SH_DYN_MORTN
2005,40260.0,NUMBER,SH_DYN_MORTN
2006,40957.0,NUMBER,SH_DYN_MORTN
2007,41357.0,NUMBER,SH_DYN_MORTN
2008,41268.0,NUMBER,SH_DYN_MORTN
2009,40704.0,NUMBER,SH_DYN_MORTN
2010,39366.0,NUMBER,SH_DYN_MORTN
2011,37698.0,NUMBER,SH_DYN_MORTN
2012,34323.0,NUMBER,SH_DYN_MORTN
2013,31928.0,NUMBER,SH_DYN_MORTN
2014,30323.0,NUMBER,SH_DYN_MORTN
2015,29164.0,NUMBER,SH_DYN_MORTN
2016,27784.0,NUMBER,SH_DYN_MORTN
2017,26931.0,NUMBER,SH_DYN_MORTN
2018,25764.0,NUMBER,SH_DYN_MORTN
2019,25332.0,NUMBER,SH_DYN_MORTN
2020,24956.0,NUMBER,SH_DYN_MORTN
2021,23960.0,NUMBER,SH_DYN_MORTN
