Year,SERIES,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,DATA_LAST_UPDATE,Value
2000,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.01395
2001,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.01972
2002,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.02662
2003,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.03353
2004,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.03922
2005,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.0312
2006,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.05178
2007,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.05639
2008,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.06092
2009,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.09031
2010,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.05137
2011,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.06987
2012,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.07503
2013,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.0742
2014,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.08302
2015,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.02679
2016,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.07883
2017,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.0796
2018,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.07933
2019,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.05747
2020,SE_AGP_CPRA,,,,,ISCED11_1,,2023-02-28,1.08102
2000,SE_AGP_CPRA,,,,,ISCED11_2,,2023-02-28,0.90547
