Year,SERIES,UNIT_MEASURE,Value
2000,AG_LND_FRST,PT,47.48
2010,AG_LND_FRST,PT,46.28
2015,AG_LND_FRST,PT,45.69
2016,AG_LND_FRST,PT,45.57
2017,AG_LND_FRST,PT,45.45
2018,AG_LND_FRST,PT,45.33
2019,AG_LND_FRST,PT,45.21
2020,AG_LND_FRST,PT,45.09
2000,AG_LND_FRSTCERT,HA,56.46
2005,AG_LND_FRSTCERT,HA,104.04
2010,AG_LND_FRSTCERT,HA,0.0
2015,AG_LND_FRSTCERT,HA,0.0
2016,AG_LND_FRSTCERT,HA,0.0
2017,AG_LND_FRSTCERT,HA,0.0
2018,AG_LND_FRSTCERT,HA,0.0
2019,AG_LND_FRSTCERT,HA,0.0
2020,AG_LND_FRSTCERT,HA,0.0
2021,AG_LND_FRSTCERT,HA,0.0
2022,AG_LND_FRSTCERT,HA,20.0
2000,AG_LND_FRSTN,HA,18365.98
2010,AG_LND_FRSTN,HA,17905.28
2015,AG_LND_FRSTN,HA,17674.93
2016,AG_LND_FRSTN,HA,17628.86
2017,AG_LND_FRSTN,HA,17582.79
2018,AG_LND_FRSTN,HA,17536.72
2019,AG_LND_FRSTN,HA,17490.65
2020,AG_LND_FRSTN,HA,17444.58
