Year,SERIES,UNIT_MEASURE,Value
2000,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,27.6
2001,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,28.6
2002,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,29.9
2003,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,31.1
2004,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,32.0
2005,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,32.6
2006,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,33.0
2007,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,33.3
2008,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,33.4
2009,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,32.9
2010,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,32.1
2011,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,31.1
2012,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,30.1
2013,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,29.2
2014,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,28.5
2015,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,27.9
2016,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,27.5
2017,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,27.1
2018,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,26.6
2019,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,26.1
2020,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,25.5
2021,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,25.0
2000,SH_DYN_NMRTN,NUMBER,11683.0
2001,SH_DYN_NMRTN,NUMBER,12331.0
2002,SH_DYN_NMRTN,NUMBER,12957.0
2003,SH_DYN_NMRTN,NUMBER,13535.0
2004,SH_DYN_NMRTN,NUMBER,13866.0
2005,SH_DYN_NMRTN,NUMBER,14010.0
2006,SH_DYN_NMRTN,NUMBER,14091.0
2007,SH_DYN_NMRTN,NUMBER,14522.0
2008,SH_DYN_NMRTN,NUMBER,14965.0
2009,SH_DYN_NMRTN,NUMBER,15402.0
2010,SH_DYN_NMRTN,NUMBER,15338.0
2011,SH_DYN_NMRTN,NUMBER,15118.0
2012,SH_DYN_NMRTN,NUMBER,14709.0
2013,SH_DYN_NMRTN,NUMBER,14371.0
2014,SH_DYN_NMRTN,NUMBER,13887.0
2015,SH_DYN_NMRTN,NUMBER,13452.0
2016,SH_DYN_NMRTN,NUMBER,13191.0
2017,SH_DYN_NMRTN,NUMBER,12999.0
2018,SH_DYN_NMRTN,NUMBER,12874.0
2019,SH_DYN_NMRTN,NUMBER,12638.0
2020,SH_DYN_NMRTN,NUMBER,12421.0
2021,SH_DYN_NMRTN,NUMBER,12211.0
