Year,SERIES,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,Value
2019,SH_AAP_ASMORT,,,PER_100000_POP,2023-06-15,56.0
2019,SH_HAP_ASMORT,,,PER_100000_POP,2023-06-15,155.0
2000,SH_PRV_SMOK,,Y_GE15,PT,2022-04-07,21.0
2005,SH_PRV_SMOK,,Y_GE15,PT,2022-04-07,18.1
2010,SH_PRV_SMOK,,Y_GE15,PT,2022-04-07,15.6
2015,SH_PRV_SMOK,,Y_GE15,PT,2022-04-07,13.6
2018,SH_PRV_SMOK,,Y_GE15,PT,2022-04-07,12.1
2019,SH_PRV_SMOK,,Y_GE15,PT,2022-04-07,12.1
2020,SH_PRV_SMOK,,Y_GE15,PT,2022-04-07,11.7
2000,SH_PRV_SMOK,F,Y_GE15,PT,2022-04-07,4.6
2005,SH_PRV_SMOK,F,Y_GE15,PT,2022-04-07,3.5
2010,SH_PRV_SMOK,F,Y_GE15,PT,2022-04-07,2.6
2015,SH_PRV_SMOK,F,Y_GE15,PT,2022-04-07,2.0
2018,SH_PRV_SMOK,F,Y_GE15,PT,2022-04-07,1.7
2019,SH_PRV_SMOK,F,Y_GE15,PT,2022-04-07,1.6
2020,SH_PRV_SMOK,F,Y_GE15,PT,2022-04-07,1.5
2000,SH_PRV_SMOK,M,Y_GE15,PT,2022-04-07,37.3
2005,SH_PRV_SMOK,M,Y_GE15,PT,2022-04-07,32.7
2010,SH_PRV_SMOK,M,Y_GE15,PT,2022-04-07,28.6
2015,SH_PRV_SMOK,M,Y_GE15,PT,2022-04-07,25.1
2018,SH_PRV_SMOK,M,Y_GE15,PT,2022-04-07,23.0
2019,SH_PRV_SMOK,M,Y_GE15,PT,2022-04-07,22.5
2020,SH_PRV_SMOK,M,Y_GE15,PT,2022-04-07,21.8
2019,SH_STA_ASAIRP,,,PER_100000_POP,2023-06-15,190.0
