Year,SERIES,Value
2000,SH_STA_STNTN,588.5
2001,SH_STA_STNTN,612.0
2002,SH_STA_STNTN,635.7
2003,SH_STA_STNTN,656.7
2004,SH_STA_STNTN,672.0
2005,SH_STA_STNTN,681.0
2006,SH_STA_STNTN,685.2
2007,SH_STA_STNTN,683.7
2008,SH_STA_STNTN,681.5
2009,SH_STA_STNTN,680.1
2010,SH_STA_STNTN,678.9
2011,SH_STA_STNTN,675.4
2012,SH_STA_STNTN,667.4
2013,SH_STA_STNTN,654.7
2014,SH_STA_STNTN,635.1
2015,SH_STA_STNTN,611.8
2016,SH_STA_STNTN,586.5
2017,SH_STA_STNTN,563.2
2018,SH_STA_STNTN,543.2
2019,SH_STA_STNTN,528.1
2020,SH_STA_STNTN,514.7
2021,SH_STA_STNTN,505.9
2022,SH_STA_STNTN,500.5
2005,SH_STA_WASTN,141.4
2009,SH_STA_WASTN,48.4
2010,SH_STA_WASTN,64.0
2014,SH_STA_WASTN,73.2
2015,SH_STA_WASTN,75.1
2019,SH_STA_WASTN,65.6
2000,SN_STA_OVWGTN,149.8
2001,SN_STA_OVWGTN,150.0
2002,SN_STA_OVWGTN,148.2
2003,SN_STA_OVWGTN,144.8
2004,SN_STA_OVWGTN,139.8
2005,SN_STA_OVWGTN,133.5
2006,SN_STA_OVWGTN,127.1
2007,SN_STA_OVWGTN,120.8
2008,SN_STA_OVWGTN,114.7
2009,SN_STA_OVWGTN,109.2
2010,SN_STA_OVWGTN,104.5
2011,SN_STA_OVWGTN,100.8
2012,SN_STA_OVWGTN,98.0
2013,SN_STA_OVWGTN,95.5
2014,SN_STA_OVWGTN,92.8
2015,SN_STA_OVWGTN,89.1
2016,SN_STA_OVWGTN,84.9
2017,SN_STA_OVWGTN,80.2
2018,SN_STA_OVWGTN,75.5
2019,SN_STA_OVWGTN,71.1
2020,SN_STA_OVWGTN,67.6
2021,SN_STA_OVWGTN,64.6
2022,SN_STA_OVWGTN,62.1
