Year,SERIES,UNIT_MEASURE,DATA_LAST_UPDATE,Value
1977,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,0.0255
1978,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,1.23954
1979,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-1.0899
1980,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-2.23444
1981,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-6.8084
1982,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-7.39398
1983,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-5.11873
1984,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-0.67439
1985,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-1.13688
1986,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,0.26951
1987,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,0.85917
1988,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,1.60118
1989,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,0.2041
1990,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-1.5902
1991,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-5.28175
1992,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-8.93125
1993,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-1.76159
1994,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-6.15945
2009,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-7.55726
2010,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-13.74716
2011,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-19.49747
2012,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-13.30762
2013,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-13.87438
2014,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-11.97115
2015,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-7.9981
2016,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-3.39414
2017,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-1.54218
2018,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,-4.03918
2019,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,4.21611
2020,BN_CAB_XOKA_GD_ZS,PT,2023-03-10,5.09658
2021,SG_GEN_PARLNT,NUMBER,2023-03-03,270.0
2022,SG_GEN_PARLNT,NUMBER,2023-03-03,265.0
2023,SG_GEN_PARLNT,NUMBER,2023-03-03,265.0
