Year,SERIES,Value
2000,TX_EXP_GBMRCH,0.02983
2001,TX_EXP_GBMRCH,0.01948
2002,TX_EXP_GBMRCH,0.03095
2003,TX_EXP_GBMRCH,0.022
2004,TX_EXP_GBMRCH,0.02046
2005,TX_EXP_GBMRCH,0.01761
2006,TX_EXP_GBMRCH,0.01649
2007,TX_EXP_GBMRCH,0.01712
2008,TX_EXP_GBMRCH,0.01362
2009,TX_EXP_GBMRCH,0.01807
2010,TX_EXP_GBMRCH,0.02091
2011,TX_EXP_GBMRCH,0.01916
2012,TX_EXP_GBMRCH,0.02098
2013,TX_EXP_GBMRCH,0.02063
2014,TX_EXP_GBMRCH,0.02035
2015,TX_EXP_GBMRCH,0.01962
2016,TX_EXP_GBMRCH,0.0208
2017,TX_EXP_GBMRCH,0.01962
2018,TX_EXP_GBMRCH,0.02075
2019,TX_EXP_GBMRCH,0.02245
2020,TX_EXP_GBMRCH,0.02491
2021,TX_EXP_GBMRCH,0.02703
2005,TX_EXP_GBSVR,0.01347
2006,TX_EXP_GBSVR,0.01054
2007,TX_EXP_GBSVR,0.00755
2008,TX_EXP_GBSVR,0.00566
2009,TX_EXP_GBSVR,0.00671
2010,TX_EXP_GBSVR,0.00725
2011,TX_EXP_GBSVR,0.00766
2012,TX_EXP_GBSVR,0.0074
2013,TX_EXP_GBSVR,0.00723
2014,TX_EXP_GBSVR,0.00692
2015,TX_EXP_GBSVR,0.00772
2016,TX_EXP_GBSVR,0.00779
2017,TX_EXP_GBSVR,0.0086
2018,TX_EXP_GBSVR,0.0082
2019,TX_EXP_GBSVR,0.00959
2020,TX_EXP_GBSVR,0.0064
2021,TX_EXP_GBSVR,0.00396
2000,TX_IMP_GBMRCH,0.028
2001,TX_IMP_GBMRCH,0.02675
2002,TX_IMP_GBMRCH,0.02628
2003,TX_IMP_GBMRCH,0.02198
2004,TX_IMP_GBMRCH,0.02325
2005,TX_IMP_GBMRCH,0.02177
2006,TX_IMP_GBMRCH,0.01721
2007,TX_IMP_GBMRCH,0.02236
2008,TX_IMP_GBMRCH,0.01166
2009,TX_IMP_GBMRCH,0.04505
2010,TX_IMP_GBMRCH,0.0346
2011,TX_IMP_GBMRCH,0.04328
2012,TX_IMP_GBMRCH,0.03718
2013,TX_IMP_GBMRCH,0.03804
2014,TX_IMP_GBMRCH,0.03184
2015,TX_IMP_GBMRCH,0.03616
2016,TX_IMP_GBMRCH,0.03292
2017,TX_IMP_GBMRCH,0.02817
2018,TX_IMP_GBMRCH,0.03224
2019,TX_IMP_GBMRCH,0.02491
2020,TX_IMP_GBMRCH,0.02798
2021,TX_IMP_GBMRCH,0.03182
2005,TX_IMP_GBSVR,0.0242
2006,TX_IMP_GBSVR,0.01825
2007,TX_IMP_GBSVR,0.016
2008,TX_IMP_GBSVR,0.01388
2009,TX_IMP_GBSVR,0.02618
2010,TX_IMP_GBSVR,0.03506
2011,TX_IMP_GBSVR,0.04201
2012,TX_IMP_GBSVR,0.03963
2013,TX_IMP_GBSVR,0.04006
2014,TX_IMP_GBSVR,0.03792
2015,TX_IMP_GBSVR,0.03109
2016,TX_IMP_GBSVR,0.02563
2017,TX_IMP_GBSVR,0.02118
2018,TX_IMP_GBSVR,0.01763
2019,TX_IMP_GBSVR,0.01507
2020,TX_IMP_GBSVR,0.01568
2021,TX_IMP_GBSVR,0.01681
