Year,Value
1970,12.47111
1971,11.10151
1972,8.28048
1973,6.6491
1974,5.53328
1975,4.33708
1976,3.38958
1977,4.65013
1978,10.39258
1979,10.96776
1980,12.03111
1981,15.98518
1982,22.54508
1983,29.07589
1984,35.16511
1985,44.11256
1986,43.85764
1987,44.74686
1988,36.05323
1989,35.35624
1990,38.97297
1991,42.16448
1992,64.44859
1993,68.32719
1994,69.23637
1995,74.87476
1996,61.66368
1997,61.11235
1998,77.87976
1999,68.00744
2000,61.98615
2001,57.98255
2002,66.72016
2003,84.96292
2004,91.0885
2005,82.79718
2006,97.59782
2007,118.03706
2008,146.52155
2009,64.58119
2010,56.87092
2011,53.33506
2012,52.83419
2013,44.7765
2014,43.63661
2015,49.2313
2016,56.90023
2017,72.431
2018,70.87305
2019,64.81088
2020,73.03689
2021,53.74667
