Year,SERIES,UNIT_MEASURE,DATA_LAST_UPDATE,Value
1970,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.99087
1971,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,1.00243
1972,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.87724
1973,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.92133
1974,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.83748
1975,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.66044
1976,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.67363
1977,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,-0.08742
1978,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.05789
1979,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.00284
1980,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.0232
1981,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.04426
1982,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,-0.00985
1983,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,-0.02672
1984,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,-0.03917
1985,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.05053
1986,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.11974
1987,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,-0.45254
1988,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,-0.23076
1989,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,-0.12286
1990,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,-0.13896
1991,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.03229
1992,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.22143
1993,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.4259
1994,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.50284
1995,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,1.65512
1996,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.94585
1997,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,1.5839
1998,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,6.94005
1999,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.86031
2000,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.34679
2001,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.05607
2002,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.40838
2003,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.06635
2004,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.14986
2005,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,1.78621
2006,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,0.73477
2007,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,1.30198
2008,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,1.16856
2009,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,1.08631
2010,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,1.01802
2011,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,2.44151
2012,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,2.04413
2013,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,1.95406
2014,BX_KLT_DINV_WD_GD_ZS,PT,2023-03-10,2.42517
