Year,SERIES,PRODUCT,Value
2010,AG_FPA_CFPI,,-14.87
2011,AG_FPA_CFPI,,0.4
2012,AG_FPA_CFPI,,0.42
2013,AG_FPA_CFPI,,-0.2
2014,AG_FPA_CFPI,,-0.88
2015,AG_FPA_CFPI,,-0.16
2016,AG_FPA_CFPI,,-0.21
2017,AG_FPA_CFPI,,1.04
2018,AG_FPA_CFPI,,1.74
2019,AG_FPA_CFPI,,6.59
2020,AG_FPA_CFPI,,1.2
2021,AG_FPA_CFPI,,0.23
2022,AG_FPA_CFPI,,
2015,AG_FPA_COMM,CPC2_1_111,0.2
2016,AG_FPA_COMM,CPC2_1_111,1.1
2017,AG_FPA_COMM,CPC2_1_111,0.7
2018,AG_FPA_COMM,CPC2_1_111,0.3
2019,AG_FPA_COMM,CPC2_1_111,9.1
2020,AG_FPA_COMM,CPC2_1_111,
2021,AG_FPA_COMM,CPC2_1_111,
2022,AG_FPA_COMM,CPC2_1_111,
2015,AG_FPA_COMM,CPC2_1_112,0.1
2016,AG_FPA_COMM,CPC2_1_112,0.4
2017,AG_FPA_COMM,CPC2_1_112,-1.22
2018,AG_FPA_COMM,CPC2_1_112,0.21
2019,AG_FPA_COMM,CPC2_1_112,1.08
2020,AG_FPA_COMM,CPC2_1_112,2.43
2021,AG_FPA_COMM,CPC2_1_112,-0.77
2022,AG_FPA_COMM,CPC2_1_112,0.68
2015,AG_FPA_COMM,CPC2_1_113,-0.4
2016,AG_FPA_COMM,CPC2_1_113,-0.5
2017,AG_FPA_COMM,CPC2_1_113,2.7
2018,AG_FPA_COMM,CPC2_1_113,2.0
2019,AG_FPA_COMM,CPC2_1_113,3.4
2020,AG_FPA_COMM,CPC2_1_113,
2021,AG_FPA_COMM,CPC2_1_113,
2022,AG_FPA_COMM,CPC2_1_113,
