Year,SERIES,UNIT_MEASURE,Value
2006,EN_LKRV_PWAC,PT,-4.8268
2007,EN_LKRV_PWAC,PT,-5.87491
2008,EN_LKRV_PWAC,PT,-6.5012
2009,EN_LKRV_PWAC,PT,-4.53908
2010,EN_LKRV_PWAC,PT,-4.30496
2011,EN_LKRV_PWAC,PT,-1.82635
2012,EN_LKRV_PWAC,PT,-1.36656
2013,EN_LKRV_PWAC,PT,-1.0886
2014,EN_LKRV_PWAC,PT,-1.95859
2015,EN_LKRV_PWAC,PT,-1.40099
2016,EN_LKRV_PWAC,PT,-0.5573
2017,EN_LKRV_PWAC,PT,-3.15319
2018,EN_LKRV_PWAC,PT,0.48525
2019,EN_LKRV_PWAC,PT,1.78614
2020,EN_LKRV_PWAC,PT,-1.33909
2021,EN_LKRV_PWAC,PT,-5.68534
2022,EN_LKRV_PWAC,PT,-2.8381
2000,EN_LKRV_PWAN,KM2,322.65104
2001,EN_LKRV_PWAN,KM2,369.81386
2002,EN_LKRV_PWAN,KM2,416.48283
2003,EN_LKRV_PWAN,KM2,419.28518
2004,EN_LKRV_PWAN,KM2,419.82847
2005,EN_LKRV_PWAN,KM2,418.15673
2006,EN_LKRV_PWAN,KM2,397.97315
2007,EN_LKRV_PWAN,KM2,393.59042
2008,EN_LKRV_PWAN,KM2,390.97153
2009,EN_LKRV_PWAN,KM2,399.17625
2010,EN_LKRV_PWAN,KM2,400.15527
2011,EN_LKRV_PWAN,KM2,410.51973
2012,EN_LKRV_PWAN,KM2,412.44238
2013,EN_LKRV_PWAN,KM2,413.60468
2014,EN_LKRV_PWAN,KM2,409.96677
2015,EN_LKRV_PWAN,KM2,412.29841
2016,EN_LKRV_PWAN,KM2,415.82635
2017,EN_LKRV_PWAN,KM2,404.97148
2018,EN_LKRV_PWAN,KM2,420.18584
2019,EN_LKRV_PWAN,KM2,425.62558
2020,EN_LKRV_PWAN,KM2,412.55722
2021,EN_LKRV_PWAN,KM2,394.38311
2022,EN_LKRV_PWAN,KM2,406.28901
2000,EN_LKRV_PWAP,PT,0.00083
2001,EN_LKRV_PWAP,PT,0.00096
2002,EN_LKRV_PWAP,PT,0.00108
2003,EN_LKRV_PWAP,PT,0.00108
2004,EN_LKRV_PWAP,PT,0.00109
2005,EN_LKRV_PWAP,PT,0.00108
2006,EN_LKRV_PWAP,PT,0.00103
2007,EN_LKRV_PWAP,PT,0.00102
2008,EN_LKRV_PWAP,PT,0.00101
2009,EN_LKRV_PWAP,PT,0.00103
2010,EN_LKRV_PWAP,PT,0.00103
2011,EN_LKRV_PWAP,PT,0.00106
2012,EN_LKRV_PWAP,PT,0.00107
2013,EN_LKRV_PWAP,PT,0.00107
2014,EN_LKRV_PWAP,PT,0.00106
2015,EN_LKRV_PWAP,PT,0.00107
2016,EN_LKRV_PWAP,PT,0.00107
2017,EN_LKRV_PWAP,PT,0.00105
2018,EN_LKRV_PWAP,PT,0.00109
2019,EN_LKRV_PWAP,PT,0.0011
2020,EN_LKRV_PWAP,PT,0.00107
2021,EN_LKRV_PWAP,PT,0.00102
