Year,SERIES,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,CUST_BREAKDOWN_LB,Value
2000,ER_MTN_GRNCOV,,LC_ART,KM2,,41.67
2005,ER_MTN_GRNCOV,,LC_ART,KM2,,42.75
2010,ER_MTN_GRNCOV,,LC_ART,KM2,,45.99
2015,ER_MTN_GRNCOV,,LC_ART,KM2,,53.83
2018,ER_MTN_GRNCOV,,LC_ART,KM2,,57.05
2000,ER_MTN_GRNCOV,,LC_CRP,KM2,,51992.57
2005,ER_MTN_GRNCOV,,LC_CRP,KM2,,52733.67
2010,ER_MTN_GRNCOV,,LC_CRP,KM2,,52581.0
2015,ER_MTN_GRNCOV,,LC_CRP,KM2,,52387.29
2018,ER_MTN_GRNCOV,,LC_CRP,KM2,,51807.29
2000,ER_MTN_GRNCOV,,LC_GRS,KM2,,3068.92
2005,ER_MTN_GRNCOV,,LC_GRS,KM2,,2495.18
2010,ER_MTN_GRNCOV,,LC_GRS,KM2,,1856.15
2015,ER_MTN_GRNCOV,,LC_GRS,KM2,,1824.72
2018,ER_MTN_GRNCOV,,LC_GRS,KM2,,1809.5
2000,ER_MTN_GRNCOV,,LC_IWB,KM2,,753.93
2005,ER_MTN_GRNCOV,,LC_IWB,KM2,,745.1
2010,ER_MTN_GRNCOV,,LC_IWB,KM2,,734.21
2015,ER_MTN_GRNCOV,,LC_IWB,KM2,,731.27
2018,ER_MTN_GRNCOV,,LC_IWB,KM2,,818.86
2000,ER_MTN_GRNCOV,,LC_MGCI,KM2,,110287.16
2005,ER_MTN_GRNCOV,,LC_MGCI,KM2,,110292.13
2010,ER_MTN_GRNCOV,,LC_MGCI,KM2,,110307.9
2015,ER_MTN_GRNCOV,,LC_MGCI,KM2,,110308.22
2018,ER_MTN_GRNCOV,,LC_MGCI,KM2,,110230.8
2000,ER_MTN_GRNCOV,,LC_PSG,KM2,,
2005,ER_MTN_GRNCOV,,LC_PSG,KM2,,
2010,ER_MTN_GRNCOV,,LC_PSG,KM2,,
2015,ER_MTN_GRNCOV,,LC_PSG,KM2,,
2018,ER_MTN_GRNCOV,,LC_PSG,KM2,,
2000,ER_MTN_GRNCOV,,LC_SAF,KM2,,134.47
2005,ER_MTN_GRNCOV,,LC_SAF,KM2,,139.38
2010,ER_MTN_GRNCOV,,LC_SAF,KM2,,129.14
2015,ER_MTN_GRNCOV,,LC_SAF,KM2,,128.49
2018,ER_MTN_GRNCOV,,LC_SAF,KM2,,125.42
2000,ER_MTN_GRNCOV,,LC_SHR,KM2,,21551.31
2005,ER_MTN_GRNCOV,,LC_SHR,KM2,,21504.36
2010,ER_MTN_GRNCOV,,LC_SHR,KM2,,20980.15
2015,ER_MTN_GRNCOV,,LC_SHR,KM2,,20818.59
2018,ER_MTN_GRNCOV,,LC_SHR,KM2,,20344.32
2000,ER_MTN_GRNCOV,,LC_SNV,KM2,,176.26
2005,ER_MTN_GRNCOV,,LC_SNV,KM2,,177.15
2010,ER_MTN_GRNCOV,,LC_SNV,KM2,,177.15
2015,ER_MTN_GRNCOV,,LC_SNV,KM2,,176.98
2018,ER_MTN_GRNCOV,,LC_SNV,KM2,,178.18
2000,ER_MTN_GRNCOV,,LC_TBL,KM2,,637.52
2005,ER_MTN_GRNCOV,,LC_TBL,KM2,,639.4
2010,ER_MTN_GRNCOV,,LC_TBL,KM2,,631.28
2015,ER_MTN_GRNCOV,,LC_TBL,KM2,,626.24
2018,ER_MTN_GRNCOV,,LC_TBL,KM2,,611.63
2000,ER_MTN_GRNCOV,,LC_TRE,KM2,,33539.9
2005,ER_MTN_GRNCOV,,LC_TRE,KM2,,33419.54
2010,ER_MTN_GRNCOV,,LC_TRE,KM2,,34761.45
2015,ER_MTN_GRNCOV,,LC_TRE,KM2,,35149.13
2018,ER_MTN_GRNCOV,,LC_TRE,KM2,,36144.27
2000,ER_MTN_GRNCOV,C03,LC_ART,KM2,Montane,2.17
2005,ER_MTN_GRNCOV,C03,LC_ART,KM2,Montane,2.17
2010,ER_MTN_GRNCOV,C03,LC_ART,KM2,Montane,2.17
2015,ER_MTN_GRNCOV,C03,LC_ART,KM2,Montane,2.17
2018,ER_MTN_GRNCOV,C03,LC_ART,KM2,Montane,2.17
2000,ER_MTN_GRNCOV,C03,LC_CRP,KM2,Montane,61.46
2005,ER_MTN_GRNCOV,C03,LC_CRP,KM2,Montane,58.03
2010,ER_MTN_GRNCOV,C03,LC_CRP,KM2,Montane,57.67
2015,ER_MTN_GRNCOV,C03,LC_CRP,KM2,Montane,57.67
2018,ER_MTN_GRNCOV,C03,LC_CRP,KM2,Montane,57.76
2000,ER_MTN_GRNCOV,C03,LC_GRS,KM2,Montane,213.92
2005,ER_MTN_GRNCOV,C03,LC_GRS,KM2,Montane,211.67
2010,ER_MTN_GRNCOV,C03,LC_GRS,KM2,Montane,207.42
2015,ER_MTN_GRNCOV,C03,LC_GRS,KM2,Montane,205.88
2018,ER_MTN_GRNCOV,C03,LC_GRS,KM2,Montane,205.88
2000,ER_MTN_GRNCOV,C03,LC_IWB,KM2,Montane,0.99
2005,ER_MTN_GRNCOV,C03,LC_IWB,KM2,Montane,0.99
2010,ER_MTN_GRNCOV,C03,LC_IWB,KM2,Montane,0.99
2015,ER_MTN_GRNCOV,C03,LC_IWB,KM2,Montane,0.99
2018,ER_MTN_GRNCOV,C03,LC_IWB,KM2,Montane,0.99
2000,ER_MTN_GRNCOV,C03,LC_MGCI,KM2,Montane,919.6
2005,ER_MTN_GRNCOV,C03,LC_MGCI,KM2,Montane,919.33
2010,ER_MTN_GRNCOV,C03,LC_MGCI,KM2,Montane,919.33
2015,ER_MTN_GRNCOV,C03,LC_MGCI,KM2,Montane,919.33
2018,ER_MTN_GRNCOV,C03,LC_MGCI,KM2,Montane,919.24
2000,ER_MTN_GRNCOV,C03,LC_PSG,KM2,Montane,
2005,ER_MTN_GRNCOV,C03,LC_PSG,KM2,Montane,
2010,ER_MTN_GRNCOV,C03,LC_PSG,KM2,Montane,
2015,ER_MTN_GRNCOV,C03,LC_PSG,KM2,Montane,
2018,ER_MTN_GRNCOV,C03,LC_PSG,KM2,Montane,
2000,ER_MTN_GRNCOV,C03,LC_SAF,KM2,Montane,0.99
2005,ER_MTN_GRNCOV,C03,LC_SAF,KM2,Montane,0.99
2010,ER_MTN_GRNCOV,C03,LC_SAF,KM2,Montane,0.99
2015,ER_MTN_GRNCOV,C03,LC_SAF,KM2,Montane,0.99
2018,ER_MTN_GRNCOV,C03,LC_SAF,KM2,Montane,0.99
2000,ER_MTN_GRNCOV,C03,LC_SHR,KM2,Montane,80.5
2005,ER_MTN_GRNCOV,C03,LC_SHR,KM2,Montane,74.72
2010,ER_MTN_GRNCOV,C03,LC_SHR,KM2,Montane,72.64
2015,ER_MTN_GRNCOV,C03,LC_SHR,KM2,Montane,71.92
2018,ER_MTN_GRNCOV,C03,LC_SHR,KM2,Montane,71.56
2000,ER_MTN_GRNCOV,C03,LC_SNV,KM2,Montane,28.4
2005,ER_MTN_GRNCOV,C03,LC_SNV,KM2,Montane,28.76
2010,ER_MTN_GRNCOV,C03,LC_SNV,KM2,Montane,28.76
2015,ER_MTN_GRNCOV,C03,LC_SNV,KM2,Montane,28.76
2018,ER_MTN_GRNCOV,C03,LC_SNV,KM2,Montane,28.85
2000,ER_MTN_GRNCOV,C03,LC_TBL,KM2,Montane,7.58
2005,ER_MTN_GRNCOV,C03,LC_TBL,KM2,Montane,7.49
2010,ER_MTN_GRNCOV,C03,LC_TBL,KM2,Montane,7.49
2015,ER_MTN_GRNCOV,C03,LC_TBL,KM2,Montane,7.49
2018,ER_MTN_GRNCOV,C03,LC_TBL,KM2,Montane,7.49
2000,ER_MTN_GRNCOV,C03,LC_TRE,KM2,Montane,562.73
2005,ER_MTN_GRNCOV,C03,LC_TRE,KM2,Montane,573.93
2010,ER_MTN_GRNCOV,C03,LC_TRE,KM2,Montane,580.61
2015,ER_MTN_GRNCOV,C03,LC_TRE,KM2,Montane,582.87
2018,ER_MTN_GRNCOV,C03,LC_TRE,KM2,Montane,583.05
2000,ER_MTN_GRNCOV,C04,LC_ART,KM2,Remaining mountain area,39.5
2005,ER_MTN_GRNCOV,C04,LC_ART,KM2,Remaining mountain area,40.58
2010,ER_MTN_GRNCOV,C04,LC_ART,KM2,Remaining mountain area,43.82
2015,ER_MTN_GRNCOV,C04,LC_ART,KM2,Remaining mountain area,51.66
2018,ER_MTN_GRNCOV,C04,LC_ART,KM2,Remaining mountain area,54.88
2000,ER_MTN_GRNCOV,C04,LC_CRP,KM2,Remaining mountain area,51931.11
2005,ER_MTN_GRNCOV,C04,LC_CRP,KM2,Remaining mountain area,52675.64
2010,ER_MTN_GRNCOV,C04,LC_CRP,KM2,Remaining mountain area,52523.33
2015,ER_MTN_GRNCOV,C04,LC_CRP,KM2,Remaining mountain area,52329.62
2018,ER_MTN_GRNCOV,C04,LC_CRP,KM2,Remaining mountain area,51749.53
2000,ER_MTN_GRNCOV,C04,LC_GRS,KM2,Remaining mountain area,2855.0
2005,ER_MTN_GRNCOV,C04,LC_GRS,KM2,Remaining mountain area,2283.52
2010,ER_MTN_GRNCOV,C04,LC_GRS,KM2,Remaining mountain area,1648.72
2015,ER_MTN_GRNCOV,C04,LC_GRS,KM2,Remaining mountain area,1618.84
2018,ER_MTN_GRNCOV,C04,LC_GRS,KM2,Remaining mountain area,1603.61
2000,ER_MTN_GRNCOV,C04,LC_IWB,KM2,Remaining mountain area,752.94
2005,ER_MTN_GRNCOV,C04,LC_IWB,KM2,Remaining mountain area,744.1
2010,ER_MTN_GRNCOV,C04,LC_IWB,KM2,Remaining mountain area,733.22
2015,ER_MTN_GRNCOV,C04,LC_IWB,KM2,Remaining mountain area,730.28
2018,ER_MTN_GRNCOV,C04,LC_IWB,KM2,Remaining mountain area,817.87
2000,ER_MTN_GRNCOV,C04,LC_MGCI,KM2,Remaining mountain area,109367.56
2005,ER_MTN_GRNCOV,C04,LC_MGCI,KM2,Remaining mountain area,109372.8
2010,ER_MTN_GRNCOV,C04,LC_MGCI,KM2,Remaining mountain area,109388.56
2015,ER_MTN_GRNCOV,C04,LC_MGCI,KM2,Remaining mountain area,109388.88
2018,ER_MTN_GRNCOV,C04,LC_MGCI,KM2,Remaining mountain area,109311.56
2000,ER_MTN_GRNCOV,C04,LC_PSG,KM2,Remaining mountain area,
2005,ER_MTN_GRNCOV,C04,LC_PSG,KM2,Remaining mountain area,
2010,ER_MTN_GRNCOV,C04,LC_PSG,KM2,Remaining mountain area,
