Year,Value
1977,8266252.61915
1978,8298459.78759
1979,8817083.54784
1980,27429506.10526
1981,29969773.25748
1982,46765766.14197
1983,42646910.07123
1984,-2832264.62935
1985,-9088768.20469
1986,-1253429.52028
1987,-909924.57284
1988,60794326.47112
1989,36669757.71756
1990,21662734.84846
1991,-7268593.00638
1992,9475544.8434
1993,5083123.98834
1994,-50100172.25647
2009,-67000000.0
2010,-63090000.0
2011,-10000000.0
2012,-99200000.0
2013,-114200000.0
2014,-130300000.0
2015,-122800000.0
2016,80061343.26
2017,100881819.3
2018,-54730161.6159
2019,-3718164.36619
2020,81646526.10036
