Year,SEX,Value
2000,,96.2
2001,,94.5
2002,,93.4
2003,,92.6
2004,,92.9
2005,,93.7
2006,,95.6
2007,,96.2
2008,,94.7
2009,,91.3
2010,,86.1
2011,,80.6
2012,,72.1
2013,,66.2
2014,,62.6
2015,,60.5
2016,,57.9
2017,,56.2
2018,,53.7
2019,,52.7
2020,,51.8
2021,,49.5
2000,F,89.5
2001,F,87.9
2002,F,86.9
2003,F,86.1
2004,F,86.4
2005,F,87.2
2006,F,89.0
2007,F,89.7
2008,F,88.2
2009,F,84.9
2010,F,80.0
2011,F,74.6
2012,F,66.6
2013,F,60.8
2014,F,57.3
2015,F,55.3
2016,F,52.7
2017,F,51.1
2018,F,48.7
2019,F,47.7
2020,F,47.0
2021,F,44.8
2000,M,102.5
2001,M,100.8
2002,M,99.6
2003,M,98.6
2004,M,99.0
2005,M,99.8
2006,M,101.8
2007,M,102.5
2008,M,100.9
2009,M,97.3
2010,M,91.8
2011,M,86.1
2012,M,77.4
2013,M,71.4
2014,M,67.7
2015,M,65.5
2016,M,62.8
2017,M,60.9
2018,M,58.4
2019,M,57.2
2020,M,56.3
2021,M,54.0
