Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
2010,-0.25,PT,AG_LND_FRSTCHG,2023-09-07
2020,-0.26,PT,AG_LND_FRSTCHG,2023-09-07
2010,13.27519,GPERM3,EN_ATM_PM25,2023-02-27
2011,13.26777,GPERM3,EN_ATM_PM25,2023-02-27
2012,13.20859,GPERM3,EN_ATM_PM25,2023-02-27
2013,13.09511,GPERM3,EN_ATM_PM25,2023-02-27
2014,13.12364,GPERM3,EN_ATM_PM25,2023-02-27
2015,13.26748,GPERM3,EN_ATM_PM25,2023-02-27
2016,13.09256,GPERM3,EN_ATM_PM25,2023-02-27
2017,13.15097,GPERM3,EN_ATM_PM25,2023-02-27
2018,13.11527,GPERM3,EN_ATM_PM25,2023-02-27
2019,13.07553,GPERM3,EN_ATM_PM25,2023-02-27
1980,81.48815,PT,FM_LBL_BMNY_ZG,2023-03-10
1981,15.67201,PT,FM_LBL_BMNY_ZG,2023-03-10
1982,24.79634,PT,FM_LBL_BMNY_ZG,2023-03-10
1983,-3.94196,PT,FM_LBL_BMNY_ZG,2023-03-10
1984,9.99325,PT,FM_LBL_BMNY_ZG,2023-03-10
1985,17.74875,PT,FM_LBL_BMNY_ZG,2023-03-10
1986,4.22516,PT,FM_LBL_BMNY_ZG,2023-03-10
1987,27.11415,PT,FM_LBL_BMNY_ZG,2023-03-10
1988,20.79555,PT,FM_LBL_BMNY_ZG,2023-03-10
1989,24.25585,PT,FM_LBL_BMNY_ZG,2023-03-10
1990,-52.96088,PT,FM_LBL_BMNY_ZG,2023-03-10
1991,-27.59241,PT,FM_LBL_BMNY_ZG,2023-03-10
1992,-24.21541,PT,FM_LBL_BMNY_ZG,2023-03-10
1993,34.82615,PT,FM_LBL_BMNY_ZG,2023-03-10
1994,7.30321,PT,FM_LBL_BMNY_ZG,2023-03-10
1995,18.07077,PT,FM_LBL_BMNY_ZG,2023-03-10
1996,15.51601,PT,FM_LBL_BMNY_ZG,2023-03-10
1997,16.6063,PT,FM_LBL_BMNY_ZG,2023-03-10
1998,-43.08299,PT,FM_LBL_BMNY_ZG,2023-03-10
1999,-16.00526,PT,FM_LBL_BMNY_ZG,2023-03-10
2000,45.66668,PT,FM_LBL_BMNY_ZG,2023-03-10
2001,84.32734,PT,FM_LBL_BMNY_ZG,2023-03-10
2002,191.80405,PT,FM_LBL_BMNY_ZG,2023-03-10
2003,-58.17238,PT,FM_LBL_BMNY_ZG,2023-03-10
2004,-54.68515,PT,FM_LBL_BMNY_ZG,2023-03-10
2005,43.42784,PT,FM_LBL_BMNY_ZG,2023-03-10
2010,61.07299,PT,FM_LBL_BMNY_ZG,2023-03-10
2011,31.1928,PT,FM_LBL_BMNY_ZG,2023-03-10
2012,27.47967,PT,FM_LBL_BMNY_ZG,2023-03-10
2013,4.55132,PT,FM_LBL_BMNY_ZG,2023-03-10
2014,12.58116,PT,FM_LBL_BMNY_ZG,2023-03-10
2015,8.20189,PT,FM_LBL_BMNY_ZG,2023-03-10
2016,19.04805,PT,FM_LBL_BMNY_ZG,2023-03-10
2017,38.64649,PT,FM_LBL_BMNY_ZG,2023-03-10
2018,28.04846,PT,FM_LBL_BMNY_ZG,2023-03-10
2019,249.83528,PT,FM_LBL_BMNY_ZG,2023-03-10
2020,485.54705,PT,FM_LBL_BMNY_ZG,2023-03-10
2010,3.02267,PT,FP_CPI_TOTL_ZG,2023-03-10
2011,3.46613,PT,FP_CPI_TOTL_ZG,2023-03-10
2012,3.72533,PT,FP_CPI_TOTL_ZG,2023-03-10
2013,1.63495,PT,FP_CPI_TOTL_ZG,2023-03-10
2014,-0.19778,PT,FP_CPI_TOTL_ZG,2023-03-10
2015,-2.43097,PT,FP_CPI_TOTL_ZG,2023-03-10
2016,-1.54367,PT,FP_CPI_TOTL_ZG,2023-03-10
2017,0.89396,PT,FP_CPI_TOTL_ZG,2023-03-10
2018,10.61887,PT,FP_CPI_TOTL_ZG,2023-03-10
2019,255.30499,PT,FP_CPI_TOTL_ZG,2023-03-10
2020,557.20182,PT,FP_CPI_TOTL_ZG,2023-03-10
2021,98.54611,PT,FP_CPI_TOTL_ZG,2023-03-10
2010,54.45897,PT,NE_CON_GOVT_KD_ZG,2023-03-12
2011,38.67445,PT,NE_CON_GOVT_KD_ZG,2023-03-12
2012,58.34569,PT,NE_CON_GOVT_KD_ZG,2023-03-12
2013,-26.84046,PT,NE_CON_GOVT_KD_ZG,2023-03-12
2014,19.83966,PT,NE_CON_GOVT_KD_ZG,2023-03-12
2015,15.86864,PT,NE_CON_GOVT_KD_ZG,2023-03-12
2016,13.13281,PT,NE_CON_GOVT_KD_ZG,2023-03-12
2017,14.50718,PT,NE_CON_GOVT_KD_ZG,2023-03-12
2018,-21.20271,PT,NE_CON_GOVT_KD_ZG,2023-03-12
2019,-23.49679,PT,NE_CON_GOVT_KD_ZG,2023-03-12
2020,-23.75847,PT,NE_CON_GOVT_KD_ZG,2023-03-12
2021,142.10109,PT,NE_CON_GOVT_KD_ZG,2023-03-12
2010,6.82202,PT,NE_CON_PRVT_KD_ZG,2023-03-12
2011,2.34461,PT,NE_CON_PRVT_KD_ZG,2023-03-12
2012,23.64468,PT,NE_CON_PRVT_KD_ZG,2023-03-12
2013,-1.20431,PT,NE_CON_PRVT_KD_ZG,2023-03-12
2014,-2.55477,PT,NE_CON_PRVT_KD_ZG,2023-03-12
2015,19.0809,PT,NE_CON_PRVT_KD_ZG,2023-03-12
2016,-10.50111,PT,NE_CON_PRVT_KD_ZG,2023-03-12
2017,1.39614,PT,NE_CON_PRVT_KD_ZG,2023-03-12
2018,2.60351,PT,NE_CON_PRVT_KD_ZG,2023-03-12
