Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
2000,,PT,ER_MRN_MPA,2023-02-27
2001,,PT,ER_MRN_MPA,2023-02-27
2002,,PT,ER_MRN_MPA,2023-02-27
2003,,PT,ER_MRN_MPA,2023-02-27
2004,,PT,ER_MRN_MPA,2023-02-27
2005,,PT,ER_MRN_MPA,2023-02-27
2006,,PT,ER_MRN_MPA,2023-02-27
2007,,PT,ER_MRN_MPA,2023-02-27
2008,,PT,ER_MRN_MPA,2023-02-27
2009,,PT,ER_MRN_MPA,2023-02-27
2010,,PT,ER_MRN_MPA,2023-02-27
2011,,PT,ER_MRN_MPA,2023-02-27
2012,,PT,ER_MRN_MPA,2023-02-27
2013,,PT,ER_MRN_MPA,2023-02-27
2014,,PT,ER_MRN_MPA,2023-02-27
2015,,PT,ER_MRN_MPA,2023-02-27
2016,,PT,ER_MRN_MPA,2023-02-27
2017,,PT,ER_MRN_MPA,2023-02-27
2018,,PT,ER_MRN_MPA,2023-02-27
2019,,PT,ER_MRN_MPA,2023-02-27
2020,,PT,ER_MRN_MPA,2023-02-27
2021,,PT,ER_MRN_MPA,2023-02-27
2022,,PT,ER_MRN_MPA,2023-02-27
2000,65.75313,PT,ER_PTD_FRHWTR,2023-02-27
2001,65.75313,PT,ER_PTD_FRHWTR,2023-02-27
2002,65.84282,PT,ER_PTD_FRHWTR,2023-02-27
2003,65.84282,PT,ER_PTD_FRHWTR,2023-02-27
2004,65.84282,PT,ER_PTD_FRHWTR,2023-02-27
2005,65.84282,PT,ER_PTD_FRHWTR,2023-02-27
2006,65.84282,PT,ER_PTD_FRHWTR,2023-02-27
2007,65.84282,PT,ER_PTD_FRHWTR,2023-02-27
2008,65.84282,PT,ER_PTD_FRHWTR,2023-02-27
2009,65.84282,PT,ER_PTD_FRHWTR,2023-02-27
2010,65.84282,PT,ER_PTD_FRHWTR,2023-02-27
2011,65.84282,PT,ER_PTD_FRHWTR,2023-02-27
2012,65.84282,PT,ER_PTD_FRHWTR,2023-02-27
2013,82.01165,PT,ER_PTD_FRHWTR,2023-02-27
2014,82.01165,PT,ER_PTD_FRHWTR,2023-02-27
2015,82.01165,PT,ER_PTD_FRHWTR,2023-02-27
2016,82.01165,PT,ER_PTD_FRHWTR,2023-02-27
2017,82.01165,PT,ER_PTD_FRHWTR,2023-02-27
2018,82.01165,PT,ER_PTD_FRHWTR,2023-02-27
2019,82.01165,PT,ER_PTD_FRHWTR,2023-02-27
2020,82.01165,PT,ER_PTD_FRHWTR,2023-02-27
2021,82.01165,PT,ER_PTD_FRHWTR,2023-02-27
2022,82.01165,PT,ER_PTD_FRHWTR,2023-02-27
2000,74.10846,PT,ER_PTD_MTN,2023-02-27
2001,74.10846,PT,ER_PTD_MTN,2023-02-27
2002,81.74513,PT,ER_PTD_MTN,2023-02-27
2003,81.74513,PT,ER_PTD_MTN,2023-02-27
2004,81.74513,PT,ER_PTD_MTN,2023-02-27
2005,81.74513,PT,ER_PTD_MTN,2023-02-27
2006,81.74513,PT,ER_PTD_MTN,2023-02-27
2007,81.74513,PT,ER_PTD_MTN,2023-02-27
2008,81.74513,PT,ER_PTD_MTN,2023-02-27
2009,81.74513,PT,ER_PTD_MTN,2023-02-27
2010,81.74513,PT,ER_PTD_MTN,2023-02-27
2011,81.74513,PT,ER_PTD_MTN,2023-02-27
2012,81.74513,PT,ER_PTD_MTN,2023-02-27
2013,81.74513,PT,ER_PTD_MTN,2023-02-27
2014,81.74513,PT,ER_PTD_MTN,2023-02-27
2015,81.74513,PT,ER_PTD_MTN,2023-02-27
2016,81.74513,PT,ER_PTD_MTN,2023-02-27
2017,81.74513,PT,ER_PTD_MTN,2023-02-27
2018,81.74513,PT,ER_PTD_MTN,2023-02-27
2019,81.74513,PT,ER_PTD_MTN,2023-02-27
2020,81.74513,PT,ER_PTD_MTN,2023-02-27
2021,81.74513,PT,ER_PTD_MTN,2023-02-27
2022,81.74513,PT,ER_PTD_MTN,2023-02-27
2000,59.05935,PT,ER_PTD_TERR,2023-02-27
2001,59.05935,PT,ER_PTD_TERR,2023-02-27
2002,76.11171,PT,ER_PTD_TERR,2023-02-27
2003,76.11171,PT,ER_PTD_TERR,2023-02-27
2004,76.11171,PT,ER_PTD_TERR,2023-02-27
2005,76.11171,PT,ER_PTD_TERR,2023-02-27
2006,76.11171,PT,ER_PTD_TERR,2023-02-27
2007,76.11171,PT,ER_PTD_TERR,2023-02-27
2008,76.11171,PT,ER_PTD_TERR,2023-02-27
2009,76.11171,PT,ER_PTD_TERR,2023-02-27
2010,76.11171,PT,ER_PTD_TERR,2023-02-27
2011,76.11171,PT,ER_PTD_TERR,2023-02-27
2012,76.11171,PT,ER_PTD_TERR,2023-02-27
2013,81.21766,PT,ER_PTD_TERR,2023-02-27
2014,81.21766,PT,ER_PTD_TERR,2023-02-27
2015,81.21766,PT,ER_PTD_TERR,2023-02-27
2016,81.21766,PT,ER_PTD_TERR,2023-02-27
2017,81.21766,PT,ER_PTD_TERR,2023-02-27
2018,81.21766,PT,ER_PTD_TERR,2023-02-27
2019,81.21766,PT,ER_PTD_TERR,2023-02-27
2020,81.21766,PT,ER_PTD_TERR,2023-02-27
2021,81.21766,PT,ER_PTD_TERR,2023-02-27
2022,81.21766,PT,ER_PTD_TERR,2023-02-27
2011,13.71,PT,SI_RMT_COST,2022-03-16
2015,11.89,PT,SI_RMT_COST,2022-03-16
2017,11.23,PT,SI_RMT_COST,2022-03-16
2018,10.57,PT,SI_RMT_COST,2022-03-16
2019,10.62,PT,SI_RMT_COST,2022-03-16
2020,9.93,PT,SI_RMT_COST,2022-03-16
2021,10.99,PT,SI_RMT_COST,2022-03-16
2014,2.14,CUR_LCU,SL_EMP_EARN,2023-03-17
2000,6.25573,PT,TM_TAX_DMFN,2023-03-23
2005,6.48638,PT,TM_TAX_DMFN,2023-03-23
2010,6.01659,PT,TM_TAX_DMFN,2023-03-23
2011,6.0173,PT,TM_TAX_DMFN,2023-03-23
2012,5.5532,PT,TM_TAX_DMFN,2023-03-23
2013,5.51169,PT,TM_TAX_DMFN,2023-03-23
2014,5.5172,PT,TM_TAX_DMFN,2023-03-23
2015,5.53585,PT,TM_TAX_DMFN,2023-03-23
2016,5.5443,PT,TM_TAX_DMFN,2023-03-23
2017,5.41077,PT,TM_TAX_DMFN,2023-03-23
