Year,Value,UNIT_MEASURE,SERIES
2000,47.48,PT,AG_LND_FRST
2010,46.28,PT,AG_LND_FRST
2015,45.69,PT,AG_LND_FRST
2016,45.57,PT,AG_LND_FRST
2017,45.45,PT,AG_LND_FRST
2018,45.33,PT,AG_LND_FRST
2019,45.21,PT,AG_LND_FRST
2020,45.09,PT,AG_LND_FRST
2000,56.46,HA,AG_LND_FRSTCERT
2005,104.04,HA,AG_LND_FRSTCERT
2010,0.0,HA,AG_LND_FRSTCERT
2015,0.0,HA,AG_LND_FRSTCERT
2016,0.0,HA,AG_LND_FRSTCERT
2017,0.0,HA,AG_LND_FRSTCERT
2018,0.0,HA,AG_LND_FRSTCERT
2019,0.0,HA,AG_LND_FRSTCERT
2020,0.0,HA,AG_LND_FRSTCERT
2021,0.0,HA,AG_LND_FRSTCERT
2022,20.0,HA,AG_LND_FRSTCERT
2000,18365.98,HA,AG_LND_FRSTN
2010,17905.28,HA,AG_LND_FRSTN
2015,17674.93,HA,AG_LND_FRSTN
2016,17628.86,HA,AG_LND_FRSTN
2017,17582.79,HA,AG_LND_FRSTN
2018,17536.72,HA,AG_LND_FRSTN
2019,17490.65,HA,AG_LND_FRSTN
2020,17444.58,HA,AG_LND_FRSTN
