Year,Value,UNIT_MEASURE,SERIES
2000,52.2,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2001,51.8,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2002,51.8,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2003,51.8,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2004,53.0,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2005,53.9,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2006,55.9,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2007,56.9,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2008,56.4,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2009,55.3,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2010,52.9,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2011,51.4,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2012,47.0,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2013,45.2,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2014,43.2,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2015,42.1,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2016,40.6,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2017,39.5,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2018,38.0,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2019,37.1,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2020,36.6,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2021,35.7,PER_1000_LIVE_BIRTHS,SH_DYN_IMRT
2000,21719.0,NUMBER,SH_DYN_IMRTN
2001,21973.0,NUMBER,SH_DYN_IMRTN
2002,22181.0,NUMBER,SH_DYN_IMRTN
2003,22324.0,NUMBER,SH_DYN_IMRTN
2004,22817.0,NUMBER,SH_DYN_IMRTN
2005,23089.0,NUMBER,SH_DYN_IMRTN
2006,23714.0,NUMBER,SH_DYN_IMRTN
2007,24327.0,NUMBER,SH_DYN_IMRTN
2008,24727.0,NUMBER,SH_DYN_IMRTN
2009,25162.0,NUMBER,SH_DYN_IMRTN
2010,24813.0,NUMBER,SH_DYN_IMRTN
2011,24610.0,NUMBER,SH_DYN_IMRTN
2012,22773.0,NUMBER,SH_DYN_IMRTN
2013,21998.0,NUMBER,SH_DYN_IMRTN
2014,21009.0,NUMBER,SH_DYN_IMRTN
2015,20258.0,NUMBER,SH_DYN_IMRTN
2016,19377.0,NUMBER,SH_DYN_IMRTN
2017,18832.0,NUMBER,SH_DYN_IMRTN
2018,18216.0,NUMBER,SH_DYN_IMRTN
2019,17852.0,NUMBER,SH_DYN_IMRTN
2020,17656.0,NUMBER,SH_DYN_IMRTN
2021,17309.0,NUMBER,SH_DYN_IMRTN
