Year,Value,UNIT_MEASURE,SERIES
2000,27.6,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2001,28.6,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2002,29.9,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2003,31.1,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2004,32.0,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2005,32.6,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2006,33.0,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2007,33.3,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2008,33.4,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2009,32.9,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2010,32.1,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2011,31.1,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2012,30.1,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2013,29.2,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2014,28.5,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2015,27.9,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2016,27.5,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2017,27.1,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2018,26.6,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2019,26.1,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2020,25.5,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2021,25.0,PER_1000_LIVE_BIRTHS,SH_DYN_NMRT
2000,11683.0,NUMBER,SH_DYN_NMRTN
2001,12331.0,NUMBER,SH_DYN_NMRTN
2002,12957.0,NUMBER,SH_DYN_NMRTN
2003,13535.0,NUMBER,SH_DYN_NMRTN
2004,13866.0,NUMBER,SH_DYN_NMRTN
2005,14010.0,NUMBER,SH_DYN_NMRTN
2006,14091.0,NUMBER,SH_DYN_NMRTN
2007,14522.0,NUMBER,SH_DYN_NMRTN
2008,14965.0,NUMBER,SH_DYN_NMRTN
2009,15402.0,NUMBER,SH_DYN_NMRTN
2010,15338.0,NUMBER,SH_DYN_NMRTN
2011,15118.0,NUMBER,SH_DYN_NMRTN
2012,14709.0,NUMBER,SH_DYN_NMRTN
2013,14371.0,NUMBER,SH_DYN_NMRTN
2014,13887.0,NUMBER,SH_DYN_NMRTN
2015,13452.0,NUMBER,SH_DYN_NMRTN
2016,13191.0,NUMBER,SH_DYN_NMRTN
2017,12999.0,NUMBER,SH_DYN_NMRTN
2018,12874.0,NUMBER,SH_DYN_NMRTN
2019,12638.0,NUMBER,SH_DYN_NMRTN
2020,12421.0,NUMBER,SH_DYN_NMRTN
2021,12211.0,NUMBER,SH_DYN_NMRTN
