Year,Value,SERIES,DATA_LAST_UPDATE
2015,9.6,AG_LND_DGRD,2023-12-07
2019,9.22,AG_LND_DGRD,2023-12-07
2000,4.64,AG_LND_FRSTMGT,2023-09-07
2010,4.57,AG_LND_FRSTMGT,2023-09-07
2015,4.57,AG_LND_FRSTMGT,2023-09-07
2016,4.57,AG_LND_FRSTMGT,2023-09-07
2017,4.57,AG_LND_FRSTMGT,2023-09-07
2018,4.57,AG_LND_FRSTMGT,2023-09-07
2019,4.57,AG_LND_FRSTMGT,2023-09-07
2020,4.57,AG_LND_FRSTMGT,2023-09-07
2000,17.42,AG_LND_FRSTPRCT,2023-09-07
2010,17.4,AG_LND_FRSTPRCT,2023-09-07
2015,17.4,AG_LND_FRSTPRCT,2023-09-07
2016,17.4,AG_LND_FRSTPRCT,2023-09-07
2017,17.4,AG_LND_FRSTPRCT,2023-09-07
2018,17.4,AG_LND_FRSTPRCT,2023-09-07
2019,17.4,AG_LND_FRSTPRCT,2023-09-07
2020,17.4,AG_LND_FRSTPRCT,2023-09-07
2000,33.7,EG_ACS_ELEC,2023-03-03
2001,34.2,EG_ACS_ELEC,2023-03-03
2002,34.2,EG_ACS_ELEC,2023-03-03
2003,35.1,EG_ACS_ELEC,2023-03-03
2004,35.6,EG_ACS_ELEC,2023-03-03
2005,36.1,EG_ACS_ELEC,2023-03-03
2006,37.2,EG_ACS_ELEC,2023-03-03
2007,37.2,EG_ACS_ELEC,2023-03-03
2008,37.7,EG_ACS_ELEC,2023-03-03
2009,43.4,EG_ACS_ELEC,2023-03-03
2010,38.9,EG_ACS_ELEC,2023-03-03
2011,36.9,EG_ACS_ELEC,2023-03-03
2012,44.0,EG_ACS_ELEC,2023-03-03
2013,40.6,EG_ACS_ELEC,2023-03-03
2014,32.3,EG_ACS_ELEC,2023-03-03
2015,33.7,EG_ACS_ELEC,2023-03-03
2016,42.5,EG_ACS_ELEC,2023-03-03
2017,44.0,EG_ACS_ELEC,2023-03-03
2018,45.4,EG_ACS_ELEC,2023-03-03
2019,46.7,EG_ACS_ELEC,2023-03-03
2020,52.7,EG_ACS_ELEC,2023-03-03
2021,49.0,EG_ACS_ELEC,2023-03-03
2000,34.0,EG_EGY_CLEAN,2023-03-18
2001,34.0,EG_EGY_CLEAN,2023-03-18
2002,33.0,EG_EGY_CLEAN,2023-03-18
2003,33.0,EG_EGY_CLEAN,2023-03-18
2004,32.0,EG_EGY_CLEAN,2023-03-18
2005,32.0,EG_EGY_CLEAN,2023-03-18
2006,32.0,EG_EGY_CLEAN,2023-03-18
2007,31.0,EG_EGY_CLEAN,2023-03-18
2008,31.0,EG_EGY_CLEAN,2023-03-18
2009,31.0,EG_EGY_CLEAN,2023-03-18
2010,30.0,EG_EGY_CLEAN,2023-03-18
2011,30.0,EG_EGY_CLEAN,2023-03-18
2012,30.0,EG_EGY_CLEAN,2023-03-18
2013,30.0,EG_EGY_CLEAN,2023-03-18
2014,30.0,EG_EGY_CLEAN,2023-03-18
2015,30.0,EG_EGY_CLEAN,2023-03-18
2016,30.0,EG_EGY_CLEAN,2023-03-18
2017,30.0,EG_EGY_CLEAN,2023-03-18
2018,30.0,EG_EGY_CLEAN,2023-03-18
2019,30.0,EG_EGY_CLEAN,2023-03-18
2020,30.0,EG_EGY_CLEAN,2023-03-18
2021,30.0,EG_EGY_CLEAN,2023-03-18
2017,,EG_TBA_H2CO,2023-03-02
2020,69.9,EG_TBA_H2CO,2023-03-02
2017,,EG_TBA_H2COAQ,2023-03-02
2020,43.73,EG_TBA_H2COAQ,2023-03-02
2017,76.24,EG_TBA_H2CORL,2023-03-02
2020,72.76,EG_TBA_H2CORL,2023-03-02
2017,0.75,EN_EWT_COLLR,2023-03-16
2017,76.47,EN_H2O_RVAMBQ,2023-03-10
2020,83.33,EN_H2O_RVAMBQ,2023-03-10
2017,76.47,EN_H2O_WBAMBQ,2023-03-10
2020,83.33,EN_H2O_WBAMBQ,2023-03-10
2015,61.23265,EN_WWT_TREATR,2021-03-24
2020,22.9922,EN_WWT_WWDS,2023-03-21
2022,54.78279,EN_WWT_WWDS,2023-03-21
2015,2.05,ER_MTN_DGRDP,2023-09-07
2018,2.12,ER_MTN_DGRDP,2023-09-07
2000,50.0,ER_RSK_LBREDS,2023-09-28
2001,50.0,ER_RSK_LBREDS,2023-09-28
2002,,ER_RSK_LBREDS,2023-09-28
2003,,ER_RSK_LBREDS,2023-09-28
2004,,ER_RSK_LBREDS,2023-09-28
2005,,ER_RSK_LBREDS,2023-09-28
2006,,ER_RSK_LBREDS,2023-09-28
2007,,ER_RSK_LBREDS,2023-09-28
2008,,ER_RSK_LBREDS,2023-09-28
2009,,ER_RSK_LBREDS,2023-09-28
2010,,ER_RSK_LBREDS,2023-09-28
2011,,ER_RSK_LBREDS,2023-09-28
2012,,ER_RSK_LBREDS,2023-09-28
2013,,ER_RSK_LBREDS,2023-09-28
2014,,ER_RSK_LBREDS,2023-09-28
2015,,ER_RSK_LBREDS,2023-09-28
2016,,ER_RSK_LBREDS,2023-09-28
2017,,ER_RSK_LBREDS,2023-09-28
2018,,ER_RSK_LBREDS,2023-09-28
2019,,ER_RSK_LBREDS,2023-09-28
2020,,ER_RSK_LBREDS,2023-09-28
2021,,ER_RSK_LBREDS,2023-09-28
2022,,ER_RSK_LBREDS,2023-09-28
2023,,ER_RSK_LBREDS,2023-09-28
2009,95.9048319715285,GC_GOB_TAXD,2023-05-10
2010,104.21075098589,GC_GOB_TAXD,2023-05-10
2011,90.3280879963896,GC_GOB_TAXD,2023-05-10
2012,85.5540410691907,GC_GOB_TAXD,2023-05-10
2015,80.2059703324265,GC_GOB_TAXD,2023-05-10
2016,60.0243734711119,GC_GOB_TAXD,2023-05-10
2017,54.6042079506523,GC_GOB_TAXD,2023-05-10
2018,61.450723805283,GC_GOB_TAXD,2023-05-10
2005,70.0,IT_MOB_2GNTWK,2023-03-14
2006,72.0,IT_MOB_2GNTWK,2023-03-14
2007,75.0,IT_MOB_2GNTWK,2023-03-14
2008,75.0,IT_MOB_2GNTWK,2023-03-14
2009,41.0,IT_MOB_2GNTWK,2023-03-14
2010,61.0,IT_MOB_2GNTWK,2023-03-14
2011,72.4,IT_MOB_2GNTWK,2023-03-14
2012,81.0,IT_MOB_2GNTWK,2023-03-14
2013,84.0,IT_MOB_2GNTWK,2023-03-14
2014,88.0,IT_MOB_2GNTWK,2023-03-14
2015,88.7,IT_MOB_2GNTWK,2023-03-14
2016,88.9,IT_MOB_2GNTWK,2023-03-14
2017,90.09,IT_MOB_2GNTWK,2023-03-14
2018,93.0,IT_MOB_2GNTWK,2023-03-14
2019,93.4,IT_MOB_2GNTWK,2023-03-14
2020,93.44,IT_MOB_2GNTWK,2023-03-14
2021,93.54,IT_MOB_2GNTWK,2023-03-14
2010,5.0,IT_MOB_3GNTWK,2023-03-14
2011,15.0,IT_MOB_3GNTWK,2023-03-14
2012,35.0,IT_MOB_3GNTWK,2023-03-14
2013,52.0,IT_MOB_3GNTWK,2023-03-14
2014,53.0,IT_MOB_3GNTWK,2023-03-14
2015,55.1,IT_MOB_3GNTWK,2023-03-14
2016,55.25,IT_MOB_3GNTWK,2023-03-14
2017,78.2,IT_MOB_3GNTWK,2023-03-14
2018,84.0,IT_MOB_3GNTWK,2023-03-14
2019,84.2,IT_MOB_3GNTWK,2023-03-14
2020,84.28,IT_MOB_3GNTWK,2023-03-14
2021,84.31,IT_MOB_3GNTWK,2023-03-14
2014,2.0,IT_MOB_4GNTWK,2023-03-14
2015,11.0,IT_MOB_4GNTWK,2023-03-14
2016,22.64,IT_MOB_4GNTWK,2023-03-14
2017,34.72,IT_MOB_4GNTWK,2023-03-14
2018,35.0,IT_MOB_4GNTWK,2023-03-14
2019,35.0,IT_MOB_4GNTWK,2023-03-14
2020,35.0,IT_MOB_4GNTWK,2023-03-14
2021,39.12,IT_MOB_4GNTWK,2023-03-14
2020,47.0364,IT_MOB_OWN,2023-03-10
2000,0.4,IT_USE_II99,2023-03-23
2001,0.8,IT_USE_II99,2023-03-23
2002,1.1,IT_USE_II99,2023-03-23
2003,1.8,IT_USE_II99,2023-03-23
2004,2.1,IT_USE_II99,2023-03-23
2005,2.4,IT_USE_II99,2023-03-23
2006,2.4,IT_USE_II99,2023-03-23
2007,3.0,IT_USE_II99,2023-03-23
2008,3.5,IT_USE_II99,2023-03-23
2009,4.0,IT_USE_II99,2023-03-23
2010,6.4,IT_USE_II99,2023-03-23
2011,8.4,IT_USE_II99,2023-03-23
2012,12.0,IT_USE_II99,2023-03-23
2013,15.5,IT_USE_II99,2023-03-23
2014,16.36,IT_USE_II99,2023-03-23
2015,22.74,IT_USE_II99,2023-03-23
2016,23.12,IT_USE_II99,2023-03-23
2017,24.4,IT_USE_II99,2023-03-23
2018,25.0,IT_USE_II99,2023-03-23
2019,26.59,IT_USE_II99,2023-03-23
2020,29.3,IT_USE_II99,2023-03-23
2021,34.81,IT_USE_II99,2023-03-23
2017,83.33333,SG_DSR_SILS,2023-03-29
2018,90.27778,SG_DSR_SILS,2023-03-29
2019,90.27778,SG_DSR_SILS,2023-03-29
2016,91.3,SG_PLN_RECNDI,2022-03-02
2018,62.5,SG_PLN_RECNDI,2022-03-02
2016,49.9,SG_PLN_RECRICTRY,2022-03-02
2018,85.04357,SG_PLN_RECRICTRY,2022-03-02
2016,36.9,SG_PLN_RECRIMON,2022-03-02
2018,84.03922,SG_PLN_RECRIMON,2022-03-02
2000,78.0,SH_ACS_DTP3,2023-02-23
2001,75.0,SH_ACS_DTP3,2023-02-23
2002,71.0,SH_ACS_DTP3,2023-02-23
2003,68.0,SH_ACS_DTP3,2023-02-23
2004,65.0,SH_ACS_DTP3,2023-02-23
2005,68.0,SH_ACS_DTP3,2023-02-23
2006,70.0,SH_ACS_DTP3,2023-02-23
2007,73.0,SH_ACS_DTP3,2023-02-23
2008,75.0,SH_ACS_DTP3,2023-02-23
2009,73.0,SH_ACS_DTP3,2023-02-23
2010,89.0,SH_ACS_DTP3,2023-02-23
2011,93.0,SH_ACS_DTP3,2023-02-23
2012,95.0,SH_ACS_DTP3,2023-02-23
2013,95.0,SH_ACS_DTP3,2023-02-23
2014,91.0,SH_ACS_DTP3,2023-02-23
2015,87.0,SH_ACS_DTP3,2023-02-23
2016,90.0,SH_ACS_DTP3,2023-02-23
2017,89.0,SH_ACS_DTP3,2023-02-23
2018,89.0,SH_ACS_DTP3,2023-02-23
2019,90.0,SH_ACS_DTP3,2023-02-23
2020,86.0,SH_ACS_DTP3,2023-02-23
