Year,Value,UNIT_MEASURE,SERIES
2000,2933.20585,KM2,EN_RSRV_MNWAN
2001,3039.40393,KM2,EN_RSRV_MNWAN
2002,3146.87804,KM2,EN_RSRV_MNWAN
2003,3190.39908,KM2,EN_RSRV_MNWAN
2004,3208.41279,KM2,EN_RSRV_MNWAN
2005,3211.40092,KM2,EN_RSRV_MNWAN
2006,3161.78303,KM2,EN_RSRV_MNWAN
2007,3115.18367,KM2,EN_RSRV_MNWAN
2008,3070.63378,KM2,EN_RSRV_MNWAN
2009,3072.13417,KM2,EN_RSRV_MNWAN
2010,3065.9292,KM2,EN_RSRV_MNWAN
2011,3105.14882,KM2,EN_RSRV_MNWAN
2012,3141.51351,KM2,EN_RSRV_MNWAN
2013,3173.88139,KM2,EN_RSRV_MNWAN
2014,3164.96573,KM2,EN_RSRV_MNWAN
2015,3164.6179,KM2,EN_RSRV_MNWAN
2016,3118.33789,KM2,EN_RSRV_MNWAN
2017,3046.18741,KM2,EN_RSRV_MNWAN
2018,3026.37785,KM2,EN_RSRV_MNWAN
2019,3031.87604,KM2,EN_RSRV_MNWAN
2020,2983.74316,KM2,EN_RSRV_MNWAN
2021,2966.99501,KM2,EN_RSRV_MNWAN
2022,3021.11824,KM2,EN_RSRV_MNWAN
2000,0.00758,PT,EN_RSRV_MNWAP
2001,0.00786,PT,EN_RSRV_MNWAP
2002,0.00813,PT,EN_RSRV_MNWAP
2003,0.00825,PT,EN_RSRV_MNWAP
2004,0.00829,PT,EN_RSRV_MNWAP
2005,0.0083,PT,EN_RSRV_MNWAP
2006,0.00817,PT,EN_RSRV_MNWAP
2007,0.00805,PT,EN_RSRV_MNWAP
2008,0.00794,PT,EN_RSRV_MNWAP
2009,0.00794,PT,EN_RSRV_MNWAP
2010,0.00793,PT,EN_RSRV_MNWAP
2011,0.00803,PT,EN_RSRV_MNWAP
2012,0.00812,PT,EN_RSRV_MNWAP
2013,0.0082,PT,EN_RSRV_MNWAP
2014,0.00818,PT,EN_RSRV_MNWAP
2015,0.00818,PT,EN_RSRV_MNWAP
2016,0.00806,PT,EN_RSRV_MNWAP
2017,0.00787,PT,EN_RSRV_MNWAP
2018,0.00782,PT,EN_RSRV_MNWAP
2019,0.00784,PT,EN_RSRV_MNWAP
2020,0.00771,PT,EN_RSRV_MNWAP
2021,0.00767,PT,EN_RSRV_MNWAP
2022,0.00781,PT,EN_RSRV_MNWAP
2000,3106.78158,KM2,EN_RSRV_MXWAN
2001,3224.90857,KM2,EN_RSRV_MXWAN
2002,3365.99096,KM2,EN_RSRV_MXWAN
2003,3380.33921,KM2,EN_RSRV_MXWAN
2004,3387.4518,KM2,EN_RSRV_MXWAN
2005,3396.66803,KM2,EN_RSRV_MXWAN
2006,3357.66406,KM2,EN_RSRV_MXWAN
2007,3314.80952,KM2,EN_RSRV_MXWAN
2008,3284.58928,KM2,EN_RSRV_MXWAN
2009,3294.46375,KM2,EN_RSRV_MXWAN
2010,3293.80511,KM2,EN_RSRV_MXWAN
2011,3322.9056,KM2,EN_RSRV_MXWAN
2012,3355.83538,KM2,EN_RSRV_MXWAN
2013,3377.36704,KM2,EN_RSRV_MXWAN
2014,3367.48567,KM2,EN_RSRV_MXWAN
2015,3372.43564,KM2,EN_RSRV_MXWAN
2016,3346.05358,KM2,EN_RSRV_MXWAN
2017,3279.23577,KM2,EN_RSRV_MXWAN
2018,3287.95567,KM2,EN_RSRV_MXWAN
2019,3323.49858,KM2,EN_RSRV_MXWAN
2020,3291.90888,KM2,EN_RSRV_MXWAN
2021,3279.2429,KM2,EN_RSRV_MXWAN
2022,3340.23095,KM2,EN_RSRV_MXWAN
2000,0.00803,PT,EN_RSRV_MXWAP
2001,0.00834,PT,EN_RSRV_MXWAP
2002,0.0087,PT,EN_RSRV_MXWAP
2003,0.00874,PT,EN_RSRV_MXWAP
2004,0.00876,PT,EN_RSRV_MXWAP
2005,0.00878,PT,EN_RSRV_MXWAP
2006,0.00868,PT,EN_RSRV_MXWAP
2007,0.00857,PT,EN_RSRV_MXWAP
2008,0.00849,PT,EN_RSRV_MXWAP
2009,0.00852,PT,EN_RSRV_MXWAP
2010,0.00851,PT,EN_RSRV_MXWAP
2011,0.00859,PT,EN_RSRV_MXWAP
2012,0.00867,PT,EN_RSRV_MXWAP
2013,0.00873,PT,EN_RSRV_MXWAP
2014,0.0087,PT,EN_RSRV_MXWAP
2015,0.00872,PT,EN_RSRV_MXWAP
2016,0.00865,PT,EN_RSRV_MXWAP
2017,0.00848,PT,EN_RSRV_MXWAP
2018,0.0085,PT,EN_RSRV_MXWAP
2019,0.00859,PT,EN_RSRV_MXWAP
2020,0.00851,PT,EN_RSRV_MXWAP
2021,0.00848,PT,EN_RSRV_MXWAP
2022,0.00863,PT,EN_RSRV_MXWAP
