Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
2010,347567042.0,USD,DC_ENVTECH_TT,2023-05-10
2011,353349374.0,USD,DC_ENVTECH_TT,2023-05-10
2012,400954458.0,USD,DC_ENVTECH_TT,2023-05-10
2013,376094925.0,USD,DC_ENVTECH_TT,2023-05-10
2014,341842599.0,USD,DC_ENVTECH_TT,2023-05-10
2015,336014420.0,USD,DC_ENVTECH_TT,2023-05-10
2016,280937923.0,USD,DC_ENVTECH_TT,2023-05-10
2017,305075227.0,USD,DC_ENVTECH_TT,2023-05-10
2018,331730249.0,USD,DC_ENVTECH_TT,2023-05-10
2019,341343170.0,USD,DC_ENVTECH_TT,2023-05-10
2020,430833750.0,USD,DC_ENVTECH_TT,2023-05-10
2000,73.69146,CON_USD,DC_FTA_TOTAL,2023-05-03
2001,76.80038,CON_USD,DC_FTA_TOTAL,2023-05-03
2002,16.35839,CON_USD,DC_FTA_TOTAL,2023-05-03
2003,23.95531,CON_USD,DC_FTA_TOTAL,2023-05-03
2004,32.398,CON_USD,DC_FTA_TOTAL,2023-05-03
2005,30.39835,CON_USD,DC_FTA_TOTAL,2023-05-03
2006,45.72503,CON_USD,DC_FTA_TOTAL,2023-05-03
2007,13.69312,CON_USD,DC_FTA_TOTAL,2023-05-03
2008,12.187,CON_USD,DC_FTA_TOTAL,2023-05-03
2009,23.61333,CON_USD,DC_FTA_TOTAL,2023-05-03
2010,32.02927,CON_USD,DC_FTA_TOTAL,2023-05-03
2011,47.77192,CON_USD,DC_FTA_TOTAL,2023-05-03
2012,38.2612,CON_USD,DC_FTA_TOTAL,2023-05-03
2013,31.24657,CON_USD,DC_FTA_TOTAL,2023-05-03
2014,55.26278,CON_USD,DC_FTA_TOTAL,2023-05-03
2015,39.36703,CON_USD,DC_FTA_TOTAL,2023-05-03
2016,39.89859,CON_USD,DC_FTA_TOTAL,2023-05-03
2017,47.41211,CON_USD,DC_FTA_TOTAL,2023-05-03
2018,43.1881,CON_USD,DC_FTA_TOTAL,2023-05-03
2019,32.38153,CON_USD,DC_FTA_TOTAL,2023-05-03
2020,79.53831,CON_USD,DC_FTA_TOTAL,2023-05-03
2021,61.86411,CON_USD,DC_FTA_TOTAL,2023-05-03
2002,2.4395,CON_USD,DC_ODA_BDVL,2023-05-03
2003,3.79229,CON_USD,DC_ODA_BDVL,2023-05-03
2004,0.19332,CON_USD,DC_ODA_BDVL,2023-05-03
2005,0.37707,CON_USD,DC_ODA_BDVL,2023-05-03
2006,1.69104,CON_USD,DC_ODA_BDVL,2023-05-03
2007,0.32659,CON_USD,DC_ODA_BDVL,2023-05-03
2008,0.64328,CON_USD,DC_ODA_BDVL,2023-05-03
2009,3.96487,CON_USD,DC_ODA_BDVL,2023-05-03
2010,45.75674,CON_USD,DC_ODA_BDVL,2023-05-03
2011,20.45786,CON_USD,DC_ODA_BDVL,2023-05-03
2012,4.13603,CON_USD,DC_ODA_BDVL,2023-05-03
2013,11.48491,CON_USD,DC_ODA_BDVL,2023-05-03
2014,18.90088,CON_USD,DC_ODA_BDVL,2023-05-03
2015,5.69679,CON_USD,DC_ODA_BDVL,2023-05-03
2016,21.23752,CON_USD,DC_ODA_BDVL,2023-05-03
2017,5.41363,CON_USD,DC_ODA_BDVL,2023-05-03
2018,64.23227,CON_USD,DC_ODA_BDVL,2023-05-03
2019,13.1756,CON_USD,DC_ODA_BDVL,2023-05-03
2020,5.13636,CON_USD,DC_ODA_BDVL,2023-05-03
2021,15.64681,CON_USD,DC_ODA_BDVL,2023-05-03
2000,24.99533,CON_USD,DC_TOF_AGRL,2023-05-15
2001,6.2894,CON_USD,DC_TOF_AGRL,2023-05-15
2002,12.28289,CON_USD,DC_TOF_AGRL,2023-05-15
2003,6.56063,CON_USD,DC_TOF_AGRL,2023-05-15
2004,13.60647,CON_USD,DC_TOF_AGRL,2023-05-15
2005,6.71606,CON_USD,DC_TOF_AGRL,2023-05-15
2006,7.27203,CON_USD,DC_TOF_AGRL,2023-05-15
2007,18.39718,CON_USD,DC_TOF_AGRL,2023-05-15
2008,10.62104,CON_USD,DC_TOF_AGRL,2023-05-15
2009,57.35051,CON_USD,DC_TOF_AGRL,2023-05-15
2010,60.02768,CON_USD,DC_TOF_AGRL,2023-05-15
2011,95.06521,CON_USD,DC_TOF_AGRL,2023-05-15
2012,92.46653,CON_USD,DC_TOF_AGRL,2023-05-15
2013,74.86652,CON_USD,DC_TOF_AGRL,2023-05-15
2014,38.38631,CON_USD,DC_TOF_AGRL,2023-05-15
2015,52.00981,CON_USD,DC_TOF_AGRL,2023-05-15
2016,53.04692,CON_USD,DC_TOF_AGRL,2023-05-15
2017,49.70648,CON_USD,DC_TOF_AGRL,2023-05-15
2018,52.11353,CON_USD,DC_TOF_AGRL,2023-05-15
2019,59.15801,CON_USD,DC_TOF_AGRL,2023-05-15
2020,40.75814,CON_USD,DC_TOF_AGRL,2023-05-15
2021,43.22994,CON_USD,DC_TOF_AGRL,2023-05-15
2000,2.87705,CON_USD,DC_TOF_HLTHL,2023-05-03
2001,3.6346,CON_USD,DC_TOF_HLTHL,2023-05-03
2002,1.38943,CON_USD,DC_TOF_HLTHL,2023-05-03
2003,9.90522,CON_USD,DC_TOF_HLTHL,2023-05-03
2004,3.93863,CON_USD,DC_TOF_HLTHL,2023-05-03
2005,10.18143,CON_USD,DC_TOF_HLTHL,2023-05-03
2006,8.62959,CON_USD,DC_TOF_HLTHL,2023-05-03
2007,53.83466,CON_USD,DC_TOF_HLTHL,2023-05-03
2008,39.33473,CON_USD,DC_TOF_HLTHL,2023-05-03
2009,71.21058,CON_USD,DC_TOF_HLTHL,2023-05-03
2010,98.22865,CON_USD,DC_TOF_HLTHL,2023-05-03
2011,63.33701,CON_USD,DC_TOF_HLTHL,2023-05-03
2012,126.95751,CON_USD,DC_TOF_HLTHL,2023-05-03
2013,93.24408,CON_USD,DC_TOF_HLTHL,2023-05-03
2014,69.79884,CON_USD,DC_TOF_HLTHL,2023-05-03
2015,135.14015,CON_USD,DC_TOF_HLTHL,2023-05-03
2016,90.62848,CON_USD,DC_TOF_HLTHL,2023-05-03
